年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,22,月,東京都,1301,果実総量,40000,,,2052381,405,130.7,99.5
2021,11,22,月,東京都,1301,国産果実総量,40001,,,2014720,409,131.8,99.5
2021,11,22,月,東京都,1301,国産果実総量,40001,愛　媛,038,475912,353,,
2021,11,22,月,東京都,1301,国産果実総量,40001,長　崎,042,323429,301,,
2021,11,22,月,東京都,1301,国産果実総量,40001,熊　本,043,178963,268,,
2021,11,22,月,東京都,1301,国産果実総量,40001,青　森,002,176079,436,,
2021,11,22,月,東京都,1301,国産果実総量,40001,和歌山,030,160984,287,,
2021,11,22,月,東京都,1301,国産果実総量,40001,山　形,006,132202,347,,
2021,11,22,月,東京都,1301,国産果実総量,40001,佐　賀,041,89605,263,,
2021,11,22,月,東京都,1301,みかん,40100,,,1253221,291,141.1,100.3
2021,11,22,月,東京都,1301,みかん,40100,愛　媛,038,436545,327,,
2021,11,22,月,東京都,1301,みかん,40100,長　崎,042,320039,292,,
2021,11,22,月,東京都,1301,みかん,40100,熊　本,043,157454,237,,
2021,11,22,月,東京都,1301,みかん,40100,和歌山,030,150480,279,,
2021,11,22,月,東京都,1301,その他雑かん,41999,,,47562,744,159.8,97.4
2021,11,22,月,東京都,1301,りんご計,42000,,,337109,386,112.3,94.6
2021,11,22,月,東京都,1301,りんご計,42000,青　森,002,172357,433,,
2021,11,22,月,東京都,1301,りんご計,42000,山　形,006,96753,291,,
2021,11,22,月,東京都,1301,りんご計,42000,長　野,020,33450,423,,
2021,11,22,月,東京都,1301,ジョナゴルド,42505,,,17322,410,191.6,101.7
2021,11,22,月,東京都,1301,ジョナゴルド,42505,青　森,002,17262,411,,
2021,11,22,月,東京都,1301,王林,42515,,,18602,334,98.2,103.7
2021,11,22,月,東京都,1301,王林,42515,青　森,002,15330,358,,
2021,11,22,月,東京都,1301,ふじ,42804,,,261002,390,116.0,94.9
2021,11,22,月,東京都,1301,ふじ,42804,青　森,002,102208,474,,
2021,11,22,月,東京都,1301,ふじ,42804,山　形,006,95209,293,,
2021,11,22,月,東京都,1301,ふじ,42804,長　野,020,33080,423,,
2021,11,22,月,東京都,1301,その他りんご,42999,,,40183,370,84.9,86.9
2021,11,22,月,東京都,1301,日本なし計,43000,,,9645,459,67.9,98.3
2021,11,22,月,東京都,1301,日本なし計,43000,大　分,044,7550,476,,
2021,11,22,月,東京都,1301,日本なし計,43000,茨　城,008,1975,392,,
2021,11,22,月,東京都,1301,その他なし,43401,,,9645,459,67.9,98.3
2021,11,22,月,東京都,1301,西洋なし,43499,,,40353,546,114.1,102.4
2021,11,22,月,東京都,1301,西洋なし,43499,山　形,006,31633,475,,
2021,11,22,月,東京都,1301,西洋なし,43499,新　潟,015,7518,861,,
2021,11,22,月,東京都,1301,かき計,43500,,,184532,359,112.9,99.2
2021,11,22,月,東京都,1301,かき計,43500,奈　良,029,52411,350,,
2021,11,22,月,東京都,1301,かき計,43500,福　岡,040,47968,345,,
2021,11,22,月,東京都,1301,かき計,43500,岐　阜,021,25589,382,,
2021,11,22,月,東京都,1301,かき計,43500,愛　媛,038,18139,380,,
2021,11,22,月,東京都,1301,かき計,43500,新　潟,015,11590,304,,
2021,11,22,月,東京都,1301,甘がき,43700,,,159696,363,133.6,99.5
2021,11,22,月,東京都,1301,甘がき,43700,奈　良,029,52411,350,,
2021,11,22,月,東京都,1301,甘がき,43700,福　岡,040,47968,345,,
2021,11,22,月,東京都,1301,甘がき,43700,岐　阜,021,25589,382,,
2021,11,22,月,東京都,1301,甘がき,43700,愛　知,023,10254,349,,
2021,11,22,月,東京都,1301,渋がき,43751,,,24836,339,56.5,96.0
2021,11,22,月,東京都,1301,渋がき,43751,新　潟,015,11590,304,,
2021,11,22,月,東京都,1301,渋がき,43751,愛　媛,038,11355,384,,
2021,11,22,月,東京都,1301,ぶどう計,45000,,,18352,2171,97.7,102.9
2021,11,22,月,東京都,1301,ぶどう計,45000,長　野,020,13509,2552,,
2021,11,22,月,東京都,1301,ぶどう計,45000,青　森,002,2992,584,,
2021,11,22,月,東京都,1301,巨峰,45206,,,1377,1836,112.8,104.9
2021,11,22,月,東京都,1301,巨峰,45206,長　野,020,1247,1916,,
2021,11,22,月,東京都,1301,その他ぶどう,45299,,,16976,2198,96.7,103.0
2021,11,22,月,東京都,1301,いちご,46100,,,60498,1985,163.2,99.7
2021,11,22,月,東京都,1301,いちご,46100,栃　木,009,43992,1887,,
2021,11,22,月,東京都,1301,いちご,46100,茨　城,008,7056,1799,,
2021,11,22,月,東京都,1301,メロン計,47000,,,26185,859,123.9,119.3
2021,11,22,月,東京都,1301,メロン計,47000,熊　本,043,14354,601,,
2021,11,22,月,東京都,1301,メロン計,47000,静　岡,022,6031,1678,,
2021,11,22,月,東京都,1301,メロン計,47000,高　知,039,2312,787,,
2021,11,22,月,東京都,1301,温室メロン,47200,,,17964,982,138.0,116.6
2021,11,22,月,東京都,1301,温室メロン,47200,熊　本,043,7985,606,,
2021,11,22,月,東京都,1301,温室メロン,47200,静　岡,022,6031,1678,,
2021,11,22,月,東京都,1301,温室メロン,47200,高　知,039,2012,799,,
2021,11,22,月,東京都,1301,アンデス,47213,,,1500,497,81.1,103.3
2021,11,22,月,東京都,1301,アンデス,47213,熊　本,043,1500,497,,
2021,11,22,月,東京都,1301,その他メロン,47299,,,6722,611,107.1,113.4
2021,11,22,月,東京都,1301,すいか,48100,,,5824,269,115.6,95.4
