年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,22,月,名古屋市,2301,果実総量,40000,,,597001,363,119.2,101.1
2021,11,22,月,名古屋市,2301,国産果実総量,40001,,,473871,388,114.0,101.8
2021,11,22,月,名古屋市,2301,国産果実総量,40001,静　岡,022,70504,306,,
2021,11,22,月,名古屋市,2301,国産果実総量,40001,岐　阜,021,69965,384,,
2021,11,22,月,名古屋市,2301,国産果実総量,40001,長　野,020,59453,466,,
2021,11,22,月,名古屋市,2301,国産果実総量,40001,愛　知,023,53472,593,,
2021,11,22,月,名古屋市,2301,国産果実総量,40001,青　森,002,51469,432,,
2021,11,22,月,名古屋市,2301,国産果実総量,40001,和歌山,030,46724,291,,
2021,11,22,月,名古屋市,2301,国産果実総量,40001,三　重,024,39444,280,,
2021,11,22,月,名古屋市,2301,みかん,40100,,,238406,266,99.3,100.4
2021,11,22,月,名古屋市,2301,みかん,40100,静　岡,022,68745,280,,
2021,11,22,月,名古屋市,2301,みかん,40100,和歌山,030,43041,279,,
2021,11,22,月,名古屋市,2301,みかん,40100,愛　知,023,37972,233,,
2021,11,22,月,名古屋市,2301,みかん,40100,三　重,024,36118,282,,
2021,11,22,月,名古屋市,2301,みかん,40100,熊　本,043,25778,215,,
2021,11,22,月,名古屋市,2301,その他雑かん,41999,,,7490,603,153.2,74.0
2021,11,22,月,名古屋市,2301,りんご計,42000,,,109905,395,143.8,92.9
2021,11,22,月,名古屋市,2301,りんご計,42000,長　野,020,56641,366,,
2021,11,22,月,名古屋市,2301,りんご計,42000,青　森,002,50524,430,,
2021,11,22,月,名古屋市,2301,つがる,42204,,,210,311,－,－
2021,11,22,月,名古屋市,2301,つがる,42204,長　野,020,210,311,,
2021,11,22,月,名古屋市,2301,ジョナゴルド,42505,,,9920,404,413.3,97.8
2021,11,22,月,名古屋市,2301,ジョナゴルド,42505,青　森,002,9920,404,,
2021,11,22,月,名古屋市,2301,王林,42515,,,5260,346,131.5,103.0
2021,11,22,月,名古屋市,2301,王林,42515,青　森,002,3800,361,,
2021,11,22,月,名古屋市,2301,王林,42515,長　野,020,1460,307,,
2021,11,22,月,名古屋市,2301,ふじ,42804,,,83895,404,140.1,91.8
2021,11,22,月,名古屋市,2301,ふじ,42804,長　野,020,54385,368,,
2021,11,22,月,名古屋市,2301,ふじ,42804,青　森,002,28200,472,,
2021,11,22,月,名古屋市,2301,その他りんご,42999,,,10620,339,104.5,91.4
2021,11,22,月,名古屋市,2301,日本なし計,43000,,,100,497,3.7,78.8
2021,11,22,月,名古屋市,2301,日本なし計,43000,愛　知,023,100,497,,
2021,11,22,月,名古屋市,2301,その他なし,43401,,,100,497,3.7,78.8
2021,11,22,月,名古屋市,2301,西洋なし,43499,,,9630,507,235.1,111.7
2021,11,22,月,名古屋市,2301,西洋なし,43499,山　形,006,8306,448,,
2021,11,22,月,名古屋市,2301,かき計,43500,,,82265,369,122.3,102.5
2021,11,22,月,名古屋市,2301,かき計,43500,岐　阜,021,69965,384,,
2021,11,22,月,名古屋市,2301,甘がき,43700,,,78313,376,119.2,104.4
2021,11,22,月,名古屋市,2301,甘がき,43700,岐　阜,021,69685,384,,
2021,11,22,月,名古屋市,2301,渋がき,43751,,,3952,233,252.7,65.1
2021,11,22,月,名古屋市,2301,渋がき,43751,愛　媛,038,2270,244,,
2021,11,22,月,名古屋市,2301,渋がき,43751,福　島,007,1280,184,,
2021,11,22,月,名古屋市,2301,もも,44100,,,15,6840,－,－
2021,11,22,月,名古屋市,2301,もも,44100,岡　山,033,15,6840,,
2021,11,22,月,名古屋市,2301,ぶどう計,45000,,,3738,2052,72.8,119.8
2021,11,22,月,名古屋市,2301,ぶどう計,45000,長　野,020,2684,2595,,
2021,11,22,月,名古屋市,2301,ぶどう計,45000,青　森,002,945,565,,
2021,11,22,月,名古屋市,2301,巨峰,45206,,,14,1466,5.8,80.1
2021,11,22,月,名古屋市,2301,巨峰,45206,長　野,020,14,1466,,
2021,11,22,月,名古屋市,2301,その他ぶどう,45299,,,3724,2054,76.1,120.3
2021,11,22,月,名古屋市,2301,いちご,46100,,,10721,2005,128.6,100.7
2021,11,22,月,名古屋市,2301,いちご,46100,愛　知,023,10252,2011,,
2021,11,22,月,名古屋市,2301,メロン計,47000,,,8995,739,175.9,90.8
2021,11,22,月,名古屋市,2301,メロン計,47000,熊　本,043,5380,516,,
2021,11,22,月,名古屋市,2301,メロン計,47000,静　岡,022,1756,1320,,
2021,11,22,月,名古屋市,2301,メロン計,47000,高　知,039,1420,855,,
2021,11,22,月,名古屋市,2301,温室メロン,47200,,,5611,842,202.3,84.3
2021,11,22,月,名古屋市,2301,温室メロン,47200,熊　本,043,2594,506,,
2021,11,22,月,名古屋市,2301,温室メロン,47200,静　岡,022,1756,1320,,
2021,11,22,月,名古屋市,2301,温室メロン,47200,高　知,039,1190,872,,
2021,11,22,月,名古屋市,2301,その他メロン,47299,,,3385,567,144.6,95.3
2021,11,22,月,名古屋市,2301,すいか,48100,,,1066,246,223.9,67.8
2021,11,22,月,名古屋市,2301,すいか,48100,熊　本,043,1006,221,,
2021,11,22,月,名古屋市,2301,キウイフルツ,49300,,,5,1134,0.6,144.6
2021,11,22,月,名古屋市,2301,キウイフルツ,49300,大　分,044,5,1134,,
2021,11,22,月,名古屋市,2301,他の国産果実,49500,,,1538,624,321.8,101.8
2021,11,22,月,名古屋市,2301,輸入果実計,50000,,,123128,269,144.5,108.0
2021,11,22,月,名古屋市,2301,バナナ,50100,,,55044,175,155.2,120.7
2021,11,22,月,名古屋市,2301,パイナップル,50300,,,36065,154,167.6,92.2
2021,11,22,月,名古屋市,2301,レモン,50400,,,3467,311,67.9,119.6
2021,11,22,月,名古屋市,2301,グレプフルツ,50500,,,574,219,33.4,110.1
2021,11,22,月,名古屋市,2301,オレンジ,50600,,,2583,224,81.3,92.9
