年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,22,月,広島市,3401,果実総量,40000,,,144346,345,118.5,83.3
2021,11,22,月,広島市,3401,国産果実総量,40001,,,104359,380,99.6,87.0
2021,11,22,月,広島市,3401,国産果実総量,40001,広　島,034,50290,321,,
2021,11,22,月,広島市,3401,国産果実総量,40001,青　森,002,15180,443,,
2021,11,22,月,広島市,3401,国産果実総量,40001,岩　手,003,13020,346,,
2021,11,22,月,広島市,3401,国産果実総量,40001,福　岡,040,6640,539,,
2021,11,22,月,広島市,3401,国産果実総量,40001,佐　賀,041,4659,505,,
2021,11,22,月,広島市,3401,国産果実総量,40001,島　根,032,3225,339,,
2021,11,22,月,広島市,3401,国産果実総量,40001,愛　媛,038,2594,239,,
2021,11,22,月,広島市,3401,みかん,40100,,,57011,311,130.0,95.1
2021,11,22,月,広島市,3401,みかん,40100,広　島,034,47526,319,,
2021,11,22,月,広島市,3401,その他雑かん,41999,,,952,597,180.3,108.2
2021,11,22,月,広島市,3401,りんご計,42000,,,28540,400,74.9,96.2
2021,11,22,月,広島市,3401,りんご計,42000,青　森,002,15180,443,,
2021,11,22,月,広島市,3401,りんご計,42000,岩　手,003,13020,346,,
2021,11,22,月,広島市,3401,ジョナゴルド,42505,,,1380,394,42.7,97.0
2021,11,22,月,広島市,3401,ジョナゴルド,42505,青　森,002,1380,394,,
2021,11,22,月,広島市,3401,王林,42515,,,1900,365,90.5,101.7
2021,11,22,月,広島市,3401,王林,42515,青　森,002,1900,365,,
2021,11,22,月,広島市,3401,ふじ,42804,,,19160,409,73.2,97.8
2021,11,22,月,広島市,3401,ふじ,42804,青　森,002,9850,450,,
2021,11,22,月,広島市,3401,ふじ,42804,岩　手,003,8970,358,,
2021,11,22,月,広島市,3401,その他りんご,42999,,,6100,383,92.6,88.7
2021,11,22,月,広島市,3401,日本なし計,43000,,,365,483,112.3,89.4
2021,11,22,月,広島市,3401,日本なし計,43000,鳥　取,031,365,483,,
2021,11,22,月,広島市,3401,その他なし,43401,,,365,483,112.3,89.4
2021,11,22,月,広島市,3401,西洋なし,43499,,,1658,480,144.8,91.1
2021,11,22,月,広島市,3401,西洋なし,43499,山　形,006,1658,480,,
2021,11,22,月,広島市,3401,かき計,43500,,,12200,322,99.5,102.5
2021,11,22,月,広島市,3401,かき計,43500,福　岡,040,5550,288,,
2021,11,22,月,広島市,3401,かき計,43500,島　根,032,3225,339,,
2021,11,22,月,広島市,3401,かき計,43500,広　島,034,2565,349,,
2021,11,22,月,広島市,3401,甘がき,43700,,,8156,319,127.1,102.2
2021,11,22,月,広島市,3401,甘がき,43700,福　岡,040,5550,288,,
2021,11,22,月,広島市,3401,甘がき,43700,広　島,034,1976,395,,
2021,11,22,月,広島市,3401,渋がき,43751,,,4044,330,69.2,104.1
2021,11,22,月,広島市,3401,渋がき,43751,島　根,032,3225,339,,
2021,11,22,月,広島市,3401,渋がき,43751,広　島,034,589,193,,
2021,11,22,月,広島市,3401,もも,44100,,,8,3240,－,－
2021,11,22,月,広島市,3401,もも,44100,岡　山,033,8,3240,,
2021,11,22,月,広島市,3401,ぶどう計,45000,,,261,1942,76.5,96.8
2021,11,22,月,広島市,3401,ぶどう計,45000,岡　山,033,170,1663,,
2021,11,22,月,広島市,3401,ぶどう計,45000,長　野,020,91,2463,,
2021,11,22,月,広島市,3401,その他ぶどう,45299,,,261,1942,76.5,96.8
2021,11,22,月,広島市,3401,いちご,46100,,,1559,2293,42.2,105.6
2021,11,22,月,広島市,3401,いちご,46100,福　岡,040,705,2608,,
2021,11,22,月,広島市,3401,いちご,46100,佐　賀,041,489,1951,,
2021,11,22,月,広島市,3401,いちご,46100,香　川,037,330,2153,,
2021,11,22,月,広島市,3401,メロン計,47000,,,1278,550,77.5,90.8
2021,11,22,月,広島市,3401,メロン計,47000,熊　本,043,616,611,,
2021,11,22,月,広島市,3401,メロン計,47000,長　崎,042,456,390,,
2021,11,22,月,広島市,3401,温室メロン,47200,,,662,493,50.7,79.1
2021,11,22,月,広島市,3401,温室メロン,47200,長　崎,042,456,390,,
2021,11,22,月,広島市,3401,温室メロン,47200,高　知,039,206,720,,
2021,11,22,月,広島市,3401,その他メロン,47299,,,616,611,179.1,112.7
2021,11,22,月,広島市,3401,キウイフルツ,49300,,,415,367,830.0,61.6
2021,11,22,月,広島市,3401,キウイフルツ,49300,佐　賀,041,415,367,,
2021,11,22,月,広島市,3401,他の国産果実,49500,,,114,773,38.6,87.8
2021,11,22,月,広島市,3401,輸入果実計,50000,,,39987,254,234.5,92.4
2021,11,22,月,広島市,3401,バナナ,50100,,,26390,171,292.3,81.0
2021,11,22,月,広島市,3401,パイナップル,50300,,,3930,165,105.9,99.4
2021,11,22,月,広島市,3401,レモン,50400,,,1117,328,226.6,89.1
2021,11,22,月,広島市,3401,グレプフルツ,50500,,,1012,189,372.1,101.6
2021,11,22,月,広島市,3401,オレンジ,50600,,,999,311,110.4,115.2
2021,11,22,月,広島市,3401,輸入キウイ,50800,,,3845,628,252.5,103.0
2021,11,22,月,広島市,3401,輸入メロン,50850,,,173,297,158.7,330.0
2021,11,22,月,広島市,3401,他の輸入果実,50900,,,2521,662,248.9,89.7
