年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,22,月,仙台市,0401,野菜総量,30000,,,615279,175,137.4,93.1
2021,11,22,月,仙台市,0401,野菜総量,30000,北海道,001,188251,151,,
2021,11,22,月,仙台市,0401,野菜総量,30000,宮　城,004,119273,208,,
2021,11,22,月,仙台市,0401,野菜総量,30000,千　葉,012,114882,83,,
2021,11,22,月,仙台市,0401,野菜総量,30000,茨　城,008,70955,148,,
2021,11,22,月,仙台市,0401,野菜総量,30000,青　森,002,35547,165,,
2021,11,22,月,仙台市,0401,野菜総量,30000,高　知,039,20446,435,,
2021,11,22,月,仙台市,0401,野菜総量,30000,神奈川,014,18710,53,,
2021,11,22,月,仙台市,0401,だいこん,30100,,,64414,48,127.6,88.9
2021,11,22,月,仙台市,0401,だいこん,30100,千　葉,012,42570,48,,
2021,11,22,月,仙台市,0401,だいこん,30100,神奈川,014,16910,50,,
2021,11,22,月,仙台市,0401,かぶ,30200,,,2119,132,103.9,101.5
2021,11,22,月,仙台市,0401,かぶ,30200,千　葉,012,1284,140,,
2021,11,22,月,仙台市,0401,かぶ,30200,青　森,002,490,88,,
2021,11,22,月,仙台市,0401,にんじん,30300,,,55050,89,126.1,96.7
2021,11,22,月,仙台市,0401,にんじん,30300,千　葉,012,35360,98,,
2021,11,22,月,仙台市,0401,にんじん,30300,青　森,002,7470,66,,
2021,11,22,月,仙台市,0401,にんじん,30300,茨　城,008,5390,86,,
2021,11,22,月,仙台市,0401,ごぼう,30400,,,17648,120,171.0,89.6
2021,11,22,月,仙台市,0401,ごぼう,30400,青　森,002,17648,120,,
2021,11,22,月,仙台市,0401,れんこん,30600,,,2033,400,83.2,104.4
2021,11,22,月,仙台市,0401,れんこん,30600,茨　城,008,1908,383,,
2021,11,22,月,仙台市,0401,はくさい,31100,,,44711,45,115.2,93.8
2021,11,22,月,仙台市,0401,はくさい,31100,茨　城,008,25386,44,,
2021,11,22,月,仙台市,0401,はくさい,31100,宮　城,004,19325,46,,
2021,11,22,月,仙台市,0401,みずな,31300,,,1812,409,135.5,99.5
2021,11,22,月,仙台市,0401,みずな,31300,茨　城,008,1281,383,,
2021,11,22,月,仙台市,0401,みずな,31300,宮　城,004,517,478,,
2021,11,22,月,仙台市,0401,こまつな,31500,,,3566,249,116.5,104.6
2021,11,22,月,仙台市,0401,こまつな,31500,宮　城,004,2479,251,,
2021,11,22,月,仙台市,0401,こまつな,31500,茨　城,008,1052,244,,
2021,11,22,月,仙台市,0401,その他の菜類,31550,,,346,204,208.4,89.9
2021,11,22,月,仙台市,0401,ちんげんさい,31560,,,1552,217,87.4,97.7
2021,11,22,月,仙台市,0401,ちんげんさい,31560,宮　城,004,1294,188,,
2021,11,22,月,仙台市,0401,キャベツ,31700,,,66089,66,100.1,103.1
2021,11,22,月,仙台市,0401,キャベツ,31700,千　葉,012,31690,68,,
2021,11,22,月,仙台市,0401,キャベツ,31700,宮　城,004,28199,63,,
2021,11,22,月,仙台市,0401,ほうれんそう,31800,,,7081,404,121.9,105.2
2021,11,22,月,仙台市,0401,ほうれんそう,31800,宮　城,004,5193,400,,
2021,11,22,月,仙台市,0401,ほうれんそう,31800,栃　木,009,1585,416,,
2021,11,22,月,仙台市,0401,ねぎ,31900,,,16817,273,103.3,100.4
2021,11,22,月,仙台市,0401,ねぎ,31900,宮　城,004,15278,278,,
2021,11,22,月,仙台市,0401,ふき,32300,,,28,478,48.3,137.8
2021,11,22,月,仙台市,0401,ふき,32300,愛　知,023,28,478,,
2021,11,22,月,仙台市,0401,うど,32400,,,4,1080,－,－
2021,11,22,月,仙台市,0401,うど,32400,茨　城,008,4,1080,,
