年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,22,月,横浜市,1401,野菜総量,30000,,,1283287,222,128.4,101.4
2021,11,22,月,横浜市,1401,野菜総量,30000,茨　城,008,294411,129,,
2021,11,22,月,横浜市,1401,野菜総量,30000,千　葉,012,180667,148,,
2021,11,22,月,横浜市,1401,野菜総量,30000,神奈川,014,145957,75,,
2021,11,22,月,横浜市,1401,野菜総量,30000,北海道,001,143892,195,,
2021,11,22,月,横浜市,1401,野菜総量,30000,群　馬,010,57312,270,,
2021,11,22,月,横浜市,1401,野菜総量,30000,熊　本,043,54245,495,,
2021,11,22,月,横浜市,1401,野菜総量,30000,愛　知,023,49397,298,,
2021,11,22,月,横浜市,1401,だいこん,30100,,,119343,50,108.1,98.0
2021,11,22,月,横浜市,1401,だいこん,30100,神奈川,014,76149,52,,
2021,11,22,月,横浜市,1401,だいこん,30100,千　葉,012,36000,42,,
2021,11,22,月,横浜市,1401,かぶ,30200,,,21453,110,123.4,97.3
2021,11,22,月,横浜市,1401,かぶ,30200,千　葉,012,9955,121,,
2021,11,22,月,横浜市,1401,かぶ,30200,埼　玉,011,9464,87,,
2021,11,22,月,横浜市,1401,にんじん,30300,,,95788,101,159.8,92.7
2021,11,22,月,横浜市,1401,にんじん,30300,千　葉,012,80760,104,,
2021,11,22,月,横浜市,1401,ごぼう,30400,,,8678,292,195.6,78.9
2021,11,22,月,横浜市,1401,ごぼう,30400,青　森,002,7891,278,,
2021,11,22,月,横浜市,1401,たけのこ,30500,,,28,1485,－,－
2021,11,22,月,横浜市,1401,たけのこ,30500,高　知,039,28,1485,,
2021,11,22,月,横浜市,1401,れんこん,30600,,,6967,395,102.7,101.5
2021,11,22,月,横浜市,1401,れんこん,30600,茨　城,008,6112,386,,
2021,11,22,月,横浜市,1401,はくさい,31100,,,165979,47,148.1,100.0
2021,11,22,月,横浜市,1401,はくさい,31100,茨　城,008,139133,45,,
2021,11,22,月,横浜市,1401,みずな,31300,,,7562,368,125.7,103.4
2021,11,22,月,横浜市,1401,みずな,31300,茨　城,008,6328,365,,
2021,11,22,月,横浜市,1401,こまつな,31500,,,14799,206,118.7,102.0
