年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,22,月,大阪市,2701,野菜総量,30000,,,2305163,197,125.6,100.5
2021,11,22,月,大阪市,2701,野菜総量,30000,北海道,001,531090,178,,
2021,11,22,月,大阪市,2701,野菜総量,30000,愛　知,023,309781,93,,
2021,11,22,月,大阪市,2701,野菜総量,30000,茨　城,008,307306,82,,
2021,11,22,月,大阪市,2701,野菜総量,30000,長　崎,042,176424,98,,
2021,11,22,月,大阪市,2701,野菜総量,30000,和歌山,030,97992,137,,
2021,11,22,月,大阪市,2701,野菜総量,30000,徳　島,036,97004,311,,
2021,11,22,月,大阪市,2701,野菜総量,30000,宮　崎,045,86651,280,,
2021,11,22,月,大阪市,2701,だいこん,30100,,,209395,68,112.8,101.5
2021,11,22,月,大阪市,2701,だいこん,30100,長　崎,042,77042,62,,
2021,11,22,月,大阪市,2701,だいこん,30100,和歌山,030,64680,84,,
2021,11,22,月,大阪市,2701,だいこん,30100,徳　島,036,29010,63,,
2021,11,22,月,大阪市,2701,かぶ,30200,,,9811,123,109.9,93.9
2021,11,22,月,大阪市,2701,かぶ,30200,福　岡,040,4160,104,,
2021,11,22,月,大阪市,2701,かぶ,30200,石　川,017,3740,113,,
2021,11,22,月,大阪市,2701,にんじん,30300,,,138500,113,114.8,106.6
2021,11,22,月,大阪市,2701,にんじん,30300,長　崎,042,86300,111,,
2021,11,22,月,大阪市,2701,にんじん,30300,千　葉,012,15150,132,,
2021,11,22,月,大阪市,2701,にんじん,30300,北海道,001,14720,101,,
2021,11,22,月,大阪市,2701,ごぼう,30400,,,25147,214,105.8,121.6
2021,11,22,月,大阪市,2701,ごぼう,30400,青　森,002,14809,147,,
2021,11,22,月,大阪市,2701,ごぼう,30400,茨　城,008,4720,139,,
2021,11,22,月,大阪市,2701,ごぼう,30400,鹿児島,046,3600,560,,
2021,11,22,月,大阪市,2701,れんこん,30600,,,8941,499,70.2,101.2
2021,11,22,月,大阪市,2701,れんこん,30600,徳　島,036,5215,555,,
2021,11,22,月,大阪市,2701,れんこん,30600,茨　城,008,2116,431,,
2021,11,22,月,大阪市,2701,はくさい,31100,,,337300,54,98.9,94.7
2021,11,22,月,大阪市,2701,はくさい,31100,茨　城,008,253183,51,,
2021,11,22,月,大阪市,2701,はくさい,31100,和歌山,030,20307,61,,
2021,11,22,月,大阪市,2701,みずな,31300,,,7914,411,138.5,97.9
2021,11,22,月,大阪市,2701,みずな,31300,茨　城,008,5690,409,,
2021,11,22,月,大阪市,2701,みずな,31300,福　岡,040,1149,479,,
2021,11,22,月,大阪市,2701,こまつな,31500,,,13709,275,88.0,104.2
2021,11,22,月,大阪市,2701,こまつな,31500,福　岡,040,6520,267,,
2021,11,22,月,大阪市,2701,こまつな,31500,茨　城,008,5065,283,,
2021,11,22,月,大阪市,2701,その他の菜類,31550,,,574,250,107.9,83.1
2021,11,22,月,大阪市,2701,ちんげんさい,31560,,,4934,301,94.1,107.9
2021,11,22,月,大阪市,2701,ちんげんさい,31560,静　岡,022,3246,324,,
2021,11,22,月,大阪市,2701,ちんげんさい,31560,愛　知,023,670,244,,
2021,11,22,月,大阪市,2701,ちんげんさい,31560,徳　島,036,391,209,,
2021,11,22,月,大阪市,2701,キャベツ,31700,,,349218,62,131.5,95.4
2021,11,22,月,大阪市,2701,キャベツ,31700,愛　知,023,293937,61,,
2021,11,22,月,大阪市,2701,ほうれんそう,31800,,,37006,485,133.5,101.3
