年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,22,月,沖縄県,4701,野菜総量,30000,,,211784,202,119.0,108.0
2021,11,22,月,沖縄県,4701,野菜総量,30000,沖　縄,047,55074,267,,
2021,11,22,月,沖縄県,4701,野菜総量,30000,鹿児島,046,51532,111,,
2021,11,22,月,沖縄県,4701,野菜総量,30000,北海道,001,32310,222,,
2021,11,22,月,沖縄県,4701,野菜総量,30000,宮　崎,045,21673,177,,
2021,11,22,月,沖縄県,4701,野菜総量,30000,長　崎,042,11367,189,,
2021,11,22,月,沖縄県,4701,野菜総量,30000,大　分,044,7373,231,,
2021,11,22,月,沖縄県,4701,野菜総量,30000,福　岡,040,5952,380,,
2021,11,22,月,沖縄県,4701,だいこん,30100,,,10955,81,170.2,108.0
2021,11,22,月,沖縄県,4701,だいこん,30100,鹿児島,046,10955,81,,
2021,11,22,月,沖縄県,4701,かぶ,30200,,,144,215,－,－
2021,11,22,月,沖縄県,4701,かぶ,30200,福　岡,040,120,201,,
2021,11,22,月,沖縄県,4701,にんじん,30300,,,6910,186,74.8,114.8
2021,11,22,月,沖縄県,4701,にんじん,30300,宮　崎,045,1610,139,,
2021,11,22,月,沖縄県,4701,にんじん,30300,千　葉,012,1500,171,,
2021,11,22,月,沖縄県,4701,にんじん,30300,長　崎,042,1280,158,,
2021,11,22,月,沖縄県,4701,にんじん,30300,北海道,001,1190,157,,
2021,11,22,月,沖縄県,4701,ごぼう,30400,,,1310,243,148.9,140.5
2021,11,22,月,沖縄県,4701,ごぼう,30400,宮　崎,045,300,407,,
2021,11,22,月,沖縄県,4701,はくさい,31100,,,32182,77,135.1,101.3
2021,11,22,月,沖縄県,4701,はくさい,31100,鹿児島,046,29760,77,,
2021,11,22,月,沖縄県,4701,みずな,31300,,,109,733,96.5,127.7
2021,11,22,月,沖縄県,4701,みずな,31300,茨　城,008,50,740,,
2021,11,22,月,沖縄県,4701,みずな,31300,福　岡,040,48,768,,
2021,11,22,月,沖縄県,4701,こまつな,31500,,,1980,216,98.8,116.1
2021,11,22,月,沖縄県,4701,こまつな,31500,沖　縄,047,1695,214,,
2021,11,22,月,沖縄県,4701,その他の菜類,31550,,,678,342,68.0,244.3
2021,11,22,月,沖縄県,4701,ちんげんさい,31560,,,638,264,123.2,120.0
2021,11,22,月,沖縄県,4701,ちんげんさい,31560,沖　縄,047,598,257,,
2021,11,22,月,沖縄県,4701,キャベツ,31700,,,31266,102,109.2,107.4
2021,11,22,月,沖縄県,4701,キャベツ,31700,宮　崎,045,14110,99,,
2021,11,22,月,沖縄県,4701,キャベツ,31700,鹿児島,046,7040,110,,
2021,11,22,月,沖縄県,4701,キャベツ,31700,大　分,044,5370,106,,
2021,11,22,月,沖縄県,4701,ほうれんそう,31800,,,1742,392,264.3,122.1
2021,11,22,月,沖縄県,4701,ほうれんそう,31800,沖　縄,047,1256,348,,
2021,11,22,月,沖縄県,4701,ほうれんそう,31800,福　岡,040,414,481,,
2021,11,22,月,沖縄県,4701,ねぎ,31900,,,1963,448,76.8,103.0
2021,11,22,月,沖縄県,4701,ねぎ,31900,宮　城,004,500,346,,
2021,11,22,月,沖縄県,4701,ねぎ,31900,長　崎,042,477,574,,
2021,11,22,月,沖縄県,4701,ねぎ,31900,秋　田,005,265,344,,
2021,11,22,月,沖縄県,4701,ねぎ,31900,新　潟,015,200,346,,
2021,11,22,月,沖縄県,4701,ねぎ,31900,鹿児島,046,180,588,,
2021,11,22,月,沖縄県,4701,みつば,32500,,,38,762,253.3,102.7
2021,11,22,月,沖縄県,4701,みつば,32500,埼　玉,011,35,701,,
2021,11,22,月,沖縄県,4701,しゅんぎく,32600,,,3,1137,－,－
2021,11,22,月,沖縄県,4701,しゅんぎく,32600,福　岡,040,3,1137,,
2021,11,22,月,沖縄県,4701,にら,32800,,,590,802,125.5,95.6
2021,11,22,月,沖縄県,4701,にら,32800,福　岡,040,200,682,,
2021,11,22,月,沖縄県,4701,にら,32800,宮　崎,045,180,822,,
2021,11,22,月,沖縄県,4701,にら,32800,沖　縄,047,120,789,,
2021,11,22,月,沖縄県,4701,セルリー,32900,,,465,293,178.8,90.2
2021,11,22,月,沖縄県,4701,セルリー,32900,福　岡,040,350,304,,
2021,11,22,月,沖縄県,4701,カリフラワー,33200,,,25,281,7.5,96.6
2021,11,22,月,沖縄県,4701,カリフラワー,33200,熊　本,043,25,281,,
2021,11,22,月,沖縄県,4701,ブロッコリー,33300,,,1630,242,196.4,69.3
2021,11,22,月,沖縄県,4701,ブロッコリー,33300,長　崎,042,1100,210,,
2021,11,22,月,沖縄県,4701,ブロッコリー,33300,熊　本,043,300,296,,
2021,11,22,月,沖縄県,4701,　　うち輸入,33301,,,60,451,15.0,97.4
2021,11,22,月,沖縄県,4701,レタス,33400,,,25668,90,80.8,105.9
2021,11,22,月,沖縄県,4701,レタス,33400,沖　縄,047,17250,72,,
2021,11,22,月,沖縄県,4701,レタス,33400,長　崎,042,6110,107,,
2021,11,22,月,沖縄県,4701,パセリ,33600,,,20,2353,200.0,98.1
2021,11,22,月,沖縄県,4701,パセリ,33600,大　分,044,20,2353,,
2021,11,22,月,沖縄県,4701,きゅうり,34100,,,10024,304,144.7,91.8
2021,11,22,月,沖縄県,4701,きゅうり,34100,沖　縄,047,6004,287,,
2021,11,22,月,沖縄県,4701,きゅうり,34100,宮　崎,045,3775,330,,
2021,11,22,月,沖縄県,4701,かぼちゃ,34200,,,4954,188,178.9,92.6
2021,11,22,月,沖縄県,4701,かぼちゃ,34200,北海道,001,3780,179,,
2021,11,22,月,沖縄県,4701,かぼちゃ,34200,沖　縄,047,324,341,,
2021,11,22,月,沖縄県,4701,　　うち輸入,34201,,,790,137,263.3,66.8
2021,11,22,月,沖縄県,4701,なす,34300,,,3342,355,290.6,86.6
2021,11,22,月,沖縄県,4701,なす,34300,沖　縄,047,2178,326,,
2021,11,22,月,沖縄県,4701,なす,34300,熊　本,043,1164,408,,
2021,11,22,月,沖縄県,4701,トマト,34400,,,2872,522,48.7,112.5
2021,11,22,月,沖縄県,4701,トマト,34400,大　分,044,1238,542,,
2021,11,22,月,沖縄県,4701,トマト,34400,鹿児島,046,600,533,,
2021,11,22,月,沖縄県,4701,トマト,34400,沖　縄,047,322,363,,
2021,11,22,月,沖縄県,4701,トマト,34400,熊　本,043,276,524,,
2021,11,22,月,沖縄県,4701,ミニトマト,34450,,,1756,762,155.8,91.0
2021,11,22,月,沖縄県,4701,ミニトマト,34450,鹿児島,046,625,667,,
2021,11,22,月,沖縄県,4701,ミニトマト,34450,沖　縄,047,513,970,,
2021,11,22,月,沖縄県,4701,ミニトマト,34450,宮　崎,045,315,629,,
2021,11,22,月,沖縄県,4701,ピーマン,34500,,,6456,374,113.3,111.6
2021,11,22,月,沖縄県,4701,ピーマン,34500,沖　縄,047,5463,364,,
2021,11,22,月,沖縄県,4701,ししとう,34600,,,30,1797,250.0,65.3
2021,11,22,月,沖縄県,4701,ししとう,34600,高　知,039,30,1797,,
2021,11,22,月,沖縄県,4701,スイトコーン,34700,,,25,462,100.0,109.2
2021,11,22,月,沖縄県,4701,スイトコーン,34700,沖　縄,047,25,462,,
2021,11,22,月,沖縄県,4701,さやいんげん,35100,,,1307,700,157.5,92.0
2021,11,22,月,沖縄県,4701,さやいんげん,35100,沖　縄,047,1295,695,,
2021,11,22,月,沖縄県,4701,実えんどう,35300,,,2,3564,－,－
2021,11,22,月,沖縄県,4701,実えんどう,35300,鹿児島,046,2,3564,,
2021,11,22,月,沖縄県,4701,かんしょ,36100,,,3073,344,154.8,114.7
2021,11,22,月,沖縄県,4701,かんしょ,36100,鹿児島,046,1060,352,,
2021,11,22,月,沖縄県,4701,かんしょ,36100,熊　本,043,785,325,,
2021,11,22,月,沖縄県,4701,かんしょ,36100,大　分,044,600,501,,
2021,11,22,月,沖縄県,4701,かんしょ,36100,沖　縄,047,548,173,,
2021,11,22,月,沖縄県,4701,ばれいしょ,36200,,,11820,253,178.8,100.0
2021,11,22,月,沖縄県,4701,ばれいしょ,36200,北海道,001,10820,249,,
