年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,24,水,東京都,1301,野菜総量,30000,,,4727125,217,82.0,102.8
2021,11,24,水,東京都,1301,野菜総量,30000,茨　城,008,1099341,120,,
2021,11,24,水,東京都,1301,野菜総量,30000,千　葉,012,953792,138,,
2021,11,24,水,東京都,1301,野菜総量,30000,北海道,001,663359,191,,
2021,11,24,水,東京都,1301,野菜総量,30000,愛　知,023,236436,283,,
2021,11,24,水,東京都,1301,野菜総量,30000,埼　玉,011,185866,250,,
2021,11,24,水,東京都,1301,野菜総量,30000,神奈川,014,174631,61,,
2021,11,24,水,東京都,1301,野菜総量,30000,群　馬,010,170213,242,,
2021,11,24,水,東京都,1301,だいこん,30100,,,457975,46,63.8,92.0
2021,11,24,水,東京都,1301,だいこん,30100,千　葉,012,243251,43,,
2021,11,24,水,東京都,1301,だいこん,30100,神奈川,014,119884,49,,
2021,11,24,水,東京都,1301,だいこん,30100,茨　城,008,75353,38,,
2021,11,24,水,東京都,1301,かぶ,30200,,,60843,107,88.6,100.0
2021,11,24,水,東京都,1301,かぶ,30200,千　葉,012,43034,108,,
2021,11,24,水,東京都,1301,かぶ,30200,埼　玉,011,8551,104,,
2021,11,24,水,東京都,1301,にんじん,30300,,,337098,95,96.1,94.1
2021,11,24,水,東京都,1301,にんじん,30300,千　葉,012,276336,95,,
2021,11,24,水,東京都,1301,ごぼう,30400,,,75693,170,270.6,53.3
2021,11,24,水,東京都,1301,ごぼう,30400,青　森,002,68134,158,,
2021,11,24,水,東京都,1301,たけのこ,30500,,,283,1754,422.4,95.6
2021,11,24,水,東京都,1301,たけのこ,30500,鹿児島,046,283,1754,,
2021,11,24,水,東京都,1301,れんこん,30600,,,31566,401,90.9,95.0
2021,11,24,水,東京都,1301,れんこん,30600,茨　城,008,29923,399,,
2021,11,24,水,東京都,1301,はくさい,31100,,,525259,37,77.0,102.8
2021,11,24,水,東京都,1301,はくさい,31100,茨　城,008,476633,37,,
2021,11,24,水,東京都,1301,みずな,31300,,,13244,354,82.2,92.9
2021,11,24,水,東京都,1301,みずな,31300,茨　城,008,12048,349,,
2021,11,24,水,東京都,1301,こまつな,31500,,,37321,210,82.6,100.0
2021,11,24,水,東京都,1301,こまつな,31500,茨　城,008,22312,213,,
2021,11,24,水,東京都,1301,こまつな,31500,埼　玉,011,9012,195,,
2021,11,24,水,東京都,1301,その他の菜類,31550,,,1840,366,73.3,110.2
2021,11,24,水,東京都,1301,ちんげんさい,31560,,,11917,218,87.0,99.5
2021,11,24,水,東京都,1301,ちんげんさい,31560,茨　城,008,7471,212,,
2021,11,24,水,東京都,1301,ちんげんさい,31560,埼　玉,011,1360,191,,
2021,11,24,水,東京都,1301,ちんげんさい,31560,静　岡,022,1075,370,,
2021,11,24,水,東京都,1301,キャベツ,31700,,,585889,59,80.1,92.2
2021,11,24,水,東京都,1301,キャベツ,31700,千　葉,012,185035,60,,
2021,11,24,水,東京都,1301,キャベツ,31700,愛　知,023,150875,61,,
2021,11,24,水,東京都,1301,キャベツ,31700,茨　城,008,143025,57,,
2021,11,24,水,東京都,1301,ほうれんそう,31800,,,63720,370,76.0,101.4
2021,11,24,水,東京都,1301,ほうれんそう,31800,群　馬,010,29071,356,,
2021,11,24,水,東京都,1301,ほうれんそう,31800,茨　城,008,19968,386,,
2021,11,24,水,東京都,1301,ほうれんそう,31800,埼　玉,011,4972,446,,
2021,11,24,水,東京都,1301,ねぎ,31900,,,238784,248,88.1,96.1
2021,11,24,水,東京都,1301,ねぎ,31900,秋　田,005,39234,199,,
2021,11,24,水,東京都,1301,ねぎ,31900,茨　城,008,34874,183,,
2021,11,24,水,東京都,1301,ねぎ,31900,青　森,002,21528,176,,
