年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,25,木,横浜市,1401,果実総量,40000,,,283228,344,125.6,88.0
2021,11,25,木,横浜市,1401,国産果実総量,40001,,,252492,360,131.1,84.5
2021,11,25,木,横浜市,1401,国産果実総量,40001,愛　媛,038,62107,309,,
2021,11,25,木,横浜市,1401,国産果実総量,40001,奈　良,029,40960,298,,
2021,11,25,木,横浜市,1401,国産果実総量,40001,岩　手,003,30423,331,,
2021,11,25,木,横浜市,1401,国産果実総量,40001,静　岡,022,20285,360,,
2021,11,25,木,横浜市,1401,国産果実総量,40001,青　森,002,17538,376,,
2021,11,25,木,横浜市,1401,国産果実総量,40001,山　形,006,16138,304,,
2021,11,25,木,横浜市,1401,国産果実総量,40001,熊　本,043,15935,269,,
2021,11,25,木,横浜市,1401,みかん,40100,,,105785,281,173.1,104.1
2021,11,25,木,横浜市,1401,みかん,40100,愛　媛,038,49515,295,,
2021,11,25,木,横浜市,1401,みかん,40100,静　岡,022,18909,275,,
2021,11,25,木,横浜市,1401,みかん,40100,熊　本,043,14816,214,,
2021,11,25,木,横浜市,1401,みかん,40100,和歌山,030,12490,339,,
2021,11,25,木,横浜市,1401,その他雑かん,41999,,,2483,700,144.0,140.0
2021,11,25,木,横浜市,1401,りんご計,42000,,,74988,350,156.7,94.6
2021,11,25,木,横浜市,1401,りんご計,42000,岩　手,003,29410,330,,
2021,11,25,木,横浜市,1401,りんご計,42000,青　森,002,17538,376,,
2021,11,25,木,横浜市,1401,りんご計,42000,山　形,006,13185,270,,
2021,11,25,木,横浜市,1401,ジョナゴルド,42505,,,270,438,33.3,111.7
2021,11,25,木,横浜市,1401,ジョナゴルド,42505,青　森,002,270,438,,
2021,11,25,木,横浜市,1401,王林,42515,,,8310,304,277.9,91.3
2021,11,25,木,横浜市,1401,王林,42515,青　森,002,4430,314,,
2021,11,25,木,横浜市,1401,王林,42515,岩　手,003,3880,292,,
2021,11,25,木,横浜市,1401,ふじ,42804,,,58478,362,152.4,93.8
2021,11,25,木,横浜市,1401,ふじ,42804,岩　手,003,23750,338,,
2021,11,25,木,横浜市,1401,ふじ,42804,山　形,006,13185,270,,
2021,11,25,木,横浜市,1401,ふじ,42804,秋　田,005,12855,433,,
2021,11,25,木,横浜市,1401,その他りんご,42999,,,7930,306,139.6,108.9
2021,11,25,木,横浜市,1401,西洋なし,43499,,,3782,469,153.9,82.4
2021,11,25,木,横浜市,1401,西洋なし,43499,山　形,006,2439,456,,
2021,11,25,木,横浜市,1401,西洋なし,43499,岩　手,003,1013,342,,
2021,11,25,木,横浜市,1401,かき計,43500,,,56536,309,85.5,82.8
2021,11,25,木,横浜市,1401,かき計,43500,奈　良,029,40960,298,,
2021,11,25,木,横浜市,1401,かき計,43500,愛　媛,038,11155,338,,
2021,11,25,木,横浜市,1401,甘がき,43700,,,52826,304,84.8,81.7
2021,11,25,木,横浜市,1401,甘がき,43700,奈　良,029,40960,298,,
2021,11,25,木,横浜市,1401,甘がき,43700,愛　媛,038,7930,322,,
2021,11,25,木,横浜市,1401,渋がき,43751,,,3710,378,96.9,99.2
2021,11,25,木,横浜市,1401,渋がき,43751,愛　媛,038,3225,379,,
2021,11,25,木,横浜市,1401,ぶどう計,45000,,,1174,2589,78.9,138.0
2021,11,25,木,横浜市,1401,ぶどう計,45000,長　野,020,1019,2490,,
2021,11,25,木,横浜市,1401,巨峰,45206,,,28,926,16.3,72.3
2021,11,25,木,横浜市,1401,巨峰,45206,長　野,020,28,926,,
2021,11,25,木,横浜市,1401,その他ぶどう,45299,,,1146,2630,87.1,134.6
2021,11,25,木,横浜市,1401,いちご,46100,,,4525,2003,55.7,102.6
2021,11,25,木,横浜市,1401,いちご,46100,栃　木,009,2781,1887,,
2021,11,25,木,横浜市,1401,いちご,46100,静　岡,022,673,2220,,
2021,11,25,木,横浜市,1401,いちご,46100,長　崎,042,363,1984,,
2021,11,25,木,横浜市,1401,メロン計,47000,,,1296,717,67.5,101.6
2021,11,25,木,横浜市,1401,メロン計,47000,熊　本,043,728,598,,
2021,11,25,木,横浜市,1401,メロン計,47000,静　岡,022,568,870,,
2021,11,25,木,横浜市,1401,温室メロン,47200,,,568,870,78.8,97.0
2021,11,25,木,横浜市,1401,温室メロン,47200,静　岡,022,568,870,,
2021,11,25,木,横浜市,1401,その他メロン,47299,,,728,598,60.7,101.0
2021,11,25,木,横浜市,1401,すいか,48100,,,10,648,66.7,180.0
2021,11,25,木,横浜市,1401,すいか,48100,高　知,039,10,648,,
2021,11,25,木,横浜市,1401,キウイフルツ,49300,,,1438,363,3595.0,140.2
2021,11,25,木,横浜市,1401,キウイフルツ,49300,山　梨,019,1278,372,,
2021,11,25,木,横浜市,1401,他の国産果実,49500,,,475,1006,66.5,165.5
2021,11,25,木,横浜市,1401,輸入果実計,50000,,,30736,208,93.1,110.6
2021,11,25,木,横浜市,1401,バナナ,50100,,,15864,123,75.2,100.0
2021,11,25,木,横浜市,1401,パイナップル,50300,,,4756,166,345.6,90.2
2021,11,25,木,横浜市,1401,レモン,50400,,,4821,234,351.1,89.0
2021,11,25,木,横浜市,1401,グレプフルツ,50500,,,663,185,17.6,133.1
2021,11,25,木,横浜市,1401,オレンジ,50600,,,1377,227,72.9,98.7
2021,11,25,木,横浜市,1401,輸入キウイ,50800,,,849,560,67.3,97.7
2021,11,25,木,横浜市,1401,他の輸入果実,50900,,,2406,671,107.1,115.1
