年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,25,木,大阪市,2701,果実総量,40000,,,895318,381,119.6,95.0
2021,11,25,木,大阪市,2701,国産果実総量,40001,,,677600,433,122.8,98.6
2021,11,25,木,大阪市,2701,国産果実総量,40001,和歌山,030,216141,290,,
2021,11,25,木,大阪市,2701,国産果実総量,40001,青　森,002,128187,421,,
2021,11,25,木,大阪市,2701,国産果実総量,40001,愛　媛,038,51341,517,,
2021,11,25,木,大阪市,2701,国産果実総量,40001,熊　本,043,39023,336,,
2021,11,25,木,大阪市,2701,国産果実総量,40001,長　野,020,36553,788,,
2021,11,25,木,大阪市,2701,国産果実総量,40001,奈　良,029,35046,320,,
2021,11,25,木,大阪市,2701,国産果実総量,40001,福　岡,040,28146,431,,
2021,11,25,木,大阪市,2701,みかん,40100,,,290145,269,139.1,108.5
2021,11,25,木,大阪市,2701,みかん,40100,和歌山,030,189471,276,,
2021,11,25,木,大阪市,2701,みかん,40100,熊　本,043,35218,169,,
2021,11,25,木,大阪市,2701,みかん,40100,愛　媛,038,32443,331,,
2021,11,25,木,大阪市,2701,その他雑かん,41999,,,23052,908,275.8,139.9
2021,11,25,木,大阪市,2701,りんご計,42000,,,210560,406,116.4,94.4
2021,11,25,木,大阪市,2701,りんご計,42000,青　森,002,125222,417,,
2021,11,25,木,大阪市,2701,りんご計,42000,長　野,020,31010,457,,
2021,11,25,木,大阪市,2701,りんご計,42000,福　島,007,23578,255,,
2021,11,25,木,大阪市,2701,ジョナゴルド,42505,,,16290,412,178.0,95.2
2021,11,25,木,大阪市,2701,ジョナゴルド,42505,青　森,002,16290,412,,
2021,11,25,木,大阪市,2701,王林,42515,,,17460,333,147.7,85.4
2021,11,25,木,大阪市,2701,王林,42515,青　森,002,15060,333,,
2021,11,25,木,大阪市,2701,ふじ,42804,,,168726,408,114.7,94.7
2021,11,25,木,大阪市,2701,ふじ,42804,青　森,002,87926,423,,
2021,11,25,木,大阪市,2701,ふじ,42804,長　野,020,31010,457,,
2021,11,25,木,大阪市,2701,ふじ,42804,福　島,007,23578,255,,
2021,11,25,木,大阪市,2701,その他りんご,42999,,,8084,502,62.9,108.9
2021,11,25,木,大阪市,2701,日本なし計,43000,,,9446,449,208.7,93.0
2021,11,25,木,大阪市,2701,日本なし計,43000,大　分,044,7000,432,,
2021,11,25,木,大阪市,2701,日本なし計,43000,鳥　取,031,1380,372,,
2021,11,25,木,大阪市,2701,その他なし,43401,,,9446,449,208.7,93.0
2021,11,25,木,大阪市,2701,西洋なし,43499,,,16218,560,101.8,95.6
2021,11,25,木,大阪市,2701,西洋なし,43499,山　形,006,11441,482,,
2021,11,25,木,大阪市,2701,西洋なし,43499,新　潟,015,2532,894,,
2021,11,25,木,大阪市,2701,かき計,43500,,,81503,302,86.8,93.2
2021,11,25,木,大阪市,2701,かき計,43500,奈　良,029,34531,260,,
2021,11,25,木,大阪市,2701,かき計,43500,和歌山,030,25193,354,,
2021,11,25,木,大阪市,2701,かき計,43500,福　岡,040,10241,316,,
2021,11,25,木,大阪市,2701,甘がき,43700,,,72235,298,94.2,93.7
2021,11,25,木,大阪市,2701,甘がき,43700,奈　良,029,34531,260,,
2021,11,25,木,大阪市,2701,甘がき,43700,和歌山,030,25193,354,,
2021,11,25,木,大阪市,2701,渋がき,43751,,,9268,335,53.8,94.4
2021,11,25,木,大阪市,2701,渋がき,43751,新　潟,015,4350,427,,
2021,11,25,木,大阪市,2701,渋がき,43751,愛　媛,038,3150,264,,
2021,11,25,木,大阪市,2701,もも,44100,,,114,4405,79.2,107.0
2021,11,25,木,大阪市,2701,もも,44100,岡　山,033,114,4405,,
2021,11,25,木,大阪市,2701,ぶどう計,45000,,,10444,2376,173.6,88.3
2021,11,25,木,大阪市,2701,ぶどう計,45000,長　野,020,4860,2875,,
2021,11,25,木,大阪市,2701,ぶどう計,45000,岡　山,033,4458,2261,,
2021,11,25,木,大阪市,2701,巨峰,45206,,,202,1823,90.2,105.4
2021,11,25,木,大阪市,2701,巨峰,45206,長　野,020,202,1823,,
2021,11,25,木,大阪市,2701,その他ぶどう,45299,,,10242,2386,176.8,87.4
2021,11,25,木,大阪市,2701,いちご,46100,,,14145,2422,86.8,105.8
2021,11,25,木,大阪市,2701,いちご,46100,長　崎,042,5428,2105,,
2021,11,25,木,大阪市,2701,いちご,46100,熊　本,043,3018,2204,,
2021,11,25,木,大阪市,2701,いちご,46100,福　岡,040,1423,2929,,
2021,11,25,木,大阪市,2701,いちご,46100,佐　賀,041,1370,2416,,
2021,11,25,木,大阪市,2701,いちご,46100,香　川,037,1261,2293,,
2021,11,25,木,大阪市,2701,メロン計,47000,,,8368,778,69.1,104.3
2021,11,25,木,大阪市,2701,メロン計,47000,長　崎,042,3809,485,,
2021,11,25,木,大阪市,2701,メロン計,47000,静　岡,022,2747,1261,,
2021,11,25,木,大阪市,2701,メロン計,47000,熊　本,043,772,638,,
2021,11,25,木,大阪市,2701,温室メロン,47200,,,7352,797,91.9,98.5
2021,11,25,木,大阪市,2701,温室メロン,47200,長　崎,042,3809,485,,
2021,11,25,木,大阪市,2701,温室メロン,47200,静　岡,022,2747,1261,,
2021,11,25,木,大阪市,2701,その他メロン,47299,,,1016,636,24.7,101.8
2021,11,25,木,大阪市,2701,キウイフルツ,49300,,,12738,348,464.2,82.1
2021,11,25,木,大阪市,2701,キウイフルツ,49300,山　梨,019,10633,319,,
2021,11,25,木,大阪市,2701,他の国産果実,49500,,,872,746,244.9,83.4
2021,11,25,木,大阪市,2701,輸入果実計,50000,,,217717,218,110.6,73.9
2021,11,25,木,大阪市,2701,バナナ,50100,,,146723,162,211.3,103.2
2021,11,25,木,大阪市,2701,パイナップル,50300,,,22907,175,123.9,109.4
2021,11,25,木,大阪市,2701,レモン,50400,,,12894,204,83.4,91.5
2021,11,25,木,大阪市,2701,グレプフルツ,50500,,,2164,206,13.2,164.8
2021,11,25,木,大阪市,2701,オレンジ,50600,,,7486,257,44.9,108.0
2021,11,25,木,大阪市,2701,輸入キウイ,50800,,,7539,512,28.4,91.9
2021,11,25,木,大阪市,2701,輸入メロン,50850,,,1190,313,51.4,98.7
2021,11,25,木,大阪市,2701,他の輸入果実,50900,,,16816,615,53.2,101.5
