年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,26,金,仙台市,0401,果実総量,40000,,,184224,313,85.4,96.0
2021,11,26,金,仙台市,0401,国産果実総量,40001,,,157298,329,80.7,98.8
2021,11,26,金,仙台市,0401,国産果実総量,40001,長　崎,042,53858,263,,
2021,11,26,金,仙台市,0401,国産果実総量,40001,熊　本,043,35281,265,,
2021,11,26,金,仙台市,0401,国産果実総量,40001,静　岡,022,34937,267,,
2021,11,26,金,仙台市,0401,国産果実総量,40001,和歌山,030,10893,302,,
2021,11,26,金,仙台市,0401,国産果実総量,40001,青　森,002,5405,381,,
2021,11,26,金,仙台市,0401,国産果実総量,40001,山　形,006,4795,256,,
2021,11,26,金,仙台市,0401,国産果実総量,40001,宮　城,004,3438,1554,,
2021,11,26,金,仙台市,0401,みかん,40100,,,125054,252,78.7,94.0
2021,11,26,金,仙台市,0401,みかん,40100,長　崎,042,53858,263,,
2021,11,26,金,仙台市,0401,みかん,40100,静　岡,022,34937,267,,
2021,11,26,金,仙台市,0401,みかん,40100,熊　本,043,31291,222,,
2021,11,26,金,仙台市,0401,その他雑かん,41999,,,3213,954,997.8,114.4
2021,11,26,金,仙台市,0401,りんご計,42000,,,10145,291,92.3,67.5
2021,11,26,金,仙台市,0401,りんご計,42000,青　森,002,5235,376,,
2021,11,26,金,仙台市,0401,りんご計,42000,山　形,006,4140,211,,
2021,11,26,金,仙台市,0401,王林,42515,,,615,414,3075.0,180.8
2021,11,26,金,仙台市,0401,王林,42515,青　森,002,615,414,,
2021,11,26,金,仙台市,0401,ふじ,42804,,,9360,277,85.5,64.1
2021,11,26,金,仙台市,0401,ふじ,42804,青　森,002,4570,371,,
2021,11,26,金,仙台市,0401,ふじ,42804,山　形,006,4020,194,,
2021,11,26,金,仙台市,0401,その他りんご,42999,,,170,661,－,－
2021,11,26,金,仙台市,0401,西洋なし,43499,,,615,448,41.3,116.1
2021,11,26,金,仙台市,0401,西洋なし,43499,山　形,006,615,448,,
2021,11,26,金,仙台市,0401,かき計,43500,,,8235,360,54.6,97.3
2021,11,26,金,仙台市,0401,かき計,43500,和歌山,030,5925,384,,
2021,11,26,金,仙台市,0401,かき計,43500,奈　良,029,2160,313,,
2021,11,26,金,仙台市,0401,甘がき,43700,,,8085,365,69.8,95.8
2021,11,26,金,仙台市,0401,甘がき,43700,和歌山,030,5925,384,,
2021,11,26,金,仙台市,0401,甘がき,43700,奈　良,029,2160,313,,
2021,11,26,金,仙台市,0401,渋がき,43751,,,150,108,4.3,32.3
2021,11,26,金,仙台市,0401,渋がき,43751,福　島,007,150,108,,
2021,11,26,金,仙台市,0401,ぶどう計,45000,,,590,1850,106.3,130.5
2021,11,26,金,仙台市,0401,ぶどう計,45000,福　島,007,270,2154,,
2021,11,26,金,仙台市,0401,ぶどう計,45000,青　森,002,170,514,,
2021,11,26,金,仙台市,0401,ぶどう計,45000,長　野,020,150,2819,,
2021,11,26,金,仙台市,0401,その他ぶどう,45299,,,590,1850,138.8,131.0
2021,11,26,金,仙台市,0401,いちご,46100,,,3683,1684,68.4,98.7
2021,11,26,金,仙台市,0401,いちご,46100,宮　城,004,3183,1665,,
2021,11,26,金,仙台市,0401,メロン計,47000,,,4774,638,555.1,88.4
2021,11,26,金,仙台市,0401,メロン計,47000,熊　本,043,3990,605,,
2021,11,26,金,仙台市,0401,温室メロン,47200,,,1749,707,281.2,96.5
2021,11,26,金,仙台市,0401,温室メロン,47200,熊　本,043,1015,629,,
2021,11,26,金,仙台市,0401,温室メロン,47200,高　知,039,734,815,,
2021,11,26,金,仙台市,0401,その他メロン,47299,,,3025,598,1271.0,86.4
2021,11,26,金,仙台市,0401,すいか,48100,,,40,378,4.8,152.4
2021,11,26,金,仙台市,0401,すいか,48100,高　知,039,40,378,,
2021,11,26,金,仙台市,0401,キウイフルツ,49300,,,918,605,419.2,82.5
2021,11,26,金,仙台市,0401,キウイフルツ,49300,福　岡,040,414,527,,
2021,11,26,金,仙台市,0401,キウイフルツ,49300,宮　崎,045,332,856,,
2021,11,26,金,仙台市,0401,他の国産果実,49500,,,31,1867,14.9,185.8
2021,11,26,金,仙台市,0401,輸入果実計,50000,,,26926,224,128.9,87.5
2021,11,26,金,仙台市,0401,バナナ,50100,,,12678,182,99.5,93.8
2021,11,26,金,仙台市,0401,パイナップル,50300,,,3370,169,141.0,71.9
2021,11,26,金,仙台市,0401,レモン,50400,,,1377,363,111.7,100.3
2021,11,26,金,仙台市,0401,グレプフルツ,50500,,,2176,276,251.0,138.0
2021,11,26,金,仙台市,0401,オレンジ,50600,,,4624,96,280.4,34.2
2021,11,26,金,仙台市,0401,輸入キウイ,50800,,,1964,549,126.5,110.2
2021,11,26,金,仙台市,0401,輸入メロン,50850,,,90,486,－,－
2021,11,26,金,仙台市,0401,他の輸入果実,50900,,,647,741,140.7,74.0
