年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,26,金,神戸市,2801,果実総量,40000,,,126804,309,125.1,75.9
2021,11,26,金,神戸市,2801,国産果実総量,40001,,,100629,305,108.1,71.8
2021,11,26,金,神戸市,2801,国産果実総量,40001,和歌山,030,37025,250,,
2021,11,26,金,神戸市,2801,国産果実総量,40001,青　森,002,23552,338,,
2021,11,26,金,神戸市,2801,国産果実総量,40001,愛　媛,038,20530,212,,
2021,11,26,金,神戸市,2801,国産果実総量,40001,香　川,037,3955,330,,
2021,11,26,金,神戸市,2801,国産果実総量,40001,長　野,020,3920,652,,
2021,11,26,金,神戸市,2801,国産果実総量,40001,奈　良,029,3740,206,,
2021,11,26,金,神戸市,2801,国産果実総量,40001,山　形,006,2965,206,,
2021,11,26,金,神戸市,2801,みかん,40100,,,60230,224,141.6,86.2
2021,11,26,金,神戸市,2801,みかん,40100,和歌山,030,36500,248,,
2021,11,26,金,神戸市,2801,みかん,40100,愛　媛,038,20073,198,,
2021,11,26,金,神戸市,2801,その他雑かん,41999,,,650,792,43.9,103.1
2021,11,26,金,神戸市,2801,りんご計,42000,,,31236,336,90.7,70.0
2021,11,26,金,神戸市,2801,りんご計,42000,青　森,002,23312,338,,
2021,11,26,金,神戸市,2801,りんご計,42000,長　野,020,3500,434,,
2021,11,26,金,神戸市,2801,ジョナゴルド,42505,,,7343,305,1203.8,61.4
2021,11,26,金,神戸市,2801,ジョナゴルド,42505,青　森,002,7343,305,,
2021,11,26,金,神戸市,2801,王林,42515,,,2885,283,267.1,59.1
2021,11,26,金,神戸市,2801,王林,42515,青　森,002,2885,283,,
2021,11,26,金,神戸市,2801,ふじ,42804,,,20733,349,65.2,73.2
2021,11,26,金,神戸市,2801,ふじ,42804,青　森,002,12809,362,,
2021,11,26,金,神戸市,2801,ふじ,42804,長　野,020,3500,434,,
2021,11,26,金,神戸市,2801,ふじ,42804,山　形,006,2965,206,,
2021,11,26,金,神戸市,2801,その他りんご,42999,,,275,695,29.4,122.4
2021,11,26,金,神戸市,2801,日本なし計,43000,,,80,837,－,－
2021,11,26,金,神戸市,2801,日本なし計,43000,鳥　取,031,80,837,,
2021,11,26,金,神戸市,2801,その他なし,43401,,,80,837,－,－
2021,11,26,金,神戸市,2801,かき計,43500,,,5625,224,60.2,96.6
2021,11,26,金,神戸市,2801,かき計,43500,奈　良,029,3740,206,,
2021,11,26,金,神戸市,2801,かき計,43500,徳　島,036,1290,189,,
2021,11,26,金,神戸市,2801,甘がき,43700,,,3755,225,58.0,99.6
2021,11,26,金,神戸市,2801,甘がき,43700,奈　良,029,3230,203,,
2021,11,26,金,神戸市,2801,渋がき,43751,,,1870,221,65.0,90.2
2021,11,26,金,神戸市,2801,渋がき,43751,徳　島,036,1290,189,,
2021,11,26,金,神戸市,2801,渋がき,43751,奈　良,029,510,227,,
2021,11,26,金,神戸市,2801,ぶどう計,45000,,,489,2329,50.8,103.1
2021,11,26,金,神戸市,2801,ぶどう計,45000,長　野,020,420,2469,,
2021,11,26,金,神戸市,2801,その他ぶどう,45299,,,489,2329,50.8,103.1
2021,11,26,金,神戸市,2801,いちご,46100,,,1266,2343,51.8,105.4
2021,11,26,金,神戸市,2801,いちご,46100,長　崎,042,569,2228,,
2021,11,26,金,神戸市,2801,いちご,46100,熊　本,043,309,2175,,
2021,11,26,金,神戸市,2801,いちご,46100,香　川,037,298,2680,,
2021,11,26,金,神戸市,2801,メロン計,47000,,,540,626,59.7,93.4
2021,11,26,金,神戸市,2801,メロン計,47000,高　知,039,307,425,,
2021,11,26,金,神戸市,2801,メロン計,47000,静　岡,022,233,892,,
2021,11,26,金,神戸市,2801,温室メロン,47200,,,477,630,64.1,94.9
2021,11,26,金,神戸市,2801,温室メロン,47200,高　知,039,244,380,,
2021,11,26,金,神戸市,2801,温室メロン,47200,静　岡,022,233,892,,
2021,11,26,金,神戸市,2801,その他メロン,47299,,,63,598,39.4,86.3
2021,11,26,金,神戸市,2801,他の国産果実,49500,,,513,829,4663.6,58.3
2021,11,26,金,神戸市,2801,輸入果実計,50000,,,26175,323,316.2,154.5
2021,11,26,金,神戸市,2801,バナナ,50100,,,8073,169,1321.3,268.3
2021,11,26,金,神戸市,2801,パイナップル,50300,,,4488,136,187.7,79.1
2021,11,26,金,神戸市,2801,オレンジ,50600,,,3536,195,88.5,83.0
2021,11,26,金,神戸市,2801,輸入キウイ,50800,,,9851,573,－,－
2021,11,26,金,神戸市,2801,輸入メロン,50850,,,40,497,－,－
2021,11,26,金,神戸市,2801,他の輸入果実,50900,,,187,704,106.9,135.1
