年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,26,金,神戸市,2801,野菜総量,30000,,,311988,199,122.8,98.0
2021,11,26,金,神戸市,2801,野菜総量,30000,茨　城,008,60313,85,,
2021,11,26,金,神戸市,2801,野菜総量,30000,北海道,001,52345,214,,
2021,11,26,金,神戸市,2801,野菜総量,30000,兵　庫,028,46043,223,,
2021,11,26,金,神戸市,2801,野菜総量,30000,愛　知,023,32576,84,,
2021,11,26,金,神戸市,2801,野菜総量,30000,徳　島,036,18069,316,,
2021,11,26,金,神戸市,2801,野菜総量,30000,長　崎,042,15227,85,,
2021,11,26,金,神戸市,2801,野菜総量,30000,宮　崎,045,12571,315,,
2021,11,26,金,神戸市,2801,だいこん,30100,,,24622,58,99.8,90.6
2021,11,26,金,神戸市,2801,だいこん,30100,長　崎,042,10120,56,,
2021,11,26,金,神戸市,2801,だいこん,30100,徳　島,036,5000,71,,
2021,11,26,金,神戸市,2801,だいこん,30100,兵　庫,028,4620,45,,
2021,11,26,金,神戸市,2801,かぶ,30200,,,957,188,138.7,103.3
2021,11,26,金,神戸市,2801,かぶ,30200,徳　島,036,640,188,,
2021,11,26,金,神戸市,2801,かぶ,30200,福　岡,040,200,136,,
2021,11,26,金,神戸市,2801,にんじん,30300,,,11500,110,131.1,94.8
2021,11,26,金,神戸市,2801,にんじん,30300,千　葉,012,7950,110,,
2021,11,26,金,神戸市,2801,にんじん,30300,長　崎,042,3200,102,,
2021,11,26,金,神戸市,2801,ごぼう,30400,,,2958,166,193.6,81.4
2021,11,26,金,神戸市,2801,ごぼう,30400,北海道,001,1210,170,,
2021,11,26,金,神戸市,2801,ごぼう,30400,青　森,002,1200,157,,
2021,11,26,金,神戸市,2801,れんこん,30600,,,1529,480,81.2,104.1
2021,11,26,金,神戸市,2801,れんこん,30600,徳　島,036,1170,489,,
2021,11,26,金,神戸市,2801,れんこん,30600,茨　城,008,200,459,,
2021,11,26,金,神戸市,2801,はくさい,31100,,,36098,41,123.9,85.4
2021,11,26,金,神戸市,2801,はくさい,31100,茨　城,008,34088,39,,
2021,11,26,金,神戸市,2801,みずな,31300,,,1340,521,193.4,88.3
2021,11,26,金,神戸市,2801,みずな,31300,福　岡,040,668,493,,
2021,11,26,金,神戸市,2801,みずな,31300,兵　庫,028,452,547,,
2021,11,26,金,神戸市,2801,こまつな,31500,,,3777,321,107.5,101.3
2021,11,26,金,神戸市,2801,こまつな,31500,福　岡,040,2036,289,,
2021,11,26,金,神戸市,2801,こまつな,31500,兵　庫,028,1491,375,,
2021,11,26,金,神戸市,2801,その他の菜類,31550,,,54,304,84.4,90.2
2021,11,26,金,神戸市,2801,ちんげんさい,31560,,,1567,265,96.1,96.7
2021,11,26,金,神戸市,2801,ちんげんさい,31560,静　岡,022,791,252,,
2021,11,26,金,神戸市,2801,ちんげんさい,31560,福　岡,040,340,221,,
2021,11,26,金,神戸市,2801,ちんげんさい,31560,兵　庫,028,316,335,,
2021,11,26,金,神戸市,2801,キャベツ,31700,,,58636,60,114.2,95.2
2021,11,26,金,神戸市,2801,キャベツ,31700,愛　知,023,31500,58,,
2021,11,26,金,神戸市,2801,キャベツ,31700,兵　庫,028,14516,54,,
2021,11,26,金,神戸市,2801,キャベツ,31700,福　井,018,6600,67,,
2021,11,26,金,神戸市,2801,ほうれんそう,31800,,,1108,561,69.1,102.4
2021,11,26,金,神戸市,2801,ほうれんそう,31800,福　岡,040,450,519,,
2021,11,26,金,神戸市,2801,ほうれんそう,31800,兵　庫,028,292,503,,
2021,11,26,金,神戸市,2801,ほうれんそう,31800,徳　島,036,200,513,,
2021,11,26,金,神戸市,2801,ねぎ,31900,,,12627,337,103.9,99.4
2021,11,26,金,神戸市,2801,ねぎ,31900,群　馬,010,3258,282,,
2021,11,26,金,神戸市,2801,ねぎ,31900,長　野,020,2061,337,,
2021,11,26,金,神戸市,2801,ねぎ,31900,鳥　取,031,2040,394,,
2021,11,26,金,神戸市,2801,ねぎ,31900,茨　城,008,1845,224,,
2021,11,26,金,神戸市,2801,ねぎ,31900,香　川,037,1219,296,,
2021,11,26,金,神戸市,2801,ふき,32300,,,120,306,123.7,106.3
2021,11,26,金,神戸市,2801,ふき,32300,愛　知,023,108,295,,
2021,11,26,金,神戸市,2801,みつば,32500,,,249,598,100.0,98.8
2021,11,26,金,神戸市,2801,みつば,32500,大　分,044,140,521,,
2021,11,26,金,神戸市,2801,みつば,32500,高　知,039,60,783,,
2021,11,26,金,神戸市,2801,しゅんぎく,32600,,,740,544,97.2,101.9
2021,11,26,金,神戸市,2801,しゅんぎく,32600,兵　庫,028,400,467,,
2021,11,26,金,神戸市,2801,しゅんぎく,32600,福　岡,040,165,685,,
2021,11,26,金,神戸市,2801,しゅんぎく,32600,大　阪,027,160,574,,
2021,11,26,金,神戸市,2801,にら,32800,,,317,881,55.5,104.4
2021,11,26,金,神戸市,2801,にら,32800,高　知,039,150,958,,
2021,11,26,金,神戸市,2801,にら,32800,福　岡,040,125,791,,
2021,11,26,金,神戸市,2801,セルリー,32900,,,630,259,105.0,101.6
2021,11,26,金,神戸市,2801,セルリー,32900,静　岡,022,400,272,,
2021,11,26,金,神戸市,2801,セルリー,32900,兵　庫,028,230,235,,
2021,11,26,金,神戸市,2801,アスパラガス,33100,,,33,785,100.0,100.0
