年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,26,金,高松市,3701,野菜総量,30000,,,154023,215,113.3,90.0
2021,11,26,金,高松市,3701,野菜総量,30000,香　川,037,33860,219,,
2021,11,26,金,高松市,3701,野菜総量,30000,北海道,001,33673,221,,
2021,11,26,金,高松市,3701,野菜総量,30000,茨　城,008,16996,77,,
2021,11,26,金,高松市,3701,野菜総量,30000,徳　島,036,14415,154,,
2021,11,26,金,高松市,3701,野菜総量,30000,高　知,039,8517,417,,
2021,11,26,金,高松市,3701,野菜総量,30000,長　崎,042,6850,128,,
2021,11,26,金,高松市,3701,野菜総量,30000,群　馬,010,6158,132,,
2021,11,26,金,高松市,3701,だいこん,30100,,,5840,77,57.0,83.7
2021,11,26,金,高松市,3701,だいこん,30100,群　馬,010,3280,76,,
2021,11,26,金,高松市,3701,だいこん,30100,徳　島,036,1035,51,,
2021,11,26,金,高松市,3701,だいこん,30100,宮　崎,045,1000,95,,
2021,11,26,金,高松市,3701,かぶ,30200,,,899,190,80.1,95.0
2021,11,26,金,高松市,3701,かぶ,30200,香　川,037,699,176,,
2021,11,26,金,高松市,3701,かぶ,30200,千　葉,012,140,273,,
2021,11,26,金,高松市,3701,にんじん,30300,,,7745,140,76.2,87.5
2021,11,26,金,高松市,3701,にんじん,30300,長　崎,042,6340,132,,
2021,11,26,金,高松市,3701,ごぼう,30400,,,653,386,36.1,167.1
2021,11,26,金,高松市,3701,ごぼう,30400,青　森,002,330,194,,
2021,11,26,金,高松市,3701,ごぼう,30400,岡　山,033,305,585,,
2021,11,26,金,高松市,3701,れんこん,30600,,,1432,329,126.6,74.3
2021,11,26,金,高松市,3701,れんこん,30600,徳　島,036,797,359,,
2021,11,26,金,高松市,3701,れんこん,30600,岡　山,033,615,292,,
2021,11,26,金,高松市,3701,はくさい,31100,,,25755,58,270.4,96.7
2021,11,26,金,高松市,3701,はくさい,31100,茨　城,008,15045,62,,
2021,11,26,金,高松市,3701,はくさい,31100,徳　島,036,4770,45,,
2021,11,26,金,高松市,3701,はくさい,31100,大　分,044,3990,60,,
2021,11,26,金,高松市,3701,みずな,31300,,,506,414,85.8,97.2
2021,11,26,金,高松市,3701,みずな,31300,茨　城,008,240,357,,
2021,11,26,金,高松市,3701,みずな,31300,香　川,037,171,441,,
2021,11,26,金,高松市,3701,こまつな,31500,,,1270,240,97.9,84.2
2021,11,26,金,高松市,3701,こまつな,31500,香　川,037,555,271,,
2021,11,26,金,高松市,3701,こまつな,31500,茨　城,008,510,178,,
2021,11,26,金,高松市,3701,その他の菜類,31550,,,460,221,134.1,90.9
2021,11,26,金,高松市,3701,ちんげんさい,31560,,,240,322,87.9,121.1
2021,11,26,金,高松市,3701,ちんげんさい,31560,香　川,037,101,368,,
2021,11,26,金,高松市,3701,ちんげんさい,31560,徳　島,036,88,322,,
2021,11,26,金,高松市,3701,ちんげんさい,31560,茨　城,008,51,231,,
2021,11,26,金,高松市,3701,キャベツ,31700,,,16860,49,110.9,92.5
2021,11,26,金,高松市,3701,キャベツ,31700,香　川,037,11730,49,,
2021,11,26,金,高松市,3701,キャベツ,31700,徳　島,036,3470,46,,
2021,11,26,金,高松市,3701,ほうれんそう,31800,,,2233,390,89.1,87.2
2021,11,26,金,高松市,3701,ほうれんそう,31800,香　川,037,1316,402,,
2021,11,26,金,高松市,3701,ほうれんそう,31800,茨　城,008,500,324,,
2021,11,26,金,高松市,3701,ねぎ,31900,,,8506,398,129.3,98.0
2021,11,26,金,高松市,3701,ねぎ,31900,鳥　取,031,5802,366,,
2021,11,26,金,高松市,3701,ねぎ,31900,香　川,037,821,419,,
2021,11,26,金,高松市,3701,ねぎ,31900,大　分,044,600,432,,
2021,11,26,金,高松市,3701,ふき,32300,,,136,188,147.8,94.0
2021,11,26,金,高松市,3701,ふき,32300,愛　知,023,76,227,,
2021,11,26,金,高松市,3701,ふき,32300,香　川,037,60,138,,
2021,11,26,金,高松市,3701,みつば,32500,,,74,906,58.7,118.9
2021,11,26,金,高松市,3701,みつば,32500,高　知,039,74,906,,
2021,11,26,金,高松市,3701,しゅんぎく,32600,,,315,454,81.8,99.6
2021,11,26,金,高松市,3701,しゅんぎく,32600,香　川,037,234,439,,
2021,11,26,金,高松市,3701,しゅんぎく,32600,福　岡,040,36,486,,
2021,11,26,金,高松市,3701,にら,32800,,,870,755,151.3,94.3
2021,11,26,金,高松市,3701,にら,32800,高　知,039,870,754,,
2021,11,26,金,高松市,3701,セルリー,32900,,,388,256,267.6,88.9
2021,11,26,金,高松市,3701,セルリー,32900,長　野,020,278,231,,
2021,11,26,金,高松市,3701,セルリー,32900,静　岡,022,100,324,,
2021,11,26,金,高松市,3701,アスパラガス,33100,,,13,1026,24.5,95.1
2021,11,26,金,高松市,3701,　　うち輸入,33101,,,13,1026,24.5,95.1
2021,11,26,金,高松市,3701,カリフラワー,33200,,,90,288,70.9,123.6
2021,11,26,金,高松市,3701,カリフラワー,33200,群　馬,010,60,288,,
2021,11,26,金,高松市,3701,カリフラワー,33200,徳　島,036,30,288,,
2021,11,26,金,高松市,3701,ブロッコリー,33300,,,2761,258,134.9,92.8
2021,11,26,金,高松市,3701,ブロッコリー,33300,香　川,037,2431,262,,
2021,11,26,金,高松市,3701,レタス,33400,,,7567,81,101.3,80.2
2021,11,26,金,高松市,3701,レタス,33400,香　川,037,6796,84,,
2021,11,26,金,高松市,3701,パセリ,33600,,,29,1448,96.7,85.0
2021,11,26,金,高松市,3701,パセリ,33600,香　川,037,29,1415,,
2021,11,26,金,高松市,3701,きゅうり,34100,,,4475,214,73.0,91.8
2021,11,26,金,高松市,3701,きゅうり,34100,高　知,039,2290,254,,
