年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,27,土,高松市,3701,果実総量,40000,,,71463,340,129.7,114.5
2021,11,27,土,高松市,3701,国産果実総量,40001,,,62279,358,134.2,113.7
2021,11,27,土,高松市,3701,国産果実総量,40001,香　川,037,45533,364,,
2021,11,27,土,高松市,3701,国産果実総量,40001,愛　媛,038,8608,299,,
2021,11,27,土,高松市,3701,国産果実総量,40001,高　知,039,2707,241,,
2021,11,27,土,高松市,3701,国産果実総量,40001,青　森,002,2412,376,,
2021,11,27,土,高松市,3701,国産果実総量,40001,長　野,020,945,902,,
2021,11,27,土,高松市,3701,国産果実総量,40001,鳥　取,031,800,130,,
2021,11,27,土,高松市,3701,国産果実総量,40001,徳　島,036,560,244,,
2021,11,27,土,高松市,3701,みかん,40100,,,41468,263,130.0,113.4
2021,11,27,土,高松市,3701,みかん,40100,香　川,037,32605,290,,
2021,11,27,土,高松市,3701,みかん,40100,愛　媛,038,6433,148,,
2021,11,27,土,高松市,3701,その他雑かん,41999,,,3499,551,576.4,62.6
2021,11,27,土,高松市,3701,りんご計,42000,,,3202,399,77.0,162.9
2021,11,27,土,高松市,3701,りんご計,42000,青　森,002,2412,376,,
2021,11,27,土,高松市,3701,りんご計,42000,長　野,020,790,470,,
2021,11,27,土,高松市,3701,ジョナゴルド,42505,,,360,328,211.8,109.0
2021,11,27,土,高松市,3701,ジョナゴルド,42505,青　森,002,360,328,,
2021,11,27,土,高松市,3701,王林,42515,,,370,241,－,－
2021,11,27,土,高松市,3701,王林,42515,青　森,002,370,241,,
2021,11,27,土,高松市,3701,ふじ,42804,,,2320,426,63.6,178.2
2021,11,27,土,高松市,3701,ふじ,42804,青　森,002,1540,404,,
2021,11,27,土,高松市,3701,ふじ,42804,長　野,020,780,470,,
2021,11,27,土,高松市,3701,その他りんご,42999,,,152,541,44.7,189.2
2021,11,27,土,高松市,3701,西洋なし,43499,,,125,568,72.3,117.8
2021,11,27,土,高松市,3701,西洋なし,43499,山　形,006,125,568,,
2021,11,27,土,高松市,3701,かき計,43500,,,9948,240,189.3,82.5
2021,11,27,土,高松市,3701,かき計,43500,香　川,037,9448,243,,
2021,11,27,土,高松市,3701,甘がき,43700,,,6378,273,135.4,96.1
2021,11,27,土,高松市,3701,甘がき,43700,香　川,037,6378,273,,
2021,11,27,土,高松市,3701,渋がき,43751,,,3570,180,653.8,51.4
2021,11,27,土,高松市,3701,渋がき,43751,香　川,037,3070,178,,
2021,11,27,土,高松市,3701,ぶどう計,45000,,,155,3104,159.8,115.6
2021,11,27,土,高松市,3701,ぶどう計,45000,長　野,020,155,3104,,
2021,11,27,土,高松市,3701,その他ぶどう,45299,,,155,3104,159.8,115.6
2021,11,27,土,高松市,3701,いちご,46100,,,1541,2101,148.0,100.6
2021,11,27,土,高松市,3701,いちご,46100,香　川,037,1541,2101,,
2021,11,27,土,高松市,3701,メロン計,47000,,,707,683,50.6,115.4
2021,11,27,土,高松市,3701,メロン計,47000,静　岡,022,315,788,,
2021,11,27,土,高松市,3701,メロン計,47000,熊　本,043,273,493,,
2021,11,27,土,高松市,3701,温室メロン,47200,,,528,761,118.7,114.6
2021,11,27,土,高松市,3701,温室メロン,47200,静　岡,022,315,788,,
2021,11,27,土,高松市,3701,温室メロン,47200,高　知,039,119,838,,
2021,11,27,土,高松市,3701,その他メロン,47299,,,179,450,18.8,80.6
2021,11,27,土,高松市,3701,すいか,48100,,,20,540,33.3,76.9
2021,11,27,土,高松市,3701,すいか,48100,高　知,039,20,540,,
2021,11,27,土,高松市,3701,キウイフルツ,49300,,,1527,940,111.1,222.7
2021,11,27,土,高松市,3701,キウイフルツ,49300,香　川,037,1527,940,,
2021,11,27,土,高松市,3701,他の国産果実,49500,,,87,796,8700.0,36.9
2021,11,27,土,高松市,3701,輸入果実計,50000,,,9184,221,105.5,110.5
2021,11,27,土,高松市,3701,バナナ,50100,,,6799,179,95.1,117.0
2021,11,27,土,高松市,3701,パイナップル,50300,,,954,209,329.0,105.6
2021,11,27,土,高松市,3701,レモン,50400,,,236,436,64.1,124.6
2021,11,27,土,高松市,3701,グレプフルツ,50500,,,160,176,197.5,68.8
2021,11,27,土,高松市,3701,オレンジ,50600,,,598,314,176.4,89.0
2021,11,27,土,高松市,3701,輸入キウイ,50800,,,203,576,66.6,107.5
2021,11,27,土,高松市,3701,他の輸入果実,50900,,,234,747,136.0,86.1
