年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,27,土,福岡市,4002,果実総量,40000,,,302524,338,80.6,144.4
2021,11,27,土,福岡市,4002,国産果実総量,40001,,,184148,384,116.8,111.3
2021,11,27,土,福岡市,4002,国産果実総量,40001,福　岡,040,76324,367,,
2021,11,27,土,福岡市,4002,国産果実総量,40001,佐　賀,041,38724,333,,
2021,11,27,土,福岡市,4002,国産果実総量,40001,熊　本,043,19801,231,,
2021,11,27,土,福岡市,4002,国産果実総量,40001,青　森,002,15005,380,,
2021,11,27,土,福岡市,4002,国産果実総量,40001,長　野,020,14464,594,,
2021,11,27,土,福岡市,4002,国産果実総量,40001,愛　媛,038,7332,217,,
2021,11,27,土,福岡市,4002,国産果実総量,40001,長　崎,042,6859,884,,
2021,11,27,土,福岡市,4002,みかん,40100,,,93928,213,134.0,112.7
2021,11,27,土,福岡市,4002,みかん,40100,福　岡,040,38248,265,,
2021,11,27,土,福岡市,4002,みかん,40100,佐　賀,041,36465,218,,
2021,11,27,土,福岡市,4002,みかん,40100,熊　本,043,16725,99,,
2021,11,27,土,福岡市,4002,その他雑かん,41999,,,2479,517,134.9,111.2
2021,11,27,土,福岡市,4002,りんご計,42000,,,29529,424,151.6,104.4
2021,11,27,土,福岡市,4002,りんご計,42000,青　森,002,14405,372,,
2021,11,27,土,福岡市,4002,りんご計,42000,長　野,020,13790,482,,
2021,11,27,土,福岡市,4002,ジョナゴルド,42505,,,2927,420,98.2,97.7
2021,11,27,土,福岡市,4002,ジョナゴルド,42505,青　森,002,2927,420,,
2021,11,27,土,福岡市,4002,王林,42515,,,3810,329,1088.6,79.1
2021,11,27,土,福岡市,4002,王林,42515,青　森,002,3810,329,,
2021,11,27,土,福岡市,4002,ふじ,42804,,,18684,473,158.6,110.5
2021,11,27,土,福岡市,4002,ふじ,42804,長　野,020,13790,482,,
2021,11,27,土,福岡市,4002,ふじ,42804,青　森,002,3560,475,,
2021,11,27,土,福岡市,4002,その他りんご,42999,,,4108,289,93.9,87.3
2021,11,27,土,福岡市,4002,日本なし計,43000,,,2225,469,72.6,118.1
2021,11,27,土,福岡市,4002,日本なし計,43000,大　分,044,2075,475,,
2021,11,27,土,福岡市,4002,その他なし,43401,,,2225,469,72.6,118.1
2021,11,27,土,福岡市,4002,西洋なし,43499,,,1249,582,49.6,103.4
2021,11,27,土,福岡市,4002,西洋なし,43499,山　形,006,683,542,,
2021,11,27,土,福岡市,4002,西洋なし,43499,青　森,002,500,540,,
2021,11,27,土,福岡市,4002,かき計,43500,,,41099,264,88.1,96.4
2021,11,27,土,福岡市,4002,かき計,43500,福　岡,040,33539,288,,
2021,11,27,土,福岡市,4002,甘がき,43700,,,33824,287,107.4,98.3
2021,11,27,土,福岡市,4002,甘がき,43700,福　岡,040,33469,288,,
2021,11,27,土,福岡市,4002,渋がき,43751,,,7275,157,47.9,66.5
2021,11,27,土,福岡市,4002,渋がき,43751,愛　媛,038,6775,164,,
2021,11,27,土,福岡市,4002,ぶどう計,45000,,,1003,2382,298.5,88.6
2021,11,27,土,福岡市,4002,ぶどう計,45000,長　野,020,674,2880,,
2021,11,27,土,福岡市,4002,ぶどう計,45000,岡　山,033,174,1751,,
2021,11,27,土,福岡市,4002,巨峰,45206,,,294,1523,－,－
2021,11,27,土,福岡市,4002,巨峰,45206,長　野,020,294,1523,,
2021,11,27,土,福岡市,4002,その他ぶどう,45299,,,709,2739,211.0,101.9
2021,11,27,土,福岡市,4002,いちご,46100,,,8187,2372,154.7,101.0
2021,11,27,土,福岡市,4002,いちご,46100,福　岡,040,3083,2444,,
2021,11,27,土,福岡市,4002,いちご,46100,長　崎,042,2248,2169,,
2021,11,27,土,福岡市,4002,いちご,46100,佐　賀,041,1907,2557,,
2021,11,27,土,福岡市,4002,メロン計,47000,,,3796,542,163.5,77.0
2021,11,27,土,福岡市,4002,メロン計,47000,長　崎,042,2321,410,,
2021,11,27,土,福岡市,4002,メロン計,47000,熊　本,043,1008,571,,
2021,11,27,土,福岡市,4002,温室メロン,47200,,,2807,518,213.8,65.9
2021,11,27,土,福岡市,4002,温室メロン,47200,長　崎,042,1916,389,,
2021,11,27,土,福岡市,4002,温室メロン,47200,熊　本,043,592,482,,
2021,11,27,土,福岡市,4002,その他メロン,47299,,,989,611,98.0,102.3
2021,11,27,土,福岡市,4002,キウイフルツ,49300,,,367,382,29.7,65.5
2021,11,27,土,福岡市,4002,キウイフルツ,49300,佐　賀,041,227,177,,
2021,11,27,土,福岡市,4002,キウイフルツ,49300,福　岡,040,128,700,,
2021,11,27,土,福岡市,4002,他の国産果実,49500,,,286,1012,74.7,109.8
2021,11,27,土,福岡市,4002,輸入果実計,50000,,,118376,266,54.3,172.7
2021,11,27,土,福岡市,4002,バナナ,50100,,,68168,126,37.3,95.5
2021,11,27,土,福岡市,4002,パイナップル,50300,,,3769,208,18.6,121.6
2021,11,27,土,福岡市,4002,レモン,50400,,,6085,215,689.9,62.7
2021,11,27,土,福岡市,4002,グレプフルツ,50500,,,1915,187,128.7,106.9
2021,11,27,土,福岡市,4002,オレンジ,50600,,,4488,246,97.4,98.4
2021,11,27,土,福岡市,4002,輸入キウイ,50800,,,15735,628,1002.2,120.3
2021,11,27,土,福岡市,4002,輸入メロン,50850,,,153,305,1020.0,101.0
2021,11,27,土,福岡市,4002,他の輸入果実,50900,,,18063,521,289.7,97.2
