年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,27,土,沖縄県,4701,果実総量,40000,,,41368,307,123.1,107.7
2021,11,27,土,沖縄県,4701,国産果実総量,40001,,,28602,324,243.6,99.7
2021,11,27,土,沖縄県,4701,国産果実総量,40001,熊　本,043,8769,183,,
2021,11,27,土,沖縄県,4701,国産果実総量,40001,奈　良,029,8600,396,,
2021,11,27,土,沖縄県,4701,国産果実総量,40001,福　岡,040,4202,313,,
2021,11,27,土,沖縄県,4701,国産果実総量,40001,沖　縄,047,2047,420,,
2021,11,27,土,沖縄県,4701,国産果実総量,40001,青　森,002,1730,475,,
2021,11,27,土,沖縄県,4701,国産果実総量,40001,和歌山,030,1400,335,,
2021,11,27,土,沖縄県,4701,国産果実総量,40001,愛　媛,038,1210,315,,
2021,11,27,土,沖縄県,4701,みかん,40100,,,11659,210,160.6,83.3
2021,11,27,土,沖縄県,4701,みかん,40100,熊　本,043,8769,183,,
2021,11,27,土,沖縄県,4701,みかん,40100,和歌山,030,1400,335,,
2021,11,27,土,沖縄県,4701,その他雑かん,41999,,,423,322,71.5,89.2
2021,11,27,土,沖縄県,4701,りんご計,42000,,,1730,475,64.3,109.4
2021,11,27,土,沖縄県,4701,りんご計,42000,青　森,002,1730,475,,
2021,11,27,土,沖縄県,4701,ジョナゴルド,42505,,,210,481,25.9,156.7
2021,11,27,土,沖縄県,4701,ジョナゴルド,42505,青　森,002,210,481,,
2021,11,27,土,沖縄県,4701,ふじ,42804,,,1520,474,80.9,96.9
2021,11,27,土,沖縄県,4701,ふじ,42804,青　森,002,1520,474,,
2021,11,27,土,沖縄県,4701,かき計,43500,,,12830,369,－,－
2021,11,27,土,沖縄県,4701,かき計,43500,奈　良,029,8600,396,,
2021,11,27,土,沖縄県,4701,かき計,43500,福　岡,040,3870,308,,
2021,11,27,土,沖縄県,4701,甘がき,43700,,,12470,369,－,－
2021,11,27,土,沖縄県,4701,甘がき,43700,奈　良,029,8600,396,,
2021,11,27,土,沖縄県,4701,甘がき,43700,福　岡,040,3870,308,,
2021,11,27,土,沖縄県,4701,渋がき,43751,,,360,370,－,－
2021,11,27,土,沖縄県,4701,渋がき,43751,愛　媛,038,360,370,,
2021,11,27,土,沖縄県,4701,ぶどう計,45000,,,25,3499,－,－
2021,11,27,土,沖縄県,4701,ぶどう計,45000,長　野,020,25,3499,,
2021,11,27,土,沖縄県,4701,その他ぶどう,45299,,,25,3499,－,－
2021,11,27,土,沖縄県,4701,いちご,46100,,,72,2570,－,－
2021,11,27,土,沖縄県,4701,いちご,46100,宮　崎,045,54,2460,,
2021,11,27,土,沖縄県,4701,いちご,46100,福　岡,040,16,2970,,
2021,11,27,土,沖縄県,4701,メロン計,47000,,,105,373,－,－
2021,11,27,土,沖縄県,4701,メロン計,47000,茨　城,008,105,373,,
2021,11,27,土,沖縄県,4701,温室メロン,47200,,,105,373,－,－
2021,11,27,土,沖縄県,4701,温室メロン,47200,茨　城,008,105,373,,
2021,11,27,土,沖縄県,4701,すいか,48100,,,1183,237,233.3,92.6
2021,11,27,土,沖縄県,4701,すいか,48100,沖　縄,047,1183,237,,
2021,11,27,土,沖縄県,4701,キウイフルツ,49300,,,46,580,21.9,127.8
2021,11,27,土,沖縄県,4701,キウイフルツ,49300,福　岡,040,46,580,,
2021,11,27,土,沖縄県,4701,他の国産果実,49500,,,529,951,158.4,105.3
2021,11,27,土,沖縄県,4701,輸入果実計,50000,,,12765,271,58.4,103.0
2021,11,27,土,沖縄県,4701,バナナ,50100,,,7185,224,53.9,101.8
2021,11,27,土,沖縄県,4701,パイナップル,50300,,,2100,224,80.2,95.3
2021,11,27,土,沖縄県,4701,レモン,50400,,,608,325,37.1,86.4
2021,11,27,土,沖縄県,4701,グレプフルツ,50500,,,442,233,53.1,100.4
2021,11,27,土,沖縄県,4701,オレンジ,50600,,,1205,313,74.1,103.0
2021,11,27,土,沖縄県,4701,輸入キウイ,50800,,,472,646,124.5,112.5
2021,11,27,土,沖縄県,4701,輸入メロン,50850,,,84,363,13.3,100.3
2021,11,27,土,沖縄県,4701,他の輸入果実,50900,,,670,550,86.0,94.3
