年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,29,月,果実総量,40000,,,5566773,376,123.1,98.2
2021,11,29,月,国産果実総量,40001,,,4732015,404,126.6,98.8
2021,11,29,月,国産果実総量,40001,愛　媛,038,722223,390,,
2021,11,29,月,国産果実総量,40001,和歌山,030,643569,284,,
2021,11,29,月,国産果実総量,40001,長　崎,042,621656,329,,
2021,11,29,月,国産果実総量,40001,熊　本,043,490306,280,,
2021,11,29,月,国産果実総量,40001,青　森,002,448308,452,,
2021,11,29,月,国産果実総量,40001,福　岡,040,319552,434,,
2021,11,29,月,国産果実総量,40001,静　岡,022,206401,408,,
2021,11,29,月,みかん,40100,,,2836835,273,137.4,100.7
2021,11,29,月,みかん,40100,長　崎,042,599536,287,,
2021,11,29,月,みかん,40100,和歌山,030,592972,277,,
2021,11,29,月,みかん,40100,愛　媛,038,561269,314,,
2021,11,29,月,みかん,40100,熊　本,043,434683,220,,
2021,11,29,月,みかん,40100,静　岡,022,185923,257,,
2021,11,29,月,ネーブル,41201,,,4414,247,6588.1,27.8
2021,11,29,月,ネーブル,41201,和歌山,030,4000,202,,
2021,11,29,月,その他雑かん,41999,,,166469,779,181.4,101.2
2021,11,29,月,りんご計,42000,,,818185,401,96.5,100.8
2021,11,29,月,りんご計,42000,青　森,002,434576,448,,
2021,11,29,月,りんご計,42000,長　野,020,156960,364,,
2021,11,29,月,りんご計,42000,山　形,006,90267,278,,
2021,11,29,月,ジョナゴルド,42505,,,32282,416,73.8,102.0
2021,11,29,月,ジョナゴルド,42505,青　森,002,32282,416,,
2021,11,29,月,王林,42515,,,65197,355,115.3,112.3
2021,11,29,月,王林,42515,青　森,002,59979,363,,
2021,11,29,月,ふじ,42804,,,649611,406,98.1,99.0
2021,11,29,月,ふじ,42804,青　森,002,289267,474,,
2021,11,29,月,ふじ,42804,長　野,020,153898,364,,
2021,11,29,月,ふじ,42804,山　形,006,89320,279,,
2021,11,29,月,その他りんご,42999,,,71095,395,84.0,112.5
2021,11,29,月,日本なし計,43000,,,11136,482,49.3,88.9
2021,11,29,月,日本なし計,43000,大　分,044,8265,450,,
2021,11,29,月,日本なし計,43000,岡　山,033,1716,609,,
2021,11,29,月,新高,43310,,,50,578,－,－
2021,11,29,月,新高,43310,新　潟,015,50,578,,
2021,11,29,月,その他なし,43401,,,11086,481,49.1,88.7
2021,11,29,月,西洋なし,43499,,,63170,552,93.7,105.5
2021,11,29,月,西洋なし,43499,山　形,006,47126,476,,
2021,11,29,月,西洋なし,43499,新　潟,015,12835,847,,
2021,11,29,月,かき計,43500,,,527984,326,129.6,99.1
2021,11,29,月,かき計,43500,福　岡,040,144698,308,,
2021,11,29,月,かき計,43500,奈　良,029,133437,324,,
2021,11,29,月,かき計,43500,岐　阜,021,104839,385,,
2021,11,29,月,かき計,43500,愛　媛,038,54980,282,,
2021,11,29,月,甘がき,43700,,,477419,334,129.0,99.7
2021,11,29,月,甘がき,43700,福　岡,040,144538,308,,
2021,11,29,月,甘がき,43700,奈　良,029,132288,325,,
2021,11,29,月,甘がき,43700,岐　阜,021,104650,385,,
2021,11,29,月,甘がき,43700,和歌山,030,45203,367,,
2021,11,29,月,渋がき,43751,,,50565,256,135.0,93.4
2021,11,29,月,渋がき,43751,愛　媛,038,34118,252,,
2021,11,29,月,渋がき,43751,山　形,006,9965,287,,
2021,11,29,月,もも,44100,,,135,1288,29.1,36.9
2021,11,29,月,もも,44100,山　梨,019,135,1288,,
2021,11,29,月,ぶどう計,45000,,,33582,2028,95.0,95.4
2021,11,29,月,ぶどう計,45000,長　野,020,20238,2777,,
2021,11,29,月,ぶどう計,45000,青　森,002,10568,603,,
2021,11,29,月,巨峰,45206,,,1070,1713,84.0,102.9
2021,11,29,月,巨峰,45206,長　野,020,990,1745,,
2021,11,29,月,その他ぶどう,45299,,,32517,2038,95.5,95.1
2021,11,29,月,くり,45700,,,89,1286,39.2,69.0
2021,11,29,月,くり,45700,山　口,035,89,1286,,
2021,11,29,月,いちご,46100,,,160002,1995,128.5,98.6
2021,11,29,月,いちご,46100,栃　木,009,55173,1731,,
2021,11,29,月,いちご,46100,福　岡,040,22537,2473,,
2021,11,29,月,いちご,46100,長　崎,042,12671,2050,,
2021,11,29,月,いちご,46100,宮　城,004,12099,1786,,
2021,11,29,月,いちご,46100,佐　賀,041,12037,2214,,
2021,11,29,月,メロン計,47000,,,57317,858,138.5,113.0
2021,11,29,月,メロン計,47000,熊　本,043,27996,598,,
2021,11,29,月,メロン計,47000,静　岡,022,13077,1698,,
2021,11,29,月,メロン計,47000,高　知,039,7466,732,,
2021,11,29,月,温室メロン,47200,,,39375,960,133.5,115.0
2021,11,29,月,温室メロン,47200,静　岡,022,13077,1698,,
2021,11,29,月,温室メロン,47200,熊　本,043,11591,555,,
2021,11,29,月,温室メロン,47200,高　知,039,7196,732,,
2021,11,29,月,アンデス,47213,,,6040,602,332.8,130.9
2021,11,29,月,アンデス,47213,熊　本,043,6040,602,,
2021,11,29,月,その他メロン,47299,,,11902,649,118.0,110.0
2021,11,29,月,すいか,48100,,,14722,282,170.8,104.4
2021,11,29,月,すいか,48100,熊　本,043,12995,246,,
2021,11,29,月,キウイフルツ,49300,,,28847,569,167.9,92.7
2021,11,29,月,キウイフルツ,49300,山　梨,019,10013,385,,
2021,11,29,月,キウイフルツ,49300,福　岡,040,8741,563,,
2021,11,29,月,キウイフルツ,49300,香　川,037,3993,1016,,
2021,11,29,月,キウイフルツ,49300,栃　木,009,1740,359,,
2021,11,29,月,他の国産果実,49500,,,9143,947,122.9,109.1
2021,11,29,月,輸入果実計,50000,,,834751,216,106.0,84.4
2021,11,29,月,バナナ,50100,,,558138,154,119.7,96.3
2021,11,29,月,パイナップル,50300,,,92145,171,145.8,97.7
2021,11,29,月,レモン,50400,,,32048,267,96.3,99.3
2021,11,29,月,グレプフルツ,50500,,,26063,182,87.9,107.7
2021,11,29,月,オレンジ,50600,,,28125,249,62.4,104.2
2021,11,29,月,輸入キウイ,50800,,,47917,526,69.3,91.5
2021,11,29,月,輸入メロン,50850,,,1678,324,51.6,105.2
2021,11,29,月,他の輸入果実,50900,,,48647,662,62.6,102.0
