年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,29,月,金沢市,1701,果実総量,40000,,,164136,257,154.0,84.5
2021,11,29,月,金沢市,1701,国産果実総量,40001,,,102238,291,172.6,74.6
2021,11,29,月,金沢市,1701,国産果実総量,40001,福　岡,040,58178,229,,
2021,11,29,月,金沢市,1701,国産果実総量,40001,長　崎,042,21005,237,,
2021,11,29,月,金沢市,1701,国産果実総量,40001,愛　媛,038,4535,548,,
2021,11,29,月,金沢市,1701,国産果実総量,40001,和歌山,030,4475,272,,
2021,11,29,月,金沢市,1701,国産果実総量,40001,青　森,002,3970,395,,
2021,11,29,月,金沢市,1701,国産果実総量,40001,岐　阜,021,2530,321,,
2021,11,29,月,金沢市,1701,国産果実総量,40001,宮　崎,045,2009,611,,
2021,11,29,月,金沢市,1701,みかん,40100,,,83521,228,198.0,81.1
2021,11,29,月,金沢市,1701,みかん,40100,福　岡,040,58130,228,,
2021,11,29,月,金沢市,1701,みかん,40100,長　崎,042,20730,216,,
2021,11,29,月,金沢市,1701,その他雑かん,41999,,,6628,577,207.3,73.0
2021,11,29,月,金沢市,1701,りんご計,42000,,,6685,329,127.9,107.5
2021,11,29,月,金沢市,1701,りんご計,42000,青　森,002,3970,395,,
2021,11,29,月,金沢市,1701,りんご計,42000,山　形,006,1995,192,,
2021,11,29,月,金沢市,1701,王林,42515,,,1000,340,－,－
2021,11,29,月,金沢市,1701,王林,42515,青　森,002,1000,340,,
2021,11,29,月,金沢市,1701,ふじ,42804,,,5685,327,109.2,106.9
2021,11,29,月,金沢市,1701,ふじ,42804,青　森,002,2970,414,,
2021,11,29,月,金沢市,1701,ふじ,42804,山　形,006,1995,192,,
2021,11,29,月,金沢市,1701,西洋なし,43499,,,64,938,29.1,180.0
2021,11,29,月,金沢市,1701,西洋なし,43499,新　潟,015,64,938,,
2021,11,29,月,金沢市,1701,かき計,43500,,,2824,294,66.8,96.7
2021,11,29,月,金沢市,1701,かき計,43500,岐　阜,021,2520,312,,
2021,11,29,月,金沢市,1701,甘がき,43700,,,2520,312,87.5,97.8
2021,11,29,月,金沢市,1701,甘がき,43700,岐　阜,021,2520,312,,
2021,11,29,月,金沢市,1701,渋がき,43751,,,304,147,22.5,54.2
2021,11,29,月,金沢市,1701,渋がき,43751,石　川,017,304,147,,
2021,11,29,月,金沢市,1701,ぶどう計,45000,,,85,1973,64.4,97.0
2021,11,29,月,金沢市,1701,ぶどう計,45000,岡　山,033,45,1507,,
2021,11,29,月,金沢市,1701,ぶどう計,45000,長　野,020,40,2498,,
2021,11,29,月,金沢市,1701,その他ぶどう,45299,,,85,1973,64.4,97.0
2021,11,29,月,金沢市,1701,いちご,46100,,,1255,1886,60.5,100.7
2021,11,29,月,金沢市,1701,いちご,46100,愛　知,023,837,1894,,
2021,11,29,月,金沢市,1701,いちご,46100,長　崎,042,275,1838,,
2021,11,29,月,金沢市,1701,メロン計,47000,,,1051,1040,63.8,139.0
2021,11,29,月,金沢市,1701,メロン計,47000,静　岡,022,503,1491,,
2021,11,29,月,金沢市,1701,メロン計,47000,熊　本,043,432,555,,
2021,11,29,月,金沢市,1701,温室メロン,47200,,,619,1379,52.8,168.4
2021,11,29,月,金沢市,1701,温室メロン,47200,静　岡,022,503,1491,,
2021,11,29,月,金沢市,1701,アンデス,47213,,,160,389,64.0,73.0
2021,11,29,月,金沢市,1701,アンデス,47213,熊　本,043,160,389,,
2021,11,29,月,金沢市,1701,その他メロン,47299,,,272,652,121.4,105.3
2021,11,29,月,金沢市,1701,すいか,48100,,,20,810,40.0,100.0
2021,11,29,月,金沢市,1701,すいか,48100,高　知,039,20,810,,
2021,11,29,月,金沢市,1701,他の国産果実,49500,,,105,743,128.0,47.4
2021,11,29,月,金沢市,1701,輸入果実計,50000,,,61898,202,130.8,102.5
2021,11,29,月,金沢市,1701,バナナ,50100,,,56196,176,145.0,112.8
2021,11,29,月,金沢市,1701,パイナップル,50300,,,740,193,58.7,80.8
2021,11,29,月,金沢市,1701,レモン,50400,,,614,275,46.0,104.6
2021,11,29,月,金沢市,1701,グレプフルツ,50500,,,378,159,43.8,111.2
2021,11,29,月,金沢市,1701,オレンジ,50600,,,126,210,31.8,85.4
2021,11,29,月,金沢市,1701,輸入キウイ,50800,,,1769,612,51.0,135.1
2021,11,29,月,金沢市,1701,輸入メロン,50850,,,602,355,716.7,111.6
2021,11,29,月,金沢市,1701,他の輸入果実,50900,,,1473,596,126.3,85.8
