年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,29,月,京都市,2601,果実総量,40000,,,185076,353,160.0,79.9
2021,11,29,月,京都市,2601,国産果実総量,40001,,,93700,518,90.8,114.3
2021,11,29,月,京都市,2601,国産果実総量,40001,和歌山,030,46019,319,,
2021,11,29,月,京都市,2601,国産果実総量,40001,青　森,002,16682,499,,
2021,11,29,月,京都市,2601,国産果実総量,40001,福　岡,040,10466,1049,,
2021,11,29,月,京都市,2601,国産果実総量,40001,奈　良,029,6070,182,,
2021,11,29,月,京都市,2601,国産果実総量,40001,長　野,020,2363,771,,
2021,11,29,月,京都市,2601,国産果実総量,40001,大　分,044,2020,1619,,
2021,11,29,月,京都市,2601,国産果実総量,40001,京　都,026,1729,355,,
2021,11,29,月,京都市,2601,みかん,40100,,,48209,319,112.2,98.5
2021,11,29,月,京都市,2601,みかん,40100,和歌山,030,45309,318,,
2021,11,29,月,京都市,2601,その他雑かん,41999,,,3346,685,96.6,86.5
2021,11,29,月,京都市,2601,りんご計,42000,,,19227,488,52.3,120.2
2021,11,29,月,京都市,2601,りんご計,42000,青　森,002,16682,499,,
2021,11,29,月,京都市,2601,ジョナゴルド,42505,,,650,395,224.1,80.1
2021,11,29,月,京都市,2601,ジョナゴルド,42505,青　森,002,650,395,,
2021,11,29,月,京都市,2601,王林,42515,,,1100,390,12.6,128.7
2021,11,29,月,京都市,2601,王林,42515,青　森,002,1100,390,,
2021,11,29,月,京都市,2601,ふじ,42804,,,12605,476,49.2,112.8
2021,11,29,月,京都市,2601,ふじ,42804,青　森,002,10060,491,,
2021,11,29,月,京都市,2601,ふじ,42804,長　野,020,2000,373,,
2021,11,29,月,京都市,2601,その他りんご,42999,,,4872,554,231.8,88.1
2021,11,29,月,京都市,2601,日本なし計,43000,,,280,371,－,－
2021,11,29,月,京都市,2601,日本なし計,43000,京　都,026,280,371,,
2021,11,29,月,京都市,2601,その他なし,43401,,,280,371,－,－
2021,11,29,月,京都市,2601,西洋なし,43499,,,1450,527,70.7,109.8
2021,11,29,月,京都市,2601,西洋なし,43499,山　形,006,1450,527,,
2021,11,29,月,京都市,2601,かき計,43500,,,11911,257,110.9,102.8
2021,11,29,月,京都市,2601,かき計,43500,奈　良,029,6070,182,,
2021,11,29,月,京都市,2601,かき計,43500,福　岡,040,4056,350,,
2021,11,29,月,京都市,2601,甘がき,43700,,,11801,259,130.4,102.0
2021,11,29,月,京都市,2601,甘がき,43700,奈　良,029,5960,183,,
2021,11,29,月,京都市,2601,甘がき,43700,福　岡,040,4056,350,,
2021,11,29,月,京都市,2601,渋がき,43751,,,110,113,6.5,49.6
2021,11,29,月,京都市,2601,渋がき,43751,奈　良,029,110,113,,
2021,11,29,月,京都市,2601,ぶどう計,45000,,,455,2760,54.8,150.4
2021,11,29,月,京都市,2601,ぶどう計,45000,長　野,020,363,2960,,
2021,11,29,月,京都市,2601,ぶどう計,45000,岡　山,033,82,1658,,
2021,11,29,月,京都市,2601,その他ぶどう,45299,,,455,2760,54.8,150.4
2021,11,29,月,京都市,2601,くり,45700,,,89,1286,－,－
2021,11,29,月,京都市,2601,くり,45700,山　口,035,89,1286,,
2021,11,29,月,京都市,2601,いちご,46100,,,6215,2356,175.5,102.1
2021,11,29,月,京都市,2601,いちご,46100,福　岡,040,3272,2573,,
2021,11,29,月,京都市,2601,いちご,46100,大　分,044,1586,1951,,
2021,11,29,月,京都市,2601,いちご,46100,熊　本,043,423,2425,,
2021,11,29,月,京都市,2601,メロン計,47000,,,1170,713,147.7,94.1
2021,11,29,月,京都市,2601,メロン計,47000,長　崎,042,633,473,,
2021,11,29,月,京都市,2601,メロン計,47000,静　岡,022,331,1206,,
2021,11,29,月,京都市,2601,温室メロン,47200,,,1170,713,147.7,94.1
2021,11,29,月,京都市,2601,温室メロン,47200,長　崎,042,633,473,,
2021,11,29,月,京都市,2601,温室メロン,47200,静　岡,022,331,1206,,
2021,11,29,月,京都市,2601,すいか,48100,,,495,247,660.0,137.2
2021,11,29,月,京都市,2601,すいか,48100,熊　本,043,495,247,,
2021,11,29,月,京都市,2601,キウイフルツ,49300,,,648,520,42.4,90.9
2021,11,29,月,京都市,2601,キウイフルツ,49300,福　岡,040,648,520,,
2021,11,29,月,京都市,2601,他の国産果実,49500,,,206,1174,49.4,188.1
2021,11,29,月,京都市,2601,輸入果実計,50000,,,91376,184,728.2,51.7
2021,11,29,月,京都市,2601,バナナ,50100,,,70101,121,－,－
2021,11,29,月,京都市,2601,パイナップル,50300,,,4330,203,126.6,126.9
2021,11,29,月,京都市,2601,レモン,50400,,,1930,290,150.8,94.2
2021,11,29,月,京都市,2601,グレプフルツ,50500,,,2655,118,170.2,78.7
2021,11,29,月,京都市,2601,オレンジ,50600,,,4182,263,276.4,96.3
2021,11,29,月,京都市,2601,輸入キウイ,50800,,,5173,544,158.8,102.1
2021,11,29,月,京都市,2601,輸入メロン,50850,,,84,332,66.7,100.0
2021,11,29,月,京都市,2601,他の輸入果実,50900,,,2921,896,209.8,113.3
