年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,29,月,福岡市,4002,野菜総量,30000,,,847417,167,90.4,96.5
2021,11,29,月,福岡市,4002,野菜総量,30000,大　分,044,180125,119,,
2021,11,29,月,福岡市,4002,野菜総量,30000,北海道,001,144626,200,,
2021,11,29,月,福岡市,4002,野菜総量,30000,福　岡,040,139830,220,,
2021,11,29,月,福岡市,4002,野菜総量,30000,熊　本,043,89536,122,,
2021,11,29,月,福岡市,4002,野菜総量,30000,鹿児島,046,88093,94,,
2021,11,29,月,福岡市,4002,野菜総量,30000,長　崎,042,72807,198,,
2021,11,29,月,福岡市,4002,野菜総量,30000,茨　城,008,36679,86,,
2021,11,29,月,福岡市,4002,だいこん,30100,,,70936,40,102.4,121.2
2021,11,29,月,福岡市,4002,だいこん,30100,福　岡,040,32675,32,,
2021,11,29,月,福岡市,4002,だいこん,30100,熊　本,043,12913,40,,
2021,11,29,月,福岡市,4002,だいこん,30100,千　葉,012,12312,66,,
2021,11,29,月,福岡市,4002,かぶ,30200,,,5931,74,65.6,97.4
2021,11,29,月,福岡市,4002,かぶ,30200,福　岡,040,5916,72,,
2021,11,29,月,福岡市,4002,にんじん,30300,,,33212,91,71.8,101.1
2021,11,29,月,福岡市,4002,にんじん,30300,長　崎,042,23332,103,,
2021,11,29,月,福岡市,4002,にんじん,30300,熊　本,043,5420,52,,
2021,11,29,月,福岡市,4002,ごぼう,30400,,,12375,204,145.6,95.8
2021,11,29,月,福岡市,4002,ごぼう,30400,青　森,002,9317,211,,
2021,11,29,月,福岡市,4002,ごぼう,30400,北海道,001,420,289,,
2021,11,29,月,福岡市,4002,ごぼう,30400,熊　本,043,272,614,,
2021,11,29,月,福岡市,4002,れんこん,30600,,,3457,320,60.6,97.3
2021,11,29,月,福岡市,4002,れんこん,30600,佐　賀,041,3457,320,,
2021,11,29,月,福岡市,4002,はくさい,31100,,,191401,46,95.4,92.0
2021,11,29,月,福岡市,4002,はくさい,31100,大　分,044,128693,44,,
2021,11,29,月,福岡市,4002,はくさい,31100,鹿児島,046,31256,41,,
2021,11,29,月,福岡市,4002,みずな,31300,,,1483,506,51.5,104.3
2021,11,29,月,福岡市,4002,みずな,31300,福　岡,040,1403,512,,
