年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,30,火,野菜総量,30000,,,13255079,189,95.2,92.6
2021,11,30,火,野菜総量,30000,北海道,001,2423927,181,,
2021,11,30,火,野菜総量,30000,茨　城,008,2144107,103,,
2021,11,30,火,野菜総量,30000,千　葉,012,1496180,115,,
2021,11,30,火,野菜総量,30000,愛　知,023,1263918,139,,
2021,11,30,火,野菜総量,30000,長　崎,042,554030,131,,
2021,11,30,火,野菜総量,30000,神奈川,014,358143,58,,
2021,11,30,火,野菜総量,30000,熊　本,043,339582,313,,
2021,11,30,火,だいこん,30100,,,1434208,52,105.7,108.3
2021,11,30,火,だいこん,30100,千　葉,012,522732,43,,
2021,11,30,火,だいこん,30100,神奈川,014,245617,48,,
2021,11,30,火,だいこん,30100,長　崎,042,189844,57,,
2021,11,30,火,だいこん,30100,和歌山,030,81884,62,,
2021,11,30,火,だいこん,30100,徳　島,036,65882,52,,
2021,11,30,火,かぶ,30200,,,144670,106,101.2,102.9
2021,11,30,火,かぶ,30200,千　葉,012,56201,116,,
2021,11,30,火,かぶ,30200,京　都,026,22310,71,,
2021,11,30,火,かぶ,30200,福　岡,040,18420,116,,
2021,11,30,火,かぶ,30200,埼　玉,011,16701,89,,
2021,11,30,火,かぶ,30200,三　重,024,6080,82,,
2021,11,30,火,にんじん,30300,,,866017,89,97.2,95.7
2021,11,30,火,にんじん,30300,千　葉,012,393302,90,,
2021,11,30,火,にんじん,30300,長　崎,042,119707,101,,
2021,11,30,火,にんじん,30300,新　潟,015,86984,63,,
2021,11,30,火,にんじん,30300,愛　知,023,66561,99,,
2021,11,30,火,にんじん,30300,岐　阜,021,51115,86,,
2021,11,30,火,ごぼう,30400,,,112036,207,65.8,92.8
2021,11,30,火,ごぼう,30400,青　森,002,82375,187,,
2021,11,30,火,ごぼう,30400,北海道,001,16009,130,,
2021,11,30,火,たけのこ,30500,,,557,1838,164.8,89.2
2021,11,30,火,たけのこ,30500,鹿児島,046,442,1868,,
2021,11,30,火,たけのこ,30500,福　岡,040,31,3442,,
2021,11,30,火,れんこん,30600,,,83095,416,104.7,98.6
2021,11,30,火,れんこん,30600,茨　城,008,46512,398,,
2021,11,30,火,れんこん,30600,佐　賀,041,12818,353,,
2021,11,30,火,れんこん,30600,徳　島,036,9781,558,,
2021,11,30,火,はくさい,31100,,,1884515,41,100.9,100.0
2021,11,30,火,はくさい,31100,茨　城,008,1243674,38,,
