年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,30,火,金沢市,1701,野菜総量,30000,,,133141,237,97.9,88.1
2021,11,30,火,金沢市,1701,野菜総量,30000,石　川,017,49382,216,,
2021,11,30,火,金沢市,1701,野菜総量,30000,愛　知,023,17544,228,,
2021,11,30,火,金沢市,1701,野菜総量,30000,北海道,001,13803,251,,
2021,11,30,火,金沢市,1701,野菜総量,30000,茨　城,008,10525,86,,
2021,11,30,火,金沢市,1701,野菜総量,30000,千　葉,012,9819,47,,
2021,11,30,火,金沢市,1701,野菜総量,30000,兵　庫,028,6617,150,,
2021,11,30,火,金沢市,1701,野菜総量,30000,高　知,039,5874,530,,
2021,11,30,火,金沢市,1701,だいこん,30100,,,16731,49,98.0,98.0
2021,11,30,火,金沢市,1701,だいこん,30100,千　葉,012,9790,42,,
2021,11,30,火,金沢市,1701,だいこん,30100,石　川,017,6920,54,,
2021,11,30,火,金沢市,1701,かぶ,30200,,,3901,122,115.8,115.1
2021,11,30,火,金沢市,1701,かぶ,30200,石　川,017,3896,122,,
2021,11,30,火,金沢市,1701,にんじん,30300,,,10846,117,148.5,108.3
2021,11,30,火,金沢市,1701,にんじん,30300,石　川,017,6348,102,,
2021,11,30,火,金沢市,1701,にんじん,30300,岐　阜,021,4370,134,,
2021,11,30,火,金沢市,1701,ごぼう,30400,,,204,200,14.0,117.0
2021,11,30,火,金沢市,1701,ごぼう,30400,青　森,002,204,200,,
2021,11,30,火,金沢市,1701,れんこん,30600,,,3100,585,100.4,94.1
2021,11,30,火,金沢市,1701,れんこん,30600,石　川,017,3100,585,,
2021,11,30,火,金沢市,1701,はくさい,31100,,,15199,49,106.8,96.1
2021,11,30,火,金沢市,1701,はくさい,31100,石　川,017,8449,48,,
2021,11,30,火,金沢市,1701,はくさい,31100,茨　城,008,6750,51,,
2021,11,30,火,金沢市,1701,みずな,31300,,,312,404,90.4,103.3
2021,11,30,火,金沢市,1701,みずな,31300,茨　城,008,250,334,,
2021,11,30,火,金沢市,1701,こまつな,31500,,,818,342,54.6,124.4
2021,11,30,火,金沢市,1701,こまつな,31500,石　川,017,818,342,,
2021,11,30,火,金沢市,1701,その他の菜類,31550,,,104,458,125.3,82.2
2021,11,30,火,金沢市,1701,ちんげんさい,31560,,,526,242,87.4,100.0
2021,11,30,火,金沢市,1701,ちんげんさい,31560,石　川,017,422,236,,
2021,11,30,火,金沢市,1701,キャベツ,31700,,,15976,54,122.8,87.1
2021,11,30,火,金沢市,1701,キャベツ,31700,愛　知,023,11770,53,,
2021,11,30,火,金沢市,1701,キャベツ,31700,石　川,017,3046,48,,
2021,11,30,火,金沢市,1701,ほうれんそう,31800,,,2869,378,83.7,105.6
2021,11,30,火,金沢市,1701,ほうれんそう,31800,群　馬,010,1000,334,,
2021,11,30,火,金沢市,1701,ほうれんそう,31800,静　岡,022,945,316,,
2021,11,30,火,金沢市,1701,ほうれんそう,31800,石　川,017,503,507,,
2021,11,30,火,金沢市,1701,ねぎ,31900,,,3625,338,134.2,100.3
2021,11,30,火,金沢市,1701,ねぎ,31900,石　川,017,1771,295,,
2021,11,30,火,金沢市,1701,ねぎ,31900,埼　玉,011,666,305,,
2021,11,30,火,金沢市,1701,ねぎ,31900,山　形,006,311,143,,
2021,11,30,火,金沢市,1701,ねぎ,31900,新　潟,015,305,213,,
2021,11,30,火,金沢市,1701,ふき,32300,,,188,273,102.2,99.6
2021,11,30,火,金沢市,1701,ふき,32300,愛　知,023,188,273,,
2021,11,30,火,金沢市,1701,みつば,32500,,,255,576,111.8,102.1
2021,11,30,火,金沢市,1701,みつば,32500,愛　知,023,195,574,,
2021,11,30,火,金沢市,1701,みつば,32500,静　岡,022,60,583,,
2021,11,30,火,金沢市,1701,しゅんぎく,32600,,,340,682,66.9,114.4
2021,11,30,火,金沢市,1701,しゅんぎく,32600,石　川,017,188,853,,
2021,11,30,火,金沢市,1701,しゅんぎく,32600,愛　知,023,77,501,,
2021,11,30,火,金沢市,1701,しゅんぎく,32600,群　馬,010,75,441,,
2021,11,30,火,金沢市,1701,にら,32800,,,700,825,60.7,98.8
2021,11,30,火,金沢市,1701,にら,32800,高　知,039,700,825,,
2021,11,30,火,金沢市,1701,セルリー,32900,,,224,202,60.2,108.6
2021,11,30,火,金沢市,1701,セルリー,32900,静　岡,022,202,194,,
2021,11,30,火,金沢市,1701,アスパラガス,33100,,,228,751,124.6,101.3
2021,11,30,火,金沢市,1701,　　うち輸入,33101,,,228,751,124.6,101.3
2021,11,30,火,金沢市,1701,カリフラワー,33200,,,381,355,129.6,139.8
2021,11,30,火,金沢市,1701,カリフラワー,33200,石　川,017,194,290,,
2021,11,30,火,金沢市,1701,カリフラワー,33200,大　阪,027,150,279,,
2021,11,30,火,金沢市,1701,ブロッコリー,33300,,,3050,332,48.6,90.2
2021,11,30,火,金沢市,1701,ブロッコリー,33300,石　川,017,2650,353,,
2021,11,30,火,金沢市,1701,レタス,33400,,,7624,152,179.1,94.4
2021,11,30,火,金沢市,1701,レタス,33400,兵　庫,028,6220,149,,
2021,11,30,火,金沢市,1701,パセリ,33600,,,80,1458,103.9,93.9
2021,11,30,火,金沢市,1701,パセリ,33600,静　岡,022,48,1453,,
2021,11,30,火,金沢市,1701,パセリ,33600,愛　知,023,30,1309,,
2021,11,30,火,金沢市,1701,きゅうり,34100,,,5308,279,51.1,99.3
2021,11,30,火,金沢市,1701,きゅうり,34100,高　知,039,2270,284,,
2021,11,30,火,金沢市,1701,きゅうり,34100,愛　知,023,2200,289,,
2021,11,30,火,金沢市,1701,かぼちゃ,34200,,,104,540,76.5,148.8
2021,11,30,火,金沢市,1701,かぼちゃ,34200,高　知,039,80,524,,
2021,11,30,火,金沢市,1701,かぼちゃ,34200,宮　崎,045,24,594,,
2021,11,30,火,金沢市,1701,なす,34300,,,2116,478,75.4,107.7
2021,11,30,火,金沢市,1701,なす,34300,高　知,039,1277,473,,
2021,11,30,火,金沢市,1701,なす,34300,福　岡,040,518,509,,
2021,11,30,火,金沢市,1701,トマト,34400,,,2738,555,46.3,106.9
2021,11,30,火,金沢市,1701,トマト,34400,愛　知,023,1980,578,,
2021,11,30,火,金沢市,1701,トマト,34400,石　川,017,613,358,,
2021,11,30,火,金沢市,1701,ミニトマト,34450,,,456,641,11.6,100.0
2021,11,30,火,金沢市,1701,ミニトマト,34450,愛　知,023,333,595,,
2021,11,30,火,金沢市,1701,ミニトマト,34450,石　川,017,72,713,,
2021,11,30,火,金沢市,1701,ピーマン,34500,,,1113,516,53.8,132.6
2021,11,30,火,金沢市,1701,ピーマン,34500,高　知,039,815,426,,
2021,11,30,火,金沢市,1701,ピーマン,34500,石　川,017,158,634,,
2021,11,30,火,金沢市,1701,ししとう,34600,,,119,1831,67.2,118.1
2021,11,30,火,金沢市,1701,ししとう,34600,高　知,039,111,1886,,
2021,11,30,火,金沢市,1701,さやいんげん,35100,,,300,1150,71.4,100.5
2021,11,30,火,金沢市,1701,さやいんげん,35100,鹿児島,046,200,1026,,
2021,11,30,火,金沢市,1701,さやいんげん,35100,高　知,039,100,1398,,
2021,11,30,火,金沢市,1701,さやえんどう,35200,,,333,1246,69.7,86.8
2021,11,30,火,金沢市,1701,さやえんどう,35200,愛　知,023,119,1078,,
2021,11,30,火,金沢市,1701,さやえんどう,35200,静　岡,022,114,1353,,
