年,月,日,品目コード,品目名,価格,文字数
2021,11,30,30100,だいこん,0.8571948249138014,4.0
2021,11,30,30200,かぶ,0.9422710688707717,2.0
2021,11,30,30300,にんじん,0.9006552322220082,4.0
2021,11,30,30400,ごぼう,1.044638838559278,3.0
2021,11,30,30500,たけのこ,1.018919705797649,4.0
2021,11,30,30600,れんこん,0.9955847359005089,4.0
2021,11,30,31100,はくさい,0.801266598037555,4.0
2021,11,30,31300,みずな,0.9984646781545472,3.0
2021,11,30,31500,こまつな,1.1308597477969782,4.0
2021,11,30,31560,ちんげんさい,1.0514241902744685,6.0
2021,11,30,31700,キャベツ,0.7430527678132715,4.0
2021,11,30,31800,ほうれんそう,0.8576408342361971,6.0
2021,11,30,31900,ねぎ,0.9926541819838197,2.0
2021,11,30,32300,ふき,1.051459431261476,2.0
2021,11,30,32400,うど,0.6475638696347882,2.0
2021,11,30,32500,みつば,1.0363385710215052,3.0
2021,11,30,32600,しゅんぎく,0.9504503284716994,5.0
2021,11,30,32800,にら,0.9661719929994488,2.0
2021,11,30,32900,セルリー,0.9348584581749414,4.0
2021,11,30,33100,アスパラガス,1.0008913690863037,6.0
2021,11,30,33200,カリフラワー,1.1898209000047313,6.0
2021,11,30,33300,ブロッコリー,0.8946022296881824,6.0
2021,11,30,33400,レタス,0.8723650816110502,3.0
2021,11,30,33600,パセリ,0.8263335371669146,3.0
2021,11,30,34100,きゅうり,0.977670410616388,4.0
2021,11,30,34200,かぼちゃ,1.1620924478069308,4.0
2021,11,30,34300,なす,1.0611435366365702,2.0
2021,11,30,34400,トマト,1.0305670027773477,3.0
2021,11,30,34450,ミニトマト,0.9112269724910068,5.0
2021,11,30,34500,ピーマン,0.9154040490393075,4.0
2021,11,30,34600,ししとう,0.9323227515164833,4.0
2021,11,30,34700,スイトコーン,0.9955357793724432,6.0
2021,11,30,35100,さやいんげん,0.9805341981486829,6.0
2021,11,30,35200,さやえんどう,0.7868259058734725,6.0
2021,11,30,35300,実えんどう,0.9416611367846797,5.0
2021,11,19,35400,そらまめ,1.001098901098901,4.0
2021,11,30,35500,えだまめ,1.233284654430823,4.0
2021,11,30,36100,かんしょ,0.951658212329653,4.0
2021,11,30,36200,ばれいしょ,1.0412915243713132,5.0
2021,11,30,36300,さといも,0.9698837649461193,4.0
2021,11,30,36500,やまのいも,1.0437208222023466,5.0
2021,11,30,36610,たまねぎ,1.0648282634044552,4.0
2021,11,30,36700,にんにく,0.8473570354205524,4.0
2021,11,30,37200,しょうが,1.025752759386927,4.0
2021,11,30,38100,生しいたけ,1.030425605662334,5.0
2021,11,30,38300,なめこ,0.9764656117115355,3.0
2021,11,30,38400,えのきだけ,1.0608849964987672,5.0
2021,11,30,38500,しめじ,1.062843507344456,3.0
2021,11,30,40100,みかん,0.984816367246324,3.0
2021,11,30,41201,ネーブル,1.1184767277856136,4.0
2021,11,22,42204,つがる,1.1892925430210326,3.0
2021,11,30,42505,ジョナゴルド,1.0105225128667532,6.0
2021,11,30,42515,王林,1.1545728747237876,2.0
2021,11,30,42804,ふじ,0.9816797444026881,2.0
2021,11,8,43203,幸水,1.0,2.0
2021,11,8,43302,二十世紀,1.0,4.0
2021,11,29,43310,新高,1.1811486227595895,2.0
2021,11,30,43499,西洋なし,1.0065342017375707,4.0
2021,11,30,43700,甘がき,0.8634069787114876,3.0
2021,11,30,43751,渋がき,0.929614340732707,3.0
2021,11,30,44100,もも,0.8378222929963646,2.0
2021,11,6,44700,すもも,1.0,3.0
2021,11,30,45206,巨峰,0.9419680764755597,2.0
2021,11,30,45700,くり,1.0047166941951706,2.0
2021,11,30,46100,いちご,0.839015165352618,3.0
2021,11,30,47200,温室メロン,1.0494812167693015,5.0
2021,11,30,47213,アンデス,1.2961843287850312,4.0
2021,11,30,48100,すいか,1.1170583476236755,3.0
2021,11,30,49300,キウイフルツ,1.114120694615223,6.0
2021,11,30,50100,バナナ,0.9664980724611013,3.0
2021,11,30,50300,パイナップル,0.9723776092691583,6.0
2021,11,30,50400,レモン,0.9569540248162549,3.0
2021,11,30,50500,グレプフルツ,1.1702690780767533,6.0
2021,11,30,50600,オレンジ,1.0515374713576857,4.0
2021,11,30,50800,輸入キウイ,0.9578009315247435,5.0
2021,11,30,50850,輸入メロン,0.9469621556273639,5.0
