年,月,日,品目コード,品目名,都市コード,都市名,価格
2021,11,22,30000,野菜総量,0401,仙台市,175
2021,11,24,30000,野菜総量,0401,仙台市,201
2021,11,25,30000,野菜総量,0401,仙台市,194
2021,11,26,30000,野菜総量,0401,仙台市,188
2021,11,27,30000,野菜総量,0401,仙台市,165
2021,11,29,30000,野菜総量,0401,仙台市,173
2021,11,30,30000,野菜総量,0401,仙台市,176
2021,11,22,30000,野菜総量,1301,東京都,211
2021,11,24,30000,野菜総量,1301,東京都,217
2021,11,25,30000,野菜総量,1301,東京都,210
2021,11,26,30000,野菜総量,1301,東京都,194
2021,11,27,30000,野菜総量,1301,東京都,194
2021,11,29,30000,野菜総量,1301,東京都,208
2021,11,30,30000,野菜総量,1301,東京都,193
2021,11,22,30000,野菜総量,1401,横浜市,222
2021,11,24,30000,野菜総量,1401,横浜市,202
2021,11,25,30000,野菜総量,1401,横浜市,215
2021,11,26,30000,野菜総量,1401,横浜市,211
2021,11,27,30000,野菜総量,1401,横浜市,208
2021,11,29,30000,野菜総量,1401,横浜市,213
2021,11,30,30000,野菜総量,1401,横浜市,198
2021,11,22,30000,野菜総量,1701,金沢市,281
2021,11,24,30000,野菜総量,1701,金沢市,273
2021,11,25,30000,野菜総量,1701,金沢市,271
2021,11,26,30000,野菜総量,1701,金沢市,257
2021,11,27,30000,野菜総量,1701,金沢市,253
2021,11,29,30000,野菜総量,1701,金沢市,269
2021,11,30,30000,野菜総量,1701,金沢市,237
2021,11,22,30000,野菜総量,2301,名古屋市,215
2021,11,24,30000,野菜総量,2301,名古屋市,213
2021,11,25,30000,野菜総量,2301,名古屋市,216
2021,11,26,30000,野菜総量,2301,名古屋市,166
2021,11,27,30000,野菜総量,2301,名古屋市,196
2021,11,29,30000,野菜総量,2301,名古屋市,216
2021,11,30,30000,野菜総量,2301,名古屋市,195
2021,11,22,30000,野菜総量,2601,京都市,213
2021,11,24,30000,野菜総量,2601,京都市,198
2021,11,25,30000,野菜総量,2601,京都市,219
2021,11,26,30000,野菜総量,2601,京都市,207
2021,11,27,30000,野菜総量,2601,京都市,196
2021,11,29,30000,野菜総量,2601,京都市,218
2021,11,30,30000,野菜総量,2601,京都市,200
2021,11,22,30000,野菜総量,2701,大阪市,197
2021,11,24,30000,野菜総量,2701,大阪市,208
2021,11,25,30000,野菜総量,2701,大阪市,205
2021,11,26,30000,野菜総量,2701,大阪市,194
2021,11,27,30000,野菜総量,2701,大阪市,191
2021,11,29,30000,野菜総量,2701,大阪市,203
2021,11,30,30000,野菜総量,2701,大阪市,182
2021,11,22,30000,野菜総量,2801,神戸市,209
2021,11,24,30000,野菜総量,2801,神戸市,211
2021,11,25,30000,野菜総量,2801,神戸市,203
2021,11,26,30000,野菜総量,2801,神戸市,199
2021,11,27,30000,野菜総量,2801,神戸市,193
2021,11,29,30000,野菜総量,2801,神戸市,226
2021,11,30,30000,野菜総量,2801,神戸市,204
2021,11,22,30000,野菜総量,3401,広島市,225
2021,11,24,30000,野菜総量,3401,広島市,221
2021,11,25,30000,野菜総量,3401,広島市,218
2021,11,26,30000,野菜総量,3401,広島市,200
2021,11,27,30000,野菜総量,3401,広島市,203
2021,11,29,30000,野菜総量,3401,広島市,210
2021,11,30,30000,野菜総量,3401,広島市,203
2021,11,22,30000,野菜総量,3701,高松市,242
2021,11,24,30000,野菜総量,3701,高松市,239
2021,11,25,30000,野菜総量,3701,高松市,239
2021,11,26,30000,野菜総量,3701,高松市,215
2021,11,27,30000,野菜総量,3701,高松市,221
2021,11,29,30000,野菜総量,3701,高松市,230
2021,11,30,30000,野菜総量,3701,高松市,238
2021,11,22,30000,野菜総量,4001,北九州市,196
2021,11,24,30000,野菜総量,4001,北九州市,177
2021,11,25,30000,野菜総量,4001,北九州市,182
2021,11,26,30000,野菜総量,4001,北九州市,174
2021,11,27,30000,野菜総量,4001,北九州市,186
2021,11,29,30000,野菜総量,4001,北九州市,191
2021,11,30,30000,野菜総量,4001,北九州市,197
2021,11,22,30000,野菜総量,4002,福岡市,181
2021,11,24,30000,野菜総量,4002,福岡市,174
2021,11,25,30000,野菜総量,4002,福岡市,177
2021,11,26,30000,野菜総量,4002,福岡市,162
2021,11,27,30000,野菜総量,4002,福岡市,173
2021,11,29,30000,野菜総量,4002,福岡市,167
2021,11,30,30000,野菜総量,4002,福岡市,169
2021,11,22,30000,野菜総量,4701,沖縄県,202
2021,11,25,30000,野菜総量,4701,沖縄県,203
2021,11,26,30000,野菜総量,4701,沖縄県,159
2021,11,27,30000,野菜総量,4701,沖縄県,192
2021,11,29,30000,野菜総量,4701,沖縄県,193
2021,11,30,30000,野菜総量,4701,沖縄県,192
2021,11,22,30000,野菜総量,5101,札幌市,158
2021,11,24,30000,野菜総量,5101,札幌市,172
2021,11,25,30000,野菜総量,5101,札幌市,180
2021,11,26,30000,野菜総量,5101,札幌市,177
2021,11,27,30000,野菜総量,5101,札幌市,186
2021,11,29,30000,野菜総量,5101,札幌市,172
2021,11,30,30000,野菜総量,5101,札幌市,137
2021,11,22,30100,だいこん,0401,仙台市,48
2021,11,24,30100,だいこん,0401,仙台市,60
2021,11,25,30100,だいこん,0401,仙台市,55
2021,11,26,30100,だいこん,0401,仙台市,53
2021,11,27,30100,だいこん,0401,仙台市,51
2021,11,29,30100,だいこん,0401,仙台市,45
2021,11,30,30100,だいこん,0401,仙台市,45
2021,11,22,30100,だいこん,1301,東京都,50
2021,11,24,30100,だいこん,1301,東京都,46
2021,11,25,30100,だいこん,1301,東京都,49
2021,11,26,30100,だいこん,1301,東京都,48
2021,11,27,30100,だいこん,1301,東京都,48
2021,11,29,30100,だいこん,1301,東京都,45
2021,11,30,30100,だいこん,1301,東京都,45
2021,11,22,30100,だいこん,1401,横浜市,50
2021,11,24,30100,だいこん,1401,横浜市,59
2021,11,25,30100,だいこん,1401,横浜市,51
2021,11,26,30100,だいこん,1401,横浜市,57
2021,11,27,30100,だいこん,1401,横浜市,47
2021,11,29,30100,だいこん,1401,横浜市,46
2021,11,30,30100,だいこん,1401,横浜市,54
2021,11,22,30100,だいこん,1701,金沢市,57
2021,11,24,30100,だいこん,1701,金沢市,57
2021,11,25,30100,だいこん,1701,金沢市,56
2021,11,26,30100,だいこん,1701,金沢市,57
2021,11,27,30100,だいこん,1701,金沢市,49
2021,11,29,30100,だいこん,1701,金沢市,50
2021,11,30,30100,だいこん,1701,金沢市,49
2021,11,22,30100,だいこん,2301,名古屋市,55
2021,11,24,30100,だいこん,2301,名古屋市,60
2021,11,25,30100,だいこん,2301,名古屋市,54
2021,11,26,30100,だいこん,2301,名古屋市,54
2021,11,27,30100,だいこん,2301,名古屋市,55
2021,11,29,30100,だいこん,2301,名古屋市,56
2021,11,30,30100,だいこん,2301,名古屋市,51
2021,11,22,30100,だいこん,2601,京都市,51
2021,11,24,30100,だいこん,2601,京都市,48
2021,11,25,30100,だいこん,2601,京都市,49
2021,11,26,30100,だいこん,2601,京都市,53
2021,11,27,30100,だいこん,2601,京都市,41
2021,11,29,30100,だいこん,2601,京都市,39
2021,11,30,30100,だいこん,2601,京都市,45
2021,11,22,30100,だいこん,2701,大阪市,68
2021,11,24,30100,だいこん,2701,大阪市,70
2021,11,25,30100,だいこん,2701,大阪市,70
2021,11,26,30100,だいこん,2701,大阪市,67
2021,11,27,30100,だいこん,2701,大阪市,61
2021,11,29,30100,だいこん,2701,大阪市,56
2021,11,30,30100,だいこん,2701,大阪市,67
2021,11,22,30100,だいこん,2801,神戸市,62
2021,11,24,30100,だいこん,2801,神戸市,67
2021,11,25,30100,だいこん,2801,神戸市,64
2021,11,26,30100,だいこん,2801,神戸市,58
2021,11,27,30100,だいこん,2801,神戸市,61
2021,11,29,30100,だいこん,2801,神戸市,55
2021,11,30,30100,だいこん,2801,神戸市,50
2021,11,22,30100,だいこん,3401,広島市,58
2021,11,24,30100,だいこん,3401,広島市,60
2021,11,25,30100,だいこん,3401,広島市,58
2021,11,26,30100,だいこん,3401,広島市,57
2021,11,27,30100,だいこん,3401,広島市,56
2021,11,29,30100,だいこん,3401,広島市,50
2021,11,30,30100,だいこん,3401,広島市,70
2021,11,22,30100,だいこん,3701,高松市,69
2021,11,24,30100,だいこん,3701,高松市,88
2021,11,25,30100,だいこん,3701,高松市,92
2021,11,26,30100,だいこん,3701,高松市,77
2021,11,27,30100,だいこん,3701,高松市,68
2021,11,29,30100,だいこん,3701,高松市,67
2021,11,30,30100,だいこん,3701,高松市,49
2021,11,22,30100,だいこん,4001,北九州市,47
2021,11,24,30100,だいこん,4001,北九州市,39
2021,11,25,30100,だいこん,4001,北九州市,43
2021,11,26,30100,だいこん,4001,北九州市,40
2021,11,27,30100,だいこん,4001,北九州市,40
2021,11,29,30100,だいこん,4001,北九州市,45
2021,11,30,30100,だいこん,4001,北九州市,47
2021,11,22,30100,だいこん,4002,福岡市,44
2021,11,24,30100,だいこん,4002,福岡市,49
2021,11,25,30100,だいこん,4002,福岡市,39
2021,11,26,30100,だいこん,4002,福岡市,38
2021,11,27,30100,だいこん,4002,福岡市,33
2021,11,29,30100,だいこん,4002,福岡市,40
2021,11,30,30100,だいこん,4002,福岡市,43
2021,11,22,30100,だいこん,4701,沖縄県,81
2021,11,25,30100,だいこん,4701,沖縄県,78
2021,11,26,30100,だいこん,4701,沖縄県,74
2021,11,27,30100,だいこん,4701,沖縄県,71
2021,11,29,30100,だいこん,4701,沖縄県,62
2021,11,30,30100,だいこん,4701,沖縄県,76
2021,11,22,30100,だいこん,5101,札幌市,76
2021,11,24,30100,だいこん,5101,札幌市,66
2021,11,25,30100,だいこん,5101,札幌市,69
2021,11,26,30100,だいこん,5101,札幌市,72
2021,11,27,30100,だいこん,5101,札幌市,72
2021,11,29,30100,だいこん,5101,札幌市,70
2021,11,30,30100,だいこん,5101,札幌市,67
2021,11,22,30200,かぶ,0401,仙台市,132
2021,11,24,30200,かぶ,0401,仙台市,144
2021,11,25,30200,かぶ,0401,仙台市,129
2021,11,26,30200,かぶ,0401,仙台市,128
2021,11,27,30200,かぶ,0401,仙台市,116
2021,11,29,30200,かぶ,0401,仙台市,134
2021,11,30,30200,かぶ,0401,仙台市,122
2021,11,22,30200,かぶ,1301,東京都,107
2021,11,24,30200,かぶ,1301,東京都,107
2021,11,25,30200,かぶ,1301,東京都,101
