年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,10,16,土,沖縄県,4701,果実総量,40000,,,32814,293,69.9,116.3
2021,10,16,土,沖縄県,4701,国産果実総量,40001,,,18379,304,58.3,121.6
2021,10,16,土,沖縄県,4701,国産果実総量,40001,熊　本,043,6830,149,,
2021,10,16,土,沖縄県,4701,国産果実総量,40001,沖　縄,047,5108,376,,
2021,10,16,土,沖縄県,4701,国産果実総量,40001,青　森,002,2950,415,,
2021,10,16,土,沖縄県,4701,国産果実総量,40001,和歌山,030,2700,258,,
2021,10,16,土,沖縄県,4701,国産果実総量,40001,鳥　取,031,410,362,,
2021,10,16,土,沖縄県,4701,国産果実総量,40001,長　野,020,186,2235,,
2021,10,16,土,沖縄県,4701,国産果実総量,40001,長　崎,042,152,573,,
2021,10,16,土,沖縄県,4701,みかん,40100,,,6560,131,51.7,100.0
2021,10,16,土,沖縄県,4701,みかん,40100,熊　本,043,6560,131,,
2021,10,16,土,沖縄県,4701,その他雑かん,41999,,,1176,295,504.7,79.3
2021,10,16,土,沖縄県,4701,りんご計,42000,,,2950,415,152.1,95.0
2021,10,16,土,沖縄県,4701,りんご計,42000,青　森,002,2950,415,,
2021,10,16,土,沖縄県,4701,ふじ,42804,,,2480,449,217.5,95.1
2021,10,16,土,沖縄県,4701,ふじ,42804,青　森,002,2480,449,,
2021,10,16,土,沖縄県,4701,その他りんご,42999,,,470,234,58.8,60.5
2021,10,16,土,沖縄県,4701,日本なし計,43000,,,680,458,－,－
2021,10,16,土,沖縄県,4701,日本なし計,43000,鳥　取,031,410,362,,
2021,10,16,土,沖縄県,4701,日本なし計,43000,熊　本,043,270,605,,
2021,10,16,土,沖縄県,4701,二十世紀,43302,,,410,362,－,－
2021,10,16,土,沖縄県,4701,二十世紀,43302,鳥　取,031,410,362,,
2021,10,16,土,沖縄県,4701,その他なし,43401,,,270,605,－,－
2021,10,16,土,沖縄県,4701,かき計,43500,,,2700,258,17.1,86.6
2021,10,16,土,沖縄県,4701,かき計,43500,和歌山,030,2700,258,,
2021,10,16,土,沖縄県,4701,渋がき,43751,,,2700,258,17.1,86.6
2021,10,16,土,沖縄県,4701,渋がき,43751,和歌山,030,2700,258,,
2021,10,16,土,沖縄県,4701,ぶどう計,45000,,,193,2231,156.9,152.6
2021,10,16,土,沖縄県,4701,ぶどう計,45000,長　野,020,186,2235,,
2021,10,16,土,沖縄県,4701,巨峰,45206,,,35,1419,28.5,97.1
2021,10,16,土,沖縄県,4701,巨峰,45206,長　野,020,35,1419,,
2021,10,16,土,沖縄県,4701,その他ぶどう,45299,,,158,2410,－,－
2021,10,16,土,沖縄県,4701,メロン計,47000,,,182,494,173.3,542.9
2021,10,16,土,沖縄県,4701,メロン計,47000,長　崎,042,152,573,,
2021,10,16,土,沖縄県,4701,温室メロン,47200,,,152,573,－,－
2021,10,16,土,沖縄県,4701,温室メロン,47200,長　崎,042,152,573,,
2021,10,16,土,沖縄県,4701,その他メロン,47299,,,30,97,28.6,106.6
2021,10,16,土,沖縄県,4701,すいか,48100,,,3009,217,－,－
2021,10,16,土,沖縄県,4701,すいか,48100,沖　縄,047,3009,217,,
2021,10,16,土,沖縄県,4701,他の国産果実,49500,,,929,1044,134.2,184.1
2021,10,16,土,沖縄県,4701,輸入果実計,50000,,,14435,280,93.6,108.9
2021,10,16,土,沖縄県,4701,バナナ,50100,,,7551,220,74.4,100.5
2021,10,16,土,沖縄県,4701,パイナップル,50300,,,2210,234,78.4,98.3
2021,10,16,土,沖縄県,4701,レモン,50400,,,824,383,388.7,67.8
2021,10,16,土,沖縄県,4701,グレプフルツ,50500,,,85,239,25.0,107.7
2021,10,16,土,沖縄県,4701,オレンジ,50600,,,2125,290,225.8,87.6
2021,10,16,土,沖縄県,4701,輸入キウイ,50800,,,725,621,273.6,93.2
2021,10,16,土,沖縄県,4701,輸入メロン,50850,,,70,378,70.0,100.0
2021,10,16,土,沖縄県,4701,他の輸入果実,50900,,,845,522,145.4,88.9
