年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,10,22,金,横浜市,1401,果実総量,40000,,,227196,302,79.0,86.5
2021,10,22,金,横浜市,1401,国産果実総量,40001,,,195382,318,78.8,86.9
2021,10,22,金,横浜市,1401,国産果実総量,40001,奈　良,029,82213,237,,
2021,10,22,金,横浜市,1401,国産果実総量,40001,愛　媛,038,28380,186,,
2021,10,22,金,横浜市,1401,国産果実総量,40001,和歌山,030,21509,288,,
2021,10,22,金,横浜市,1401,国産果実総量,40001,青　森,002,18919,348,,
2021,10,22,金,横浜市,1401,国産果実総量,40001,新　潟,015,10504,296,,
2021,10,22,金,横浜市,1401,国産果実総量,40001,山　形,006,9000,283,,
2021,10,22,金,横浜市,1401,国産果実総量,40001,長　野,020,4856,1552,,
2021,10,22,金,横浜市,1401,みかん,40100,,,42789,203,83.6,85.7
2021,10,22,金,横浜市,1401,みかん,40100,愛　媛,038,28380,186,,
2021,10,22,金,横浜市,1401,みかん,40100,和歌山,030,10190,287,,
2021,10,22,金,横浜市,1401,その他雑かん,41999,,,415,642,48.2,101.9
2021,10,22,金,横浜市,1401,りんご計,42000,,,31190,320,44.3,98.8
2021,10,22,金,横浜市,1401,りんご計,42000,青　森,002,18660,340,,
2021,10,22,金,横浜市,1401,りんご計,42000,山　形,006,8750,276,,
2021,10,22,金,横浜市,1401,ジョナゴルド,42505,,,230,405,1.4,126.2
2021,10,22,金,横浜市,1401,ジョナゴルド,42505,青　森,002,230,405,,
2021,10,22,金,横浜市,1401,王林,42515,,,2500,256,－,－
2021,10,22,金,横浜市,1401,王林,42515,山　形,006,2500,256,,
2021,10,22,金,横浜市,1401,ふじ,42804,,,15000,368,60.5,101.9
2021,10,22,金,横浜市,1401,ふじ,42804,青　森,002,15000,368,,
2021,10,22,金,横浜市,1401,その他りんご,42999,,,13460,278,45.3,93.9
2021,10,22,金,横浜市,1401,日本なし計,43000,,,3190,458,24.8,99.6
2021,10,22,金,横浜市,1401,日本なし計,43000,栃　木,009,2600,461,,
2021,10,22,金,横浜市,1401,その他なし,43401,,,3190,458,26.0,99.3
2021,10,22,金,横浜市,1401,西洋なし,43499,,,784,300,14.1,69.8
2021,10,22,金,横浜市,1401,西洋なし,43499,岩　手,003,700,281,,
2021,10,22,金,横浜市,1401,かき計,43500,,,107199,253,118.8,97.3
2021,10,22,金,横浜市,1401,かき計,43500,奈　良,029,82213,237,,
2021,10,22,金,横浜市,1401,かき計,43500,和歌山,030,11319,289,,
2021,10,22,金,横浜市,1401,甘がき,43700,,,3167,391,64.1,98.5
2021,10,22,金,横浜市,1401,甘がき,43700,愛　知,023,2650,340,,
2021,10,22,金,横浜市,1401,渋がき,43751,,,104032,249,122.0,98.8
2021,10,22,金,横浜市,1401,渋がき,43751,奈　良,029,82213,237,,
2021,10,22,金,横浜市,1401,渋がき,43751,和歌山,030,11319,289,,
2021,10,22,金,横浜市,1401,ぶどう計,45000,,,5950,1706,52.9,108.4
2021,10,22,金,横浜市,1401,ぶどう計,45000,長　野,020,3853,1837,,
2021,10,22,金,横浜市,1401,ぶどう計,45000,山　梨,019,876,1760,,
2021,10,22,金,横浜市,1401,ぶどう計,45000,岡　山,033,819,1652,,
2021,10,22,金,横浜市,1401,巨峰,45206,,,826,1317,53.2,97.8
2021,10,22,金,横浜市,1401,巨峰,45206,長　野,020,802,1314,,
2021,10,22,金,横浜市,1401,その他ぶどう,45299,,,5125,1768,52.9,109.8
2021,10,22,金,横浜市,1401,くり,45700,,,1075,876,74.1,110.1
2021,10,22,金,横浜市,1401,くり,45700,茨　城,008,1075,876,,
2021,10,22,金,横浜市,1401,いちご,46100,,,502,2967,64.3,92.0
2021,10,22,金,横浜市,1401,いちご,46100,静　岡,022,331,3446,,
2021,10,22,金,横浜市,1401,いちご,46100,青　森,002,74,1850,,
2021,10,22,金,横浜市,1401,メロン計,47000,,,744,866,35.4,143.1
2021,10,22,金,横浜市,1401,メロン計,47000,静　岡,022,634,857,,
2021,10,22,金,横浜市,1401,温室メロン,47200,,,634,857,30.8,143.1
2021,10,22,金,横浜市,1401,温室メロン,47200,静　岡,022,634,857,,
2021,10,22,金,横浜市,1401,その他メロン,47299,,,110,917,244.4,108.3
2021,10,22,金,横浜市,1401,キウイフルツ,49300,,,1156,582,******,43.1
2021,10,22,金,横浜市,1401,キウイフルツ,49300,山　梨,019,1140,574,,
2021,10,22,金,横浜市,1401,他の国産果実,49500,,,387,1129,55.8,113.2
2021,10,22,金,横浜市,1401,輸入果実計,50000,,,31814,202,79.9,84.9
2021,10,22,金,横浜市,1401,バナナ,50100,,,18420,130,82.5,76.0
2021,10,22,金,横浜市,1401,パイナップル,50300,,,3892,156,90.3,79.6
2021,10,22,金,横浜市,1401,レモン,50400,,,1400,277,58.1,164.9
2021,10,22,金,横浜市,1401,グレプフルツ,50500,,,2125,145,45.0,105.8
2021,10,22,金,横浜市,1401,オレンジ,50600,,,810,229,225.0,95.4
2021,10,22,金,横浜市,1401,輸入キウイ,50800,,,2789,560,75.0,94.4
2021,10,22,金,横浜市,1401,輸入メロン,50850,,,190,292,135.7,92.4
2021,10,22,金,横浜市,1401,他の輸入果実,50900,,,2188,426,121.8,54.2
