年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,10,28,木,京都市,2601,果実総量,40000,,,158454,338,126.8,94.2
2021,10,28,木,京都市,2601,国産果実総量,40001,,,110835,370,111.6,95.4
2021,10,28,木,京都市,2601,国産果実総量,40001,和歌山,030,42747,274,,
2021,10,28,木,京都市,2601,国産果実総量,40001,青　森,002,19395,344,,
2021,10,28,木,京都市,2601,国産果実総量,40001,長　野,020,14095,568,,
2021,10,28,木,京都市,2601,国産果実総量,40001,奈　良,029,9848,236,,
2021,10,28,木,京都市,2601,国産果実総量,40001,福　岡,040,5220,392,,
2021,10,28,木,京都市,2601,国産果実総量,40001,山　形,006,4252,489,,
2021,10,28,木,京都市,2601,国産果実総量,40001,富　山,016,3500,422,,
2021,10,28,木,京都市,2601,みかん,40100,,,35711,248,135.7,103.8
2021,10,28,木,京都市,2601,みかん,40100,和歌山,030,30281,244,,
2021,10,28,木,京都市,2601,その他雑かん,41999,,,1231,682,126.6,109.1
2021,10,28,木,京都市,2601,りんご計,42000,,,31570,353,77.2,112.4
2021,10,28,木,京都市,2601,りんご計,42000,青　森,002,19140,341,,
2021,10,28,木,京都市,2601,りんご計,42000,長　野,020,12110,372,,
2021,10,28,木,京都市,2601,ジョナゴルド,42505,,,600,305,6.6,88.2
2021,10,28,木,京都市,2601,ジョナゴルド,42505,青　森,002,600,305,,
2021,10,28,木,京都市,2601,王林,42515,,,3170,302,634.0,99.0
2021,10,28,木,京都市,2601,王林,42515,長　野,020,3000,302,,
2021,10,28,木,京都市,2601,ふじ,42804,,,12290,357,163.2,103.8
2021,10,28,木,京都市,2601,ふじ,42804,青　森,002,12290,357,,
2021,10,28,木,京都市,2601,その他りんご,42999,,,15510,362,65.2,124.0
2021,10,28,木,京都市,2601,日本なし計,43000,,,5750,418,119.8,103.7
2021,10,28,木,京都市,2601,日本なし計,43000,富　山,016,3500,422,,
2021,10,28,木,京都市,2601,日本なし計,43000,京　都,026,1750,372,,
2021,10,28,木,京都市,2601,その他なし,43401,,,5750,418,119.8,103.7
2021,10,28,木,京都市,2601,西洋なし,43499,,,3702,505,110.7,109.8
2021,10,28,木,京都市,2601,西洋なし,43499,山　形,006,3417,499,,
2021,10,28,木,京都市,2601,かき計,43500,,,25285,305,168.3,95.9
2021,10,28,木,京都市,2601,かき計,43500,和歌山,030,12466,345,,
2021,10,28,木,京都市,2601,かき計,43500,奈　良,029,9848,236,,
2021,10,28,木,京都市,2601,甘がき,43700,,,4694,340,89.7,116.4
2021,10,28,木,京都市,2601,甘がき,43700,奈　良,029,2458,296,,
2021,10,28,木,京都市,2601,甘がき,43700,福　岡,040,2200,383,,
2021,10,28,木,京都市,2601,渋がき,43751,,,20591,298,210.2,89.8
2021,10,28,木,京都市,2601,渋がき,43751,和歌山,030,12466,345,,
2021,10,28,木,京都市,2601,渋がき,43751,奈　良,029,7390,216,,
2021,10,28,木,京都市,2601,ぶどう計,45000,,,2500,1872,65.5,94.7
2021,10,28,木,京都市,2601,ぶどう計,45000,長　野,020,1678,1956,,
2021,10,28,木,京都市,2601,ぶどう計,45000,山　梨,019,514,2203,,
2021,10,28,木,京都市,2601,巨峰,45206,,,18,1704,7.8,94.5
2021,10,28,木,京都市,2601,巨峰,45206,長　野,020,18,1704,,
2021,10,28,木,京都市,2601,その他ぶどう,45299,,,2482,1873,69.2,94.3
2021,10,28,木,京都市,2601,くり,45700,,,75,1388,57.7,67.6
2021,10,28,木,京都市,2601,くり,45700,茨　城,008,40,1118,,
2021,10,28,木,京都市,2601,くり,45700,愛　媛,038,35,1697,,
2021,10,28,木,京都市,2601,いちご,46100,,,92,2988,124.3,112.3
2021,10,28,木,京都市,2601,いちご,46100,愛　媛,038,50,2867,,
2021,10,28,木,京都市,2601,いちご,46100,長　野,020,22,2965,,
2021,10,28,木,京都市,2601,いちご,46100,大　分,044,20,3316,,
2021,10,28,木,京都市,2601,メロン計,47000,,,2600,574,85.1,100.3
2021,10,28,木,京都市,2601,メロン計,47000,鳥　取,031,1304,516,,
2021,10,28,木,京都市,2601,メロン計,47000,山　形,006,835,447,,
2021,10,28,木,京都市,2601,温室メロン,47200,,,461,965,78.7,130.9
2021,10,28,木,京都市,2601,温室メロン,47200,静　岡,022,241,1248,,
2021,10,28,木,京都市,2601,温室メロン,47200,茨　城,008,120,540,,
2021,10,28,木,京都市,2601,温室メロン,47200,高　知,039,100,794,,
2021,10,28,木,京都市,2601,アンデス,47213,,,635,434,－,－
2021,10,28,木,京都市,2601,アンデス,47213,山　形,006,635,434,,
2021,10,28,木,京都市,2601,その他メロン,47299,,,1504,512,60.9,96.1
2021,10,28,木,京都市,2601,すいか,48100,,,600,305,－,－
2021,10,28,木,京都市,2601,すいか,48100,熊　本,043,600,305,,
2021,10,28,木,京都市,2601,キウイフルツ,49300,,,763,630,－,－
2021,10,28,木,京都市,2601,キウイフルツ,49300,佐　賀,041,763,630,,
2021,10,28,木,京都市,2601,他の国産果実,49500,,,956,958,104.9,112.3
2021,10,28,木,京都市,2601,輸入果実計,50000,,,47619,265,185.3,107.3
2021,10,28,木,京都市,2601,バナナ,50100,,,27163,160,153.6,134.5
2021,10,28,木,京都市,2601,パイナップル,50300,,,4090,210,511.3,92.9
