年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,10,30,土,名古屋市,2301,果実総量,40000,,,355964,376,114.0,100.8
2021,10,30,土,名古屋市,2301,国産果実総量,40001,,,281984,400,115.9,101.3
2021,10,30,土,名古屋市,2301,国産果実総量,40001,静　岡,022,56994,247,,
2021,10,30,土,名古屋市,2301,国産果実総量,40001,長　野,020,39626,743,,
2021,10,30,土,名古屋市,2301,国産果実総量,40001,青　森,002,37646,347,,
2021,10,30,土,名古屋市,2301,国産果実総量,40001,和歌山,030,37104,271,,
2021,10,30,土,名古屋市,2301,国産果実総量,40001,岐　阜,021,35262,414,,
2021,10,30,土,名古屋市,2301,国産果実総量,40001,愛　知,023,27116,494,,
2021,10,30,土,名古屋市,2301,国産果実総量,40001,熊　本,043,13045,271,,
2021,10,30,土,名古屋市,2301,みかん,40100,,,120510,249,144.3,103.8
2021,10,30,土,名古屋市,2301,みかん,40100,静　岡,022,55788,229,,
2021,10,30,土,名古屋市,2301,みかん,40100,和歌山,030,32439,272,,
2021,10,30,土,名古屋市,2301,みかん,40100,愛　知,023,15928,263,,
2021,10,30,土,名古屋市,2301,その他雑かん,41999,,,860,491,70.2,87.5
2021,10,30,土,名古屋市,2301,りんご計,42000,,,66502,351,105.6,95.4
2021,10,30,土,名古屋市,2301,りんご計,42000,青　森,002,36240,344,,
2021,10,30,土,名古屋市,2301,りんご計,42000,長　野,020,21532,368,,
2021,10,30,土,名古屋市,2301,ジョナゴルド,42505,,,7230,335,－,－
2021,10,30,土,名古屋市,2301,ジョナゴルド,42505,岩　手,003,7230,335,,
2021,10,30,土,名古屋市,2301,王林,42515,,,580,292,－,－
2021,10,30,土,名古屋市,2301,王林,42515,長　野,020,580,292,,
2021,10,30,土,名古屋市,2301,ふじ,42804,,,18360,366,121.1,95.3
2021,10,30,土,名古屋市,2301,ふじ,42804,青　森,002,18360,366,,
2021,10,30,土,名古屋市,2301,その他りんご,42999,,,40332,347,84.4,95.6
2021,10,30,土,名古屋市,2301,日本なし計,43000,,,15640,483,162.7,94.2
2021,10,30,土,名古屋市,2301,日本なし計,43000,長　野,020,8420,503,,
2021,10,30,土,名古屋市,2301,日本なし計,43000,新　潟,015,7220,460,,
2021,10,30,土,名古屋市,2301,その他なし,43401,,,15640,483,162.7,94.2
2021,10,30,土,名古屋市,2301,西洋なし,43499,,,6584,446,91.9,96.1
2021,10,30,土,名古屋市,2301,西洋なし,43499,山　形,006,5178,458,,
2021,10,30,土,名古屋市,2301,西洋なし,43499,青　森,002,1406,402,,
2021,10,30,土,名古屋市,2301,かき計,43500,,,54433,365,94.1,118.9
2021,10,30,土,名古屋市,2301,かき計,43500,岐　阜,021,35139,411,,
2021,10,30,土,名古屋市,2301,かき計,43500,愛　知,023,8189,333,,
2021,10,30,土,名古屋市,2301,かき計,43500,三　重,024,6440,228,,
2021,10,30,土,名古屋市,2301,甘がき,43700,,,47972,377,178.9,124.8
2021,10,30,土,名古屋市,2301,甘がき,43700,岐　阜,021,33348,416,,
2021,10,30,土,名古屋市,2301,甘がき,43700,愛　知,023,8184,333,,
2021,10,30,土,名古屋市,2301,渋がき,43751,,,6461,280,20.8,90.0
2021,10,30,土,名古屋市,2301,渋がき,43751,和歌山,030,4665,263,,
2021,10,30,土,名古屋市,2301,渋がき,43751,岐　阜,021,1791,324,,
2021,10,30,土,名古屋市,2301,ぶどう計,45000,,,10562,1816,100.6,102.9
2021,10,30,土,名古屋市,2301,ぶどう計,45000,長　野,020,9622,1784,,
2021,10,30,土,名古屋市,2301,巨峰,45206,,,913,1473,76.8,98.7
2021,10,30,土,名古屋市,2301,巨峰,45206,長　野,020,913,1473,,
2021,10,30,土,名古屋市,2301,その他ぶどう,45299,,,9650,1848,103.6,102.7
2021,10,30,土,名古屋市,2301,くり,45700,,,10,1782,100.0,100.0
2021,10,30,土,名古屋市,2301,くり,45700,茨　城,008,10,1782,,
2021,10,30,土,名古屋市,2301,いちご,46100,,,1840,3201,367.3,103.2
2021,10,30,土,名古屋市,2301,いちご,46100,愛　知,023,1617,3333,,
2021,10,30,土,名古屋市,2301,メロン計,47000,,,3134,683,90.9,103.8
2021,10,30,土,名古屋市,2301,メロン計,47000,茨　城,008,1048,471,,
2021,10,30,土,名古屋市,2301,メロン計,47000,静　岡,022,966,1178,,
2021,10,30,土,名古屋市,2301,メロン計,47000,熊　本,043,720,426,,
2021,10,30,土,名古屋市,2301,温室メロン,47200,,,2414,760,177.5,82.1
2021,10,30,土,名古屋市,2301,温室メロン,47200,茨　城,008,1048,471,,
2021,10,30,土,名古屋市,2301,温室メロン,47200,静　岡,022,966,1178,,
2021,10,30,土,名古屋市,2301,その他メロン,47299,,,720,426,34.5,88.2
2021,10,30,土,名古屋市,2301,すいか,48100,,,140,771,16.7,224.8
