年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,1,月,仙台市,0401,果実総量,40000,,,146510,344,98.3,119.0
2021,11,1,月,仙台市,0401,国産果実総量,40001,,,110379,371,103.8,126.6
2021,11,1,月,仙台市,0401,国産果実総量,40001,長　崎,042,37335,404,,
2021,11,1,月,仙台市,0401,国産果実総量,40001,熊　本,043,26620,260,,
2021,11,1,月,仙台市,0401,国産果実総量,40001,和歌山,030,14505,294,,
2021,11,1,月,仙台市,0401,国産果実総量,40001,新　潟,015,14339,355,,
2021,11,1,月,仙台市,0401,国産果実総量,40001,奈　良,029,4570,323,,
2021,11,1,月,仙台市,0401,国産果実総量,40001,山　形,006,3311,602,,
2021,11,1,月,仙台市,0401,国産果実総量,40001,青　森,002,2918,429,,
2021,11,1,月,仙台市,0401,みかん,40100,,,70015,330,107.6,142.9
2021,11,1,月,仙台市,0401,みかん,40100,長　崎,042,37335,404,,
2021,11,1,月,仙台市,0401,みかん,40100,熊　本,043,26620,260,,
2021,11,1,月,仙台市,0401,その他雑かん,41999,,,1587,498,125.0,158.1
2021,11,1,月,仙台市,0401,りんご計,42000,,,2700,240,15.3,88.9
2021,11,1,月,仙台市,0401,りんご計,42000,青　森,002,2560,244,,
2021,11,1,月,仙台市,0401,ふじ,42804,,,1600,258,15.6,90.8
2021,11,1,月,仙台市,0401,ふじ,42804,青　森,002,1600,258,,
2021,11,1,月,仙台市,0401,その他りんご,42999,,,1100,214,15.0,85.3
2021,11,1,月,仙台市,0401,日本なし計,43000,,,3270,512,157.6,112.0
2021,11,1,月,仙台市,0401,日本なし計,43000,新　潟,015,2850,516,,
2021,11,1,月,仙台市,0401,その他なし,43401,,,3270,512,198.8,104.5
2021,11,1,月,仙台市,0401,西洋なし,43499,,,2765,418,61.4,96.3
2021,11,1,月,仙台市,0401,西洋なし,43499,山　形,006,2765,418,,
2021,11,1,月,仙台市,0401,かき計,43500,,,26451,335,211.3,114.3
2021,11,1,月,仙台市,0401,かき計,43500,新　潟,015,11453,312,,
2021,11,1,月,仙台市,0401,かき計,43500,和歌山,030,8805,377,,
2021,11,1,月,仙台市,0401,かき計,43500,奈　良,029,4570,323,,
2021,11,1,月,仙台市,0401,甘がき,43700,,,910,449,280.0,78.4
2021,11,1,月,仙台市,0401,甘がき,43700,奈　良,029,430,450,,
2021,11,1,月,仙台市,0401,甘がき,43700,静　岡,022,350,426,,
2021,11,1,月,仙台市,0401,渋がき,43751,,,25541,331,209.5,115.7
2021,11,1,月,仙台市,0401,渋がき,43751,新　潟,015,11453,312,,
2021,11,1,月,仙台市,0401,渋がき,43751,和歌山,030,8805,377,,
2021,11,1,月,仙台市,0401,渋がき,43751,奈　良,029,4140,310,,
2021,11,1,月,仙台市,0401,ぶどう計,45000,,,913,1835,380.4,131.1
2021,11,1,月,仙台市,0401,ぶどう計,45000,青　森,002,358,1753,,
2021,11,1,月,仙台市,0401,ぶどう計,45000,福　島,007,290,1717,,
2021,11,1,月,仙台市,0401,ぶどう計,45000,山　梨,019,140,2098,,
2021,11,1,月,仙台市,0401,巨峰,45206,,,110,1356,137.5,103.5
2021,11,1,月,仙台市,0401,巨峰,45206,福　島,007,85,1310,,
2021,11,1,月,仙台市,0401,巨峰,45206,山　形,006,25,1512,,
2021,11,1,月,仙台市,0401,その他ぶどう,45299,,,803,1900,501.9,131.5
2021,11,1,月,仙台市,0401,いちご,46100,,,812,2673,74.8,94.5
2021,11,1,月,仙台市,0401,いちご,46100,宮　城,004,529,2728,,
2021,11,1,月,仙台市,0401,いちご,46100,山　形,006,283,2569,,
2021,11,1,月,仙台市,0401,メロン計,47000,,,764,532,57.3,146.6
2021,11,1,月,仙台市,0401,メロン計,47000,茨　城,008,624,459,,
2021,11,1,月,仙台市,0401,温室メロン,47200,,,764,532,57.3,146.6
2021,11,1,月,仙台市,0401,温室メロン,47200,茨　城,008,624,459,,
2021,11,1,月,仙台市,0401,キウイフルツ,49300,,,28,1026,－,－
2021,11,1,月,仙台市,0401,キウイフルツ,49300,宮　崎,045,28,1026,,
2021,11,1,月,仙台市,0401,他の国産果実,49500,,,1074,385,198.5,59.0
2021,11,1,月,仙台市,0401,輸入果実計,50000,,,36131,263,84.8,94.3
2021,11,1,月,仙台市,0401,バナナ,50100,,,21398,191,86.5,97.0
2021,11,1,月,仙台市,0401,パイナップル,50300,,,930,270,24.6,158.8
2021,11,1,月,仙台市,0401,レモン,50400,,,1720,337,177.3,95.5
2021,11,1,月,仙台市,0401,グレプフルツ,50500,,,2924,171,168.6,97.2
2021,11,1,月,仙台市,0401,オレンジ,50600,,,1615,311,115.9,119.6
2021,11,1,月,仙台市,0401,輸入キウイ,50800,,,7002,455,118.9,98.7
2021,11,1,月,仙台市,0401,他の輸入果実,50900,,,542,734,13.1,114.0
