年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,2,火,大阪市,2701,果実総量,40000,,,595427,402,78.8,100.5
2021,11,2,火,大阪市,2701,国産果実総量,40001,,,474306,430,74.7,99.5
2021,11,2,火,大阪市,2701,国産果実総量,40001,和歌山,030,194458,287,,
2021,11,2,火,大阪市,2701,国産果実総量,40001,青　森,002,59745,360,,
2021,11,2,火,大阪市,2701,国産果実総量,40001,長　野,020,31801,1140,,
2021,11,2,火,大阪市,2701,国産果実総量,40001,奈　良,029,30170,338,,
2021,11,2,火,大阪市,2701,国産果実総量,40001,熊　本,043,22986,293,,
2021,11,2,火,大阪市,2701,国産果実総量,40001,福　岡,040,21313,367,,
2021,11,2,火,大阪市,2701,国産果実総量,40001,新　潟,015,17463,452,,
2021,11,2,火,大阪市,2701,みかん,40100,,,167131,247,82.4,91.1
2021,11,2,火,大阪市,2701,みかん,40100,和歌山,030,117164,242,,
2021,11,2,火,大阪市,2701,みかん,40100,熊　本,043,21435,259,,
2021,11,2,火,大阪市,2701,その他雑かん,41999,,,6664,503,176.5,97.9
2021,11,2,火,大阪市,2701,りんご計,42000,,,93647,364,76.4,100.0
2021,11,2,火,大阪市,2701,りんご計,42000,青　森,002,58980,359,,
2021,11,2,火,大阪市,2701,りんご計,42000,長　野,020,17600,400,,
2021,11,2,火,大阪市,2701,ジョナゴルド,42505,,,23550,349,111.6,102.0
2021,11,2,火,大阪市,2701,ジョナゴルド,42505,岩　手,003,16900,345,,
2021,11,2,火,大阪市,2701,ジョナゴルド,42505,青　森,002,6650,358,,
2021,11,2,火,大阪市,2701,王林,42515,,,3410,351,97.7,139.3
2021,11,2,火,大阪市,2701,王林,42515,長　野,020,2910,344,,
2021,11,2,火,大阪市,2701,ふじ,42804,,,35850,365,75.4,92.9
2021,11,2,火,大阪市,2701,ふじ,42804,青　森,002,33850,357,,
2021,11,2,火,大阪市,2701,その他りんご,42999,,,30837,375,61.1,105.9
2021,11,2,火,大阪市,2701,日本なし計,43000,,,17728,487,88.4,100.4
2021,11,2,火,大阪市,2701,日本なし計,43000,新　潟,015,13240,498,,
2021,11,2,火,大阪市,2701,日本なし計,43000,鳥　取,031,3200,467,,
2021,11,2,火,大阪市,2701,新高,43310,,,188,683,62.7,160.7
2021,11,2,火,大阪市,2701,新高,43310,岡　山,033,188,683,,
2021,11,2,火,大阪市,2701,その他なし,43401,,,17540,484,88.8,99.6
2021,11,2,火,大阪市,2701,西洋なし,43499,,,9250,481,28.5,109.3
2021,11,2,火,大阪市,2701,西洋なし,43499,山　形,006,8750,484,,
2021,11,2,火,大阪市,2701,かき計,43500,,,133985,329,69.2,94.8
2021,11,2,火,大阪市,2701,かき計,43500,和歌山,030,75453,343,,
2021,11,2,火,大阪市,2701,かき計,43500,奈　良,029,30122,325,,
2021,11,2,火,大阪市,2701,かき計,43500,福　岡,040,8250,375,,
2021,11,2,火,大阪市,2701,甘がき,43700,,,47495,354,59.7,99.7
2021,11,2,火,大阪市,2701,甘がき,43700,奈　良,029,19365,350,,
2021,11,2,火,大阪市,2701,甘がき,43700,和歌山,030,9848,417,,
2021,11,2,火,大阪市,2701,甘がき,43700,福　岡,040,8250,375,,
2021,11,2,火,大阪市,2701,甘がき,43700,愛　知,023,5100,350,,
2021,11,2,火,大阪市,2701,渋がき,43751,,,86491,315,75.9,92.1
2021,11,2,火,大阪市,2701,渋がき,43751,和歌山,030,65606,332,,
2021,11,2,火,大阪市,2701,渋がき,43751,奈　良,029,10757,281,,
2021,11,2,火,大阪市,2701,ぶどう計,45000,,,29120,1876,88.0,101.8
2021,11,2,火,大阪市,2701,ぶどう計,45000,長　野,020,14063,2046,,
2021,11,2,火,大阪市,2701,ぶどう計,45000,岡　山,033,13891,1731,,
2021,11,2,火,大阪市,2701,巨峰,45206,,,1127,1518,84.7,98.8
2021,11,2,火,大阪市,2701,巨峰,45206,長　野,020,1106,1504,,
2021,11,2,火,大阪市,2701,その他ぶどう,45299,,,27994,1890,88.2,101.9
2021,11,2,火,大阪市,2701,くり,45700,,,20,1512,18.2,110.4
2021,11,2,火,大阪市,2701,くり,45700,茨　城,008,20,1512,,
2021,11,2,火,大阪市,2701,いちご,46100,,,995,3984,83.0,109.4
2021,11,2,火,大阪市,2701,いちご,46100,長　崎,042,313,3844,,
2021,11,2,火,大阪市,2701,いちご,46100,香　川,037,210,4741,,
2021,11,2,火,大阪市,2701,いちご,46100,長　野,020,139,3066,,
2021,11,2,火,大阪市,2701,いちご,46100,熊　本,043,129,3518,,
2021,11,2,火,大阪市,2701,いちご,46100,岐　阜,021,78,2753,,
2021,11,2,火,大阪市,2701,メロン計,47000,,,8996,687,46.7,112.1
2021,11,2,火,大阪市,2701,メロン計,47000,島　根,032,2174,554,,
2021,11,2,火,大阪市,2701,メロン計,47000,静　岡,022,1937,1459,,
