年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,5,金,福岡市,4002,野菜総量,30000,,,825658,181,80.5,100.6
2021,11,5,金,福岡市,4002,野菜総量,30000,北海道,001,190875,167,,
2021,11,5,金,福岡市,4002,野菜総量,30000,大　分,044,120996,128,,
2021,11,5,金,福岡市,4002,野菜総量,30000,熊　本,043,108862,171,,
2021,11,5,金,福岡市,4002,野菜総量,30000,福　岡,040,91762,288,,
2021,11,5,金,福岡市,4002,野菜総量,30000,長　野,020,63904,90,,
2021,11,5,金,福岡市,4002,野菜総量,30000,長　崎,042,59757,184,,
2021,11,5,金,福岡市,4002,野菜総量,30000,青　森,002,36265,157,,
2021,11,5,金,福岡市,4002,だいこん,30100,,,64001,54,97.0,91.5
2021,11,5,金,福岡市,4002,だいこん,30100,熊　本,043,26438,44,,
2021,11,5,金,福岡市,4002,だいこん,30100,長　崎,042,17087,62,,
2021,11,5,金,福岡市,4002,だいこん,30100,福　岡,040,8746,64,,
2021,11,5,金,福岡市,4002,かぶ,30200,,,7752,71,106.4,83.5
2021,11,5,金,福岡市,4002,かぶ,30200,福　岡,040,7704,66,,
2021,11,5,金,福岡市,4002,にんじん,30300,,,53020,107,120.0,101.9
2021,11,5,金,福岡市,4002,にんじん,30300,北海道,001,34570,110,,
2021,11,5,金,福岡市,4002,にんじん,30300,青　森,002,15800,103,,
2021,11,5,金,福岡市,4002,ごぼう,30400,,,19557,186,86.6,126.5
2021,11,5,金,福岡市,4002,ごぼう,30400,青　森,002,17040,191,,
2021,11,5,金,福岡市,4002,たけのこ,30500,,,140,1355,100.0,100.2
2021,11,5,金,福岡市,4002,たけのこ,30500,高　知,039,140,1355,,
2021,11,5,金,福岡市,4002,れんこん,30600,,,6869,306,106.8,99.0
2021,11,5,金,福岡市,4002,れんこん,30600,佐　賀,041,6869,306,,
2021,11,5,金,福岡市,4002,はくさい,31100,,,163019,62,59.3,103.3
2021,11,5,金,福岡市,4002,はくさい,31100,大　分,044,93299,59,,
2021,11,5,金,福岡市,4002,はくさい,31100,長　野,020,55170,66,,
2021,11,5,金,福岡市,4002,みずな,31300,,,2267,377,58.2,98.2
2021,11,5,金,福岡市,4002,みずな,31300,福　岡,040,2235,374,,
2021,11,5,金,福岡市,4002,こまつな,31500,,,5505,212,82.9,88.7
2021,11,5,金,福岡市,4002,こまつな,31500,福　岡,040,5280,213,,
2021,11,5,金,福岡市,4002,ちんげんさい,31560,,,2025,179,77.5,91.3
2021,11,5,金,福岡市,4002,ちんげんさい,31560,福　岡,040,1351,161,,
2021,11,5,金,福岡市,4002,ちんげんさい,31560,熊　本,043,600,214,,
2021,11,5,金,福岡市,4002,キャベツ,31700,,,105274,110,85.1,103.8
2021,11,5,金,福岡市,4002,キャベツ,31700,熊　本,043,39420,119,,
2021,11,5,金,福岡市,4002,キャベツ,31700,宮　崎,045,22680,111,,
2021,11,5,金,福岡市,4002,キャベツ,31700,富　山,016,11616,70,,
2021,11,5,金,福岡市,4002,キャベツ,31700,大　分,044,8530,112,,
