年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,12,金,東京都,1301,野菜総量,30000,,,4268743,202,90.7,84.9
2021,11,12,金,東京都,1301,野菜総量,30000,茨　城,008,1022074,134,,
2021,11,12,金,東京都,1301,野菜総量,30000,北海道,001,822783,155,,
2021,11,12,金,東京都,1301,野菜総量,30000,千　葉,012,816614,138,,
2021,11,12,金,東京都,1301,野菜総量,30000,愛　知,023,178780,296,,
2021,11,12,金,東京都,1301,野菜総量,30000,青　森,002,171907,194,,
2021,11,12,金,東京都,1301,野菜総量,30000,長　野,020,166522,196,,
2021,11,12,金,東京都,1301,野菜総量,30000,群　馬,010,131612,236,,
2021,11,12,金,東京都,1301,だいこん,30100,,,389679,58,108.5,93.5
2021,11,12,金,東京都,1301,だいこん,30100,千　葉,012,213893,56,,
2021,11,12,金,東京都,1301,だいこん,30100,茨　城,008,68859,56,,
2021,11,12,金,東京都,1301,だいこん,30100,青　森,002,43230,43,,
2021,11,12,金,東京都,1301,かぶ,30200,,,56535,116,94.8,98.3
2021,11,12,金,東京都,1301,かぶ,30200,千　葉,012,45341,116,,
2021,11,12,金,東京都,1301,にんじん,30300,,,367436,87,114.0,82.1
2021,11,12,金,東京都,1301,にんじん,30300,北海道,001,213970,63,,
2021,11,12,金,東京都,1301,にんじん,30300,千　葉,012,90810,127,,
2021,11,12,金,東京都,1301,ごぼう,30400,,,19518,273,59.9,110.5
2021,11,12,金,東京都,1301,ごぼう,30400,青　森,002,16657,243,,
2021,11,12,金,東京都,1301,たけのこ,30500,,,94,1764,854.5,66.5
2021,11,12,金,東京都,1301,たけのこ,30500,高　知,039,72,1523,,
2021,11,12,金,東京都,1301,たけのこ,30500,鹿児島,046,22,2553,,
2021,11,12,金,東京都,1301,れんこん,30600,,,33863,414,109.4,97.4
2021,11,12,金,東京都,1301,れんこん,30600,茨　城,008,31555,409,,
2021,11,12,金,東京都,1301,はくさい,31100,,,495629,48,103.0,100.0
2021,11,12,金,東京都,1301,はくさい,31100,茨　城,008,389078,46,,
2021,11,12,金,東京都,1301,はくさい,31100,長　野,020,86637,56,,
2021,11,12,金,東京都,1301,みずな,31300,,,10983,341,74.9,98.3
2021,11,12,金,東京都,1301,みずな,31300,茨　城,008,10073,328,,
2021,11,12,金,東京都,1301,こまつな,31500,,,30529,208,72.9,99.0
2021,11,12,金,東京都,1301,こまつな,31500,茨　城,008,17614,205,,
2021,11,12,金,東京都,1301,こまつな,31500,埼　玉,011,7668,207,,
2021,11,12,金,東京都,1301,その他の菜類,31550,,,2425,285,108.7,82.8
2021,11,12,金,東京都,1301,ちんげんさい,31560,,,12202,218,101.5,93.2
2021,11,12,金,東京都,1301,ちんげんさい,31560,茨　城,008,8126,207,,
2021,11,12,金,東京都,1301,ちんげんさい,31560,埼　玉,011,1390,186,,
2021,11,12,金,東京都,1301,ちんげんさい,31560,静　岡,022,1156,349,,
2021,11,12,金,東京都,1301,キャベツ,31700,,,679995,73,128.1,97.3
2021,11,12,金,東京都,1301,キャベツ,31700,千　葉,012,314938,75,,
2021,11,12,金,東京都,1301,キャベツ,31700,茨　城,008,140280,66,,
2021,11,12,金,東京都,1301,キャベツ,31700,愛　知,023,122390,84,,
2021,11,12,金,東京都,1301,ほうれんそう,31800,,,57856,375,80.2,96.4
2021,11,12,金,東京都,1301,ほうれんそう,31800,群　馬,010,26434,362,,
2021,11,12,金,東京都,1301,ほうれんそう,31800,茨　城,008,13960,383,,
2021,11,12,金,東京都,1301,ほうれんそう,31800,長　野,020,6450,400,,
2021,11,12,金,東京都,1301,ねぎ,31900,,,196202,246,80.2,92.8
2021,11,12,金,東京都,1301,ねぎ,31900,秋　田,005,34455,187,,
2021,11,12,金,東京都,1301,ねぎ,31900,青　森,002,29575,172,,
2021,11,12,金,東京都,1301,ねぎ,31900,茨　城,008,20794,200,,
2021,11,12,金,東京都,1301,ねぎ,31900,新　潟,015,18123,212,,
2021,11,12,金,東京都,1301,ねぎ,31900,栃　木,009,17606,197,,
2021,11,12,金,東京都,1301,ふき,32300,,,2505,318,171.5,96.1
2021,11,12,金,東京都,1301,ふき,32300,愛　知,023,2505,318,,
2021,11,12,金,東京都,1301,みつば,32500,,,4639,409,102.3,95.3
2021,11,12,金,東京都,1301,みつば,32500,千　葉,012,1865,335,,
2021,11,12,金,東京都,1301,みつば,32500,静　岡,022,931,436,,
2021,11,12,金,東京都,1301,みつば,32500,茨　城,008,924,498,,
2021,11,12,金,東京都,1301,しゅんぎく,32600,,,8972,498,99.6,98.0
2021,11,12,金,東京都,1301,しゅんぎく,32600,千　葉,012,2250,537,,
2021,11,12,金,東京都,1301,しゅんぎく,32600,群　馬,010,1990,488,,
2021,11,12,金,東京都,1301,しゅんぎく,32600,茨　城,008,1471,389,,
2021,11,12,金,東京都,1301,しゅんぎく,32600,栃　木,009,1435,553,,
2021,11,12,金,東京都,1301,しゅんぎく,32600,宮　城,004,768,536,,
2021,11,12,金,東京都,1301,にら,32800,,,20493,808,74.6,97.6
2021,11,12,金,東京都,1301,にら,32800,栃　木,009,8160,838,,
2021,11,12,金,東京都,1301,にら,32800,茨　城,008,4784,718,,
2021,11,12,金,東京都,1301,にら,32800,高　知,039,3990,882,,
2021,11,12,金,東京都,1301,セルリー,32900,,,34946,211,172.5,89.4
2021,11,12,金,東京都,1301,セルリー,32900,長　野,020,12620,234,,
2021,11,12,金,東京都,1301,セルリー,32900,静　岡,022,9392,198,,
2021,11,12,金,東京都,1301,セルリー,32900,山　形,006,7650,204,,
2021,11,12,金,東京都,1301,アスパラガス,33100,,,7844,729,90.7,98.4
2021,11,12,金,東京都,1301,　　うち輸入,33101,,,7844,729,90.7,98.4
2021,11,12,金,東京都,1301,カリフラワー,33200,,,15264,214,76.8,97.3
2021,11,12,金,東京都,1301,カリフラワー,33200,茨　城,008,4769,196,,
2021,11,12,金,東京都,1301,カリフラワー,33200,新　潟,015,2256,266,,
2021,11,12,金,東京都,1301,カリフラワー,33200,熊　本,043,2048,212,,
2021,11,12,金,東京都,1301,カリフラワー,33200,埼　玉,011,1308,245,,
2021,11,12,金,東京都,1301,カリフラワー,33200,神奈川,014,1255,188,,
2021,11,12,金,東京都,1301,ブロッコリー,33300,,,128565,301,72.4,99.0
2021,11,12,金,東京都,1301,ブロッコリー,33300,埼　玉,011,27417,310,,
2021,11,12,金,東京都,1301,ブロッコリー,33300,熊　本,043,18414,344,,
2021,11,12,金,東京都,1301,ブロッコリー,33300,香　川,037,15918,415,,
2021,11,12,金,東京都,1301,ブロッコリー,33300,群　馬,010,15789,204,,
2021,11,12,金,東京都,1301,ブロッコリー,33300,長　崎,042,12560,269,,
2021,11,12,金,東京都,1301,レタス,33400,,,250862,143,112.1,91.7
2021,11,12,金,東京都,1301,レタス,33400,茨　城,008,191445,135,,
2021,11,12,金,東京都,1301,レタス,33400,兵　庫,028,19830,157,,
2021,11,12,金,東京都,1301,パセリ,33600,,,1734,1817,129.9,98.2
2021,11,12,金,東京都,1301,パセリ,33600,千　葉,012,948,1793,,
2021,11,12,金,東京都,1301,パセリ,33600,長　野,020,432,1490,,
2021,11,12,金,東京都,1301,パセリ,33600,静　岡,022,170,2030,,
2021,11,12,金,東京都,1301,きゅうり,34100,,,147300,269,54.1,98.5
2021,11,12,金,東京都,1301,きゅうり,34100,宮　崎,045,37575,267,,
2021,11,12,金,東京都,1301,きゅうり,34100,埼　玉,011,31110,280,,
2021,11,12,金,東京都,1301,きゅうり,34100,群　馬,010,30623,269,,
2021,11,12,金,東京都,1301,きゅうり,34100,高　知,039,12168,319,,
2021,11,12,金,東京都,1301,きゅうり,34100,千　葉,012,10767,283,,
2021,11,12,金,東京都,1301,かぼちゃ,34200,,,141283,168,91.6,104.3
2021,11,12,金,東京都,1301,かぼちゃ,34200,北海道,001,124070,139,,
2021,11,12,金,東京都,1301,　　うち輸入,34201,,,5960,167,135.5,101.8
2021,11,12,金,東京都,1301,なす,34300,,,81089,402,73.0,99.0
2021,11,12,金,東京都,1301,なす,34300,高　知,039,53560,418,,
2021,11,12,金,東京都,1301,なす,34300,福　岡,040,8080,467,,
2021,11,12,金,東京都,1301,なす,34300,熊　本,043,6316,417,,
2021,11,12,金,東京都,1301,トマト,34400,,,91915,505,35.5,106.3
2021,11,12,金,東京都,1301,トマト,34400,千　葉,012,27655,420,,
2021,11,12,金,東京都,1301,トマト,34400,愛　知,023,19589,516,,
2021,11,12,金,東京都,1301,トマト,34400,熊　本,043,16117,436,,
2021,11,12,金,東京都,1301,トマト,34400,茨　城,008,11702,362,,
2021,11,12,金,東京都,1301,ミニトマト,34450,,,48882,704,54.4,100.3
2021,11,12,金,東京都,1301,ミニトマト,34450,熊　本,043,11851,685,,
2021,11,12,金,東京都,1301,ミニトマト,34450,愛　知,023,11028,860,,
2021,11,12,金,東京都,1301,ミニトマト,34450,千　葉,012,5068,718,,
2021,11,12,金,東京都,1301,ミニトマト,34450,静　岡,022,3773,705,,
2021,11,12,金,東京都,1301,ミニトマト,34450,茨　城,008,3764,514,,
2021,11,12,金,東京都,1301,ピーマン,34500,,,74212,379,75.2,94.5
2021,11,12,金,東京都,1301,ピーマン,34500,茨　城,008,39893,367,,
2021,11,12,金,東京都,1301,ピーマン,34500,宮　崎,045,11615,395,,
2021,11,12,金,東京都,1301,ピーマン,34500,高　知,039,9669,441,,
2021,11,12,金,東京都,1301,ししとう,34600,,,3041,1772,79.6,101.3
2021,11,12,金,東京都,1301,ししとう,34600,高　知,039,2321,1920,,
2021,11,12,金,東京都,1301,ししとう,34600,千　葉,012,521,1360,,
2021,11,12,金,東京都,1301,スイトコーン,34700,,,1902,324,134.0,87.6
2021,11,12,金,東京都,1301,スイトコーン,34700,群　馬,010,1005,258,,
2021,11,12,金,東京都,1301,スイトコーン,34700,宮　崎,045,815,406,,
2021,11,12,金,東京都,1301,さやいんげん,35100,,,4039,1007,37.4,110.4
2021,11,12,金,東京都,1301,さやいんげん,35100,長　崎,042,1496,1022,,
2021,11,12,金,東京都,1301,さやいんげん,35100,鹿児島,046,1010,1087,,
2021,11,12,金,東京都,1301,さやいんげん,35100,千　葉,012,665,1122,,
2021,11,12,金,東京都,1301,さやいんげん,35100,茨　城,008,487,732,,
2021,11,12,金,東京都,1301,さやえんどう,35200,,,2824,1361,108.6,79.0
2021,11,12,金,東京都,1301,さやえんどう,35200,和歌山,030,1466,1360,,
