年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,15,月,名古屋市,2301,野菜総量,30000,,,1681373,206,94.9,101.0
2021,11,15,月,名古屋市,2301,野菜総量,30000,北海道,001,541923,166,,
2021,11,15,月,名古屋市,2301,野菜総量,30000,愛　知,023,288614,188,,
2021,11,15,月,名古屋市,2301,野菜総量,30000,茨　城,008,247891,113,,
2021,11,15,月,名古屋市,2301,野菜総量,30000,長　野,020,106759,218,,
2021,11,15,月,名古屋市,2301,野菜総量,30000,青　森,002,92429,190,,
2021,11,15,月,名古屋市,2301,野菜総量,30000,岐　阜,021,50457,272,,
2021,11,15,月,名古屋市,2301,野菜総量,30000,熊　本,043,42738,539,,
2021,11,15,月,名古屋市,2301,だいこん,30100,,,98852,56,92.3,88.9
2021,11,15,月,名古屋市,2301,だいこん,30100,愛　知,023,49287,51,,
2021,11,15,月,名古屋市,2301,だいこん,30100,千　葉,012,35410,66,,
2021,11,15,月,名古屋市,2301,かぶ,30200,,,9140,98,83.3,86.0
2021,11,15,月,名古屋市,2301,かぶ,30200,三　重,024,3470,85,,
2021,11,15,月,名古屋市,2301,かぶ,30200,岐　阜,021,2560,117,,
2021,11,15,月,名古屋市,2301,かぶ,30200,愛　知,023,2270,75,,
2021,11,15,月,名古屋市,2301,にんじん,30300,,,130651,116,158.8,92.8
2021,11,15,月,名古屋市,2301,にんじん,30300,北海道,001,81800,130,,
2021,11,15,月,名古屋市,2301,にんじん,30300,青　森,002,26150,80,,
2021,11,15,月,名古屋市,2301,ごぼう,30400,,,32214,224,71.5,130.2
2021,11,15,月,名古屋市,2301,ごぼう,30400,青　森,002,30094,206,,
2021,11,15,月,名古屋市,2301,たけのこ,30500,,,7,2746,－,－
2021,11,15,月,名古屋市,2301,たけのこ,30500,三　重,024,4,2781,,
2021,11,15,月,名古屋市,2301,たけのこ,30500,熊　本,043,2,2700,,
2021,11,15,月,名古屋市,2301,れんこん,30600,,,12179,356,82.6,100.8
2021,11,15,月,名古屋市,2301,れんこん,30600,愛　知,023,6975,375,,
2021,11,15,月,名古屋市,2301,れんこん,30600,茨　城,008,5194,331,,
2021,11,15,月,名古屋市,2301,はくさい,31100,,,190712,55,73.9,96.5
2021,11,15,月,名古屋市,2301,はくさい,31100,茨　城,008,113455,61,,
2021,11,15,月,名古屋市,2301,はくさい,31100,愛　知,023,40386,54,,
2021,11,15,月,名古屋市,2301,みずな,31300,,,4346,360,94.5,103.2
2021,11,15,月,名古屋市,2301,みずな,31300,茨　城,008,4230,359,,
2021,11,15,月,名古屋市,2301,こまつな,31500,,,9829,247,82.3,96.9
2021,11,15,月,名古屋市,2301,こまつな,31500,茨　城,008,5493,236,,
2021,11,15,月,名古屋市,2301,こまつな,31500,岐　阜,021,2136,278,,
