年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,16,火,東京都,1301,果実総量,40000,,,1271897,412,71.9,107.6
2021,11,16,火,東京都,1301,国産果実総量,40001,,,1233988,418,71.5,108.0
2021,11,16,火,東京都,1301,国産果実総量,40001,愛　媛,038,359542,324,,
2021,11,16,火,東京都,1301,国産果実総量,40001,青　森,002,182252,435,,
2021,11,16,火,東京都,1301,国産果実総量,40001,和歌山,030,145614,279,,
2021,11,16,火,東京都,1301,国産果実総量,40001,山　形,006,81456,387,,
2021,11,16,火,東京都,1301,国産果実総量,40001,長　野,020,78924,810,,
2021,11,16,火,東京都,1301,国産果実総量,40001,熊　本,043,66140,270,,
2021,11,16,火,東京都,1301,国産果実総量,40001,静　岡,022,48555,437,,
2021,11,16,火,東京都,1301,みかん,40100,,,630526,291,56.1,99.7
2021,11,16,火,東京都,1301,みかん,40100,愛　媛,038,344545,320,,
2021,11,16,火,東京都,1301,みかん,40100,和歌山,030,133273,258,,
2021,11,16,火,東京都,1301,みかん,40100,熊　本,043,60452,263,,
2021,11,16,火,東京都,1301,その他雑かん,41999,,,11859,797,53.3,109.5
2021,11,16,火,東京都,1301,りんご計,42000,,,317978,414,120.8,100.0
2021,11,16,火,東京都,1301,りんご計,42000,青　森,002,178105,430,,
2021,11,16,火,東京都,1301,りんご計,42000,長　野,020,64220,447,,
2021,11,16,火,東京都,1301,りんご計,42000,山　形,006,48855,329,,
2021,11,16,火,東京都,1301,ジョナゴルド,42505,,,7410,418,57.5,112.7
2021,11,16,火,東京都,1301,ジョナゴルド,42505,青　森,002,7410,418,,
2021,11,16,火,東京都,1301,王林,42515,,,19014,348,78.8,112.3
2021,11,16,火,東京都,1301,王林,42515,青　森,002,15940,360,,
2021,11,16,火,東京都,1301,ふじ,42804,,,237978,430,147.6,98.6
2021,11,16,火,東京都,1301,ふじ,42804,青　森,002,116355,467,,
2021,11,16,火,東京都,1301,ふじ,42804,長　野,020,57990,449,,
2021,11,16,火,東京都,1301,ふじ,42804,山　形,006,46553,328,,
2021,11,16,火,東京都,1301,その他りんご,42999,,,53576,367,88.8,88.4
2021,11,16,火,東京都,1301,日本なし計,43000,,,2600,456,30.8,93.1
2021,11,16,火,東京都,1301,日本なし計,43000,新　潟,015,1795,458,,
2021,11,16,火,東京都,1301,日本なし計,43000,茨　城,008,500,423,,
2021,11,16,火,東京都,1301,その他なし,43401,,,2600,456,30.8,93.1
2021,11,16,火,東京都,1301,西洋なし,43499,,,27117,478,140.0,96.8
2021,11,16,火,東京都,1301,西洋なし,43499,山　形,006,25902,478,,
2021,11,16,火,東京都,1301,かき計,43500,,,161989,369,84.2,103.1
2021,11,16,火,東京都,1301,かき計,43500,新　潟,015,42550,346,,
2021,11,16,火,東京都,1301,かき計,43500,奈　良,029,26360,364,,
2021,11,16,火,東京都,1301,かき計,43500,福　岡,040,20544,347,,
2021,11,16,火,東京都,1301,かき計,43500,愛　知,023,15365,338,,
2021,11,16,火,東京都,1301,かき計,43500,愛　媛,038,13500,409,,
2021,11,16,火,東京都,1301,甘がき,43700,,,102895,369,85.2,100.8
2021,11,16,火,東京都,1301,甘がき,43700,奈　良,029,26360,364,,
2021,11,16,火,東京都,1301,甘がき,43700,福　岡,040,20544,347,,
2021,11,16,火,東京都,1301,甘がき,43700,愛　知,023,15365,338,,
2021,11,16,火,東京都,1301,甘がき,43700,岐　阜,021,13196,360,,
2021,11,16,火,東京都,1301,甘がき,43700,静　岡,022,9025,378,,
2021,11,16,火,東京都,1301,渋がき,43751,,,59094,369,82.5,107.0
2021,11,16,火,東京都,1301,渋がき,43751,新　潟,015,42550,346,,
2021,11,16,火,東京都,1301,渋がき,43751,愛　媛,038,8000,428,,
2021,11,16,火,東京都,1301,もも,44100,,,108,4156,－,－
2021,11,16,火,東京都,1301,もも,44100,岡　山,033,108,4156,,
2021,11,16,火,東京都,1301,ぶどう計,45000,,,21400,2013,102.4,93.7
2021,11,16,火,東京都,1301,ぶどう計,45000,長　野,020,14492,2405,,
2021,11,16,火,東京都,1301,ぶどう計,45000,青　森,002,3639,647,,
2021,11,16,火,東京都,1301,巨峰,45206,,,2139,1731,92.4,99.9
2021,11,16,火,東京都,1301,巨峰,45206,長　野,020,1738,1829,,
2021,11,16,火,東京都,1301,その他ぶどう,45299,,,19261,2044,103.7,92.9
2021,11,16,火,東京都,1301,くり,45700,,,497,748,36.8,86.0
2021,11,16,火,東京都,1301,くり,45700,茨　城,008,467,719,,
2021,11,16,火,東京都,1301,いちご,46100,,,24782,1950,83.7,101.6
2021,11,16,火,東京都,1301,いちご,46100,栃　木,009,18413,1875,,
2021,11,16,火,東京都,1301,いちご,46100,茨　城,008,3873,1763,,
2021,11,16,火,東京都,1301,メロン計,47000,,,13688,823,60.5,115.1
2021,11,16,火,東京都,1301,メロン計,47000,静　岡,022,5306,1150,,
2021,11,16,火,東京都,1301,メロン計,47000,長　崎,042,2723,564,,
2021,11,16,火,東京都,1301,メロン計,47000,高　知,039,2298,806,,
2021,11,16,火,東京都,1301,メロン計,47000,熊　本,043,1898,499,,
2021,11,16,火,東京都,1301,温室メロン,47200,,,12041,858,75.3,108.1
2021,11,16,火,東京都,1301,温室メロン,47200,静　岡,022,5306,1150,,
2021,11,16,火,東京都,1301,温室メロン,47200,長　崎,042,2723,564,,
2021,11,16,火,東京都,1301,温室メロン,47200,高　知,039,2067,804,,
2021,11,16,火,東京都,1301,アンデス,47213,,,405,445,15.7,90.6
2021,11,16,火,東京都,1301,アンデス,47213,熊　本,043,405,445,,
2021,11,16,火,東京都,1301,その他メロン,47299,,,1242,604,30.7,110.8
2021,11,16,火,東京都,1301,すいか,48100,,,5094,265,77.2,102.7
2021,11,16,火,東京都,1301,すいか,48100,熊　本,043,3778,253,,
2021,11,16,火,東京都,1301,すいか,48100,沖　縄,047,1246,281,,
2021,11,16,火,東京都,1301,キウイフルツ,49300,,,9924,430,183.6,70.5
2021,11,16,火,東京都,1301,キウイフルツ,49300,山　梨,019,4819,399,,
2021,11,16,火,東京都,1301,キウイフルツ,49300,栃　木,009,4595,397,,
2021,11,16,火,東京都,1301,他の国産果実,49500,,,6428,1204,80.6,141.1
2021,11,16,火,東京都,1301,輸入果実計,50000,,,37907,224,84.3,98.7
2021,11,16,火,東京都,1301,バナナ,50100,,,15244,138,68.1,90.8
2021,11,16,火,東京都,1301,パイナップル,50300,,,2857,175,143.9,106.7
2021,11,16,火,東京都,1301,レモン,50400,,,4218,255,57.8,105.8
2021,11,16,火,東京都,1301,グレプフルツ,50500,,,8409,121,349.6,65.1
2021,11,16,火,東京都,1301,オレンジ,50600,,,2462,218,38.4,140.6
2021,11,16,火,東京都,1301,輸入キウイ,50800,,,2432,657,156.7,100.5
2021,11,16,火,東京都,1301,輸入メロン,50850,,,462,310,－,－
2021,11,16,火,東京都,1301,他の輸入果実,50900,,,1825,838,62.7,109.3
