年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,20,土,金沢市,1701,果実総量,40000,,,137894,300,112.4,113.6
2021,11,20,土,金沢市,1701,国産果実総量,40001,,,87170,360,105.5,117.3
2021,11,20,土,金沢市,1701,国産果実総量,40001,長　崎,042,25322,297,,
2021,11,20,土,金沢市,1701,国産果実総量,40001,福　岡,040,24529,302,,
2021,11,20,土,金沢市,1701,国産果実総量,40001,奈　良,029,11680,426,,
2021,11,20,土,金沢市,1701,国産果実総量,40001,愛　媛,038,8678,315,,
2021,11,20,土,金沢市,1701,国産果実総量,40001,石　川,017,6267,294,,
2021,11,20,土,金沢市,1701,国産果実総量,40001,山　形,006,4613,402,,
2021,11,20,土,金沢市,1701,国産果実総量,40001,岐　阜,021,1824,318,,
2021,11,20,土,金沢市,1701,みかん,40100,,,56575,276,85.2,110.4
2021,11,20,土,金沢市,1701,みかん,40100,福　岡,040,24490,298,,
2021,11,20,土,金沢市,1701,みかん,40100,長　崎,042,23915,251,,
2021,11,20,土,金沢市,1701,その他雑かん,41999,,,864,831,116.4,98.0
2021,11,20,土,金沢市,1701,りんご計,42000,,,3573,407,55.7,88.1
2021,11,20,土,金沢市,1701,りんご計,42000,山　形,006,1763,287,,
2021,11,20,土,金沢市,1701,りんご計,42000,青　森,002,1630,545,,
2021,11,20,土,金沢市,1701,ふじ,42804,,,3393,404,100.4,71.8
2021,11,20,土,金沢市,1701,ふじ,42804,山　形,006,1633,277,,
2021,11,20,土,金沢市,1701,ふじ,42804,青　森,002,1580,544,,
2021,11,20,土,金沢市,1701,その他りんご,42999,,,180,454,9.3,139.7
2021,11,20,土,金沢市,1701,日本なし計,43000,,,1175,417,－,－
2021,11,20,土,金沢市,1701,日本なし計,43000,石　川,017,1175,417,,
2021,11,20,土,金沢市,1701,その他なし,43401,,,1175,417,－,－
2021,11,20,土,金沢市,1701,西洋なし,43499,,,2850,473,173.5,111.0
2021,11,20,土,金沢市,1701,西洋なし,43499,山　形,006,2850,473,,
2021,11,20,土,金沢市,1701,かき計,43500,,,18305,367,363.6,126.1
2021,11,20,土,金沢市,1701,かき計,43500,奈　良,029,11680,426,,
2021,11,20,土,金沢市,1701,かき計,43500,石　川,017,4821,252,,
2021,11,20,土,金沢市,1701,甘がき,43700,,,13484,408,7096.8,226.7
2021,11,20,土,金沢市,1701,甘がき,43700,奈　良,029,11680,426,,
2021,11,20,土,金沢市,1701,渋がき,43751,,,4821,252,99.5,85.4
2021,11,20,土,金沢市,1701,渋がき,43751,石　川,017,4821,252,,
2021,11,20,土,金沢市,1701,ぶどう計,45000,,,225,1423,88.9,75.5
2021,11,20,土,金沢市,1701,ぶどう計,45000,長　野,020,116,1303,,
2021,11,20,土,金沢市,1701,ぶどう計,45000,岡　山,033,109,1550,,
2021,11,20,土,金沢市,1701,巨峰,45206,,,35,1851,66.0,100.9
2021,11,20,土,金沢市,1701,巨峰,45206,長　野,020,35,1851,,
2021,11,20,土,金沢市,1701,その他ぶどう,45299,,,190,1344,95.0,70.8
2021,11,20,土,金沢市,1701,いちご,46100,,,1759,1950,278.8,94.2
2021,11,20,土,金沢市,1701,いちご,46100,愛　知,023,1105,1985,,
2021,11,20,土,金沢市,1701,いちご,46100,長　崎,042,615,1816,,
2021,11,20,土,金沢市,1701,メロン計,47000,,,1717,681,133.5,85.6
2021,11,20,土,金沢市,1701,メロン計,47000,長　崎,042,792,479,,
2021,11,20,土,金沢市,1701,メロン計,47000,静　岡,022,571,990,,
2021,11,20,土,金沢市,1701,メロン計,47000,熊　本,043,215,521,,
2021,11,20,土,金沢市,1701,温室メロン,47200,,,806,916,76.0,106.5
2021,11,20,土,金沢市,1701,温室メロン,47200,静　岡,022,571,990,,
2021,11,20,土,金沢市,1701,温室メロン,47200,長　崎,042,96,618,,
2021,11,20,土,金沢市,1701,アンデス,47213,,,215,521,95.6,105.7
2021,11,20,土,金沢市,1701,アンデス,47213,熊　本,043,215,521,,
2021,11,20,土,金沢市,1701,その他メロン,47299,,,696,459,－,－
2021,11,20,土,金沢市,1701,他の国産果実,49500,,,128,1293,148.8,108.2
2021,11,20,土,金沢市,1701,輸入果実計,50000,,,50724,196,126.6,112.0
2021,11,20,土,金沢市,1701,バナナ,50100,,,43080,163,135.1,124.4
2021,11,20,土,金沢市,1701,パイナップル,50300,,,2600,213,107.4,77.5
2021,11,20,土,金沢市,1701,レモン,50400,,,810,314,186.6,88.5
2021,11,20,土,金沢市,1701,グレプフルツ,50500,,,576,138,41.6,97.2
2021,11,20,土,金沢市,1701,オレンジ,50600,,,288,208,29.1,102.5
2021,11,20,土,金沢市,1701,輸入キウイ,50800,,,2592,546,276.6,96.3
2021,11,20,土,金沢市,1701,輸入メロン,50850,,,70,355,15.6,100.0
2021,11,20,土,金沢市,1701,他の輸入果実,50900,,,708,736,45.3,123.1
