年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,20,土,福岡市,4002,果実総量,40000,,,327082,334,92.4,138.0
2021,11,20,土,福岡市,4002,国産果実総量,40001,,,170262,380,118.5,112.4
2021,11,20,土,福岡市,4002,国産果実総量,40001,福　岡,040,76955,348,,
2021,11,20,土,福岡市,4002,国産果実総量,40001,佐　賀,041,29940,331,,
2021,11,20,土,福岡市,4002,国産果実総量,40001,熊　本,043,15395,307,,
2021,11,20,土,福岡市,4002,国産果実総量,40001,青　森,002,12381,401,,
2021,11,20,土,福岡市,4002,国産果実総量,40001,愛　媛,038,10223,272,,
2021,11,20,土,福岡市,4002,国産果実総量,40001,長　野,020,8314,653,,
2021,11,20,土,福岡市,4002,国産果実総量,40001,長　崎,042,5651,857,,
2021,11,20,土,福岡市,4002,みかん,40100,,,85367,242,159.0,122.2
2021,11,20,土,福岡市,4002,みかん,40100,福　岡,040,42287,263,,
2021,11,20,土,福岡市,4002,みかん,40100,佐　賀,041,28253,244,,
2021,11,20,土,福岡市,4002,その他雑かん,41999,,,2863,486,222.3,143.8
2021,11,20,土,福岡市,4002,りんご計,42000,,,22534,439,85.3,102.6
2021,11,20,土,福岡市,4002,りんご計,42000,青　森,002,12381,401,,
2021,11,20,土,福岡市,4002,りんご計,42000,長　野,020,7613,495,,
2021,11,20,土,福岡市,4002,ジョナゴルド,42505,,,2340,439,81.5,102.3
2021,11,20,土,福岡市,4002,ジョナゴルド,42505,青　森,002,2340,439,,
2021,11,20,土,福岡市,4002,王林,42515,,,1550,377,53.8,125.2
2021,11,20,土,福岡市,4002,王林,42515,青　森,002,1240,372,,
2021,11,20,土,福岡市,4002,王林,42515,長　野,020,310,396,,
2021,11,20,土,福岡市,4002,ふじ,42804,,,11625,487,71.6,105.9
2021,11,20,土,福岡市,4002,ふじ,42804,長　野,020,7135,496,,
2021,11,20,土,福岡市,4002,ふじ,42804,福　島,007,2540,454,,
2021,11,20,土,福岡市,4002,その他りんご,42999,,,7019,372,159.0,94.2
2021,11,20,土,福岡市,4002,日本なし計,43000,,,535,238,24.8,77.8
2021,11,20,土,福岡市,4002,日本なし計,43000,熊　本,043,370,256,,
2021,11,20,土,福岡市,4002,日本なし計,43000,福　岡,040,165,195,,
2021,11,20,土,福岡市,4002,その他なし,43401,,,535,238,24.8,77.8
2021,11,20,土,福岡市,4002,西洋なし,43499,,,1119,550,28.7,103.2
2021,11,20,土,福岡市,4002,西洋なし,43499,山　形,006,1119,550,,
2021,11,20,土,福岡市,4002,かき計,43500,,,43513,271,88.7,90.6
2021,11,20,土,福岡市,4002,かき計,43500,福　岡,040,30571,283,,
2021,11,20,土,福岡市,4002,かき計,43500,愛　媛,038,7770,210,,
2021,11,20,土,福岡市,4002,甘がき,43700,,,31168,284,87.7,89.3
2021,11,20,土,福岡市,4002,甘がき,43700,福　岡,040,30536,283,,
2021,11,20,土,福岡市,4002,渋がき,43751,,,12345,239,91.5,96.4
2021,11,20,土,福岡市,4002,渋がき,43751,愛　媛,038,7770,210,,
2021,11,20,土,福岡市,4002,渋がき,43751,新　潟,015,2880,395,,
2021,11,20,土,福岡市,4002,ぶどう計,45000,,,815,2252,193.6,113.8
2021,11,20,土,福岡市,4002,ぶどう計,45000,長　野,020,701,2378,,
2021,11,20,土,福岡市,4002,巨峰,45206,,,322,1739,418.2,159.0
2021,11,20,土,福岡市,4002,巨峰,45206,長　野,020,322,1739,,
2021,11,20,土,福岡市,4002,その他ぶどう,45299,,,493,2587,143.3,118.8
2021,11,20,土,福岡市,4002,いちご,46100,,,5693,2584,256.8,94.0
2021,11,20,土,福岡市,4002,いちご,46100,福　岡,040,2290,2775,,
2021,11,20,土,福岡市,4002,いちご,46100,長　崎,042,1475,2374,,
2021,11,20,土,福岡市,4002,いちご,46100,佐　賀,041,1165,2489,,
2021,11,20,土,福岡市,4002,メロン計,47000,,,3931,601,120.2,119.2
2021,11,20,土,福岡市,4002,メロン計,47000,長　崎,042,2246,474,,
2021,11,20,土,福岡市,4002,メロン計,47000,熊　本,043,1231,555,,
2021,11,20,土,福岡市,4002,温室メロン,47200,,,3159,608,218.9,129.9
2021,11,20,土,福岡市,4002,温室メロン,47200,長　崎,042,2154,476,,
2021,11,20,土,福岡市,4002,温室メロン,47200,熊　本,043,551,513,,
2021,11,20,土,福岡市,4002,その他メロン,47299,,,772,572,42.3,107.5
2021,11,20,土,福岡市,4002,すいか,48100,,,2255,241,245.9,330.1
2021,11,20,土,福岡市,4002,すいか,48100,熊　本,043,2255,241,,
2021,11,20,土,福岡市,4002,キウイフルツ,49300,,,1168,375,426.3,85.8
2021,11,20,土,福岡市,4002,キウイフルツ,49300,福　岡,040,574,525,,
2021,11,20,土,福岡市,4002,キウイフルツ,49300,佐　賀,041,522,228,,
2021,11,20,土,福岡市,4002,他の国産果実,49500,,,469,576,300.6,69.1
2021,11,20,土,福岡市,4002,輸入果実計,50000,,,156820,284,74.6,160.5
2021,11,20,土,福岡市,4002,バナナ,50100,,,71178,128,43.9,93.4
2021,11,20,土,福岡市,4002,パイナップル,50300,,,5851,190,30.3,111.8
2021,11,20,土,福岡市,4002,レモン,50400,,,29689,157,2588.4,47.0
2021,11,20,土,福岡市,4002,グレプフルツ,50500,,,3968,176,46.9,129.4
2021,11,20,土,福岡市,4002,オレンジ,50600,,,5100,267,186.3,112.2
2021,11,20,土,福岡市,4002,輸入キウイ,50800,,,31043,651,649.6,116.3
2021,11,20,土,福岡市,4002,輸入メロン,50850,,,170,305,75.6,141.2
2021,11,20,土,福岡市,4002,他の輸入果実,50900,,,9821,739,85.2,126.3
