年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,24,水,京都市,2601,野菜総量,30000,,,889232,198,93.1,93.0
2021,11,24,水,京都市,2601,野菜総量,30000,北海道,001,218696,142,,
2021,11,24,水,京都市,2601,野菜総量,30000,茨　城,008,117945,85,,
2021,11,24,水,京都市,2601,野菜総量,30000,徳　島,036,56428,213,,
2021,11,24,水,京都市,2601,野菜総量,30000,長　野,020,53062,223,,
2021,11,24,水,京都市,2601,野菜総量,30000,滋　賀,025,47784,259,,
2021,11,24,水,京都市,2601,野菜総量,30000,千　葉,012,44814,43,,
2021,11,24,水,京都市,2601,野菜総量,30000,愛　知,023,42563,183,,
2021,11,24,水,京都市,2601,だいこん,30100,,,130541,48,86.4,94.1
2021,11,24,水,京都市,2601,だいこん,30100,千　葉,012,44410,37,,
2021,11,24,水,京都市,2601,だいこん,30100,徳　島,036,26130,47,,
2021,11,24,水,京都市,2601,だいこん,30100,青　森,002,14700,64,,
2021,11,24,水,京都市,2601,だいこん,30100,長　崎,042,11622,56,,
2021,11,24,水,京都市,2601,だいこん,30100,和歌山,030,10681,74,,
2021,11,24,水,京都市,2601,かぶ,30200,,,69644,81,321.8,96.4
2021,11,24,水,京都市,2601,かぶ,30200,北海道,001,50460,76,,
2021,11,24,水,京都市,2601,かぶ,30200,京　都,026,17159,87,,
2021,11,24,水,京都市,2601,にんじん,30300,,,59839,102,108.5,103.0
2021,11,24,水,京都市,2601,にんじん,30300,北海道,001,32270,88,,
2021,11,24,水,京都市,2601,にんじん,30300,熊　本,043,10420,109,,
2021,11,24,水,京都市,2601,にんじん,30300,長　崎,042,8072,102,,
2021,11,24,水,京都市,2601,ごぼう,30400,,,2517,165,30.4,92.7
2021,11,24,水,京都市,2601,ごぼう,30400,北海道,001,1720,78,,
2021,11,24,水,京都市,2601,ごぼう,30400,青　森,002,500,171,,
2021,11,24,水,京都市,2601,れんこん,30600,,,2119,624,57.9,107.0
2021,11,24,水,京都市,2601,れんこん,30600,徳　島,036,1144,701,,
2021,11,24,水,京都市,2601,れんこん,30600,佐　賀,041,480,447,,
2021,11,24,水,京都市,2601,れんこん,30600,茨　城,008,280,525,,
2021,11,24,水,京都市,2601,はくさい,31100,,,131929,54,111.1,94.7
2021,11,24,水,京都市,2601,はくさい,31100,茨　城,008,73767,51,,
2021,11,24,水,京都市,2601,はくさい,31100,長　野,020,17970,38,,
2021,11,24,水,京都市,2601,はくさい,31100,滋　賀,025,12545,74,,
2021,11,24,水,京都市,2601,はくさい,31100,鹿児島,046,12000,60,,
2021,11,24,水,京都市,2601,みずな,31300,,,4772,403,106.4,91.4
2021,11,24,水,京都市,2601,みずな,31300,滋　賀,025,2634,402,,
2021,11,24,水,京都市,2601,みずな,31300,京　都,026,1452,395,,
2021,11,24,水,京都市,2601,こまつな,31500,,,5672,290,84.7,100.7
2021,11,24,水,京都市,2601,こまつな,31500,京　都,026,1963,240,,
2021,11,24,水,京都市,2601,こまつな,31500,滋　賀,025,1779,364,,
2021,11,24,水,京都市,2601,こまつな,31500,福　岡,040,600,257,,
2021,11,24,水,京都市,2601,こまつな,31500,茨　城,008,480,264,,
2021,11,24,水,京都市,2601,その他の菜類,31550,,,1129,403,83.0,101.5
2021,11,24,水,京都市,2601,ちんげんさい,31560,,,2952,254,129.4,87.9
2021,11,24,水,京都市,2601,ちんげんさい,31560,静　岡,022,2104,258,,
2021,11,24,水,京都市,2601,ちんげんさい,31560,愛　知,023,630,204,,
