年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,29,月,金沢市,1701,野菜総量,30000,,,135988,269,92.5,106.3
2021,11,29,月,金沢市,1701,野菜総量,30000,石　川,017,41639,225,,
2021,11,29,月,金沢市,1701,野菜総量,30000,愛　知,023,17069,402,,
2021,11,29,月,金沢市,1701,野菜総量,30000,北海道,001,14530,231,,
2021,11,29,月,金沢市,1701,野菜総量,30000,茨　城,008,14514,87,,
2021,11,29,月,金沢市,1701,野菜総量,30000,高　知,039,13939,422,,
2021,11,29,月,金沢市,1701,野菜総量,30000,千　葉,012,9437,57,,
2021,11,29,月,金沢市,1701,野菜総量,30000,群　馬,010,4338,319,,
2021,11,29,月,金沢市,1701,だいこん,30100,,,17081,50,101.0,102.0
2021,11,29,月,金沢市,1701,だいこん,30100,千　葉,012,9060,49,,
2021,11,29,月,金沢市,1701,だいこん,30100,石　川,017,7981,46,,
2021,11,29,月,金沢市,1701,かぶ,30200,,,3368,106,70.0,98.1
2021,11,29,月,金沢市,1701,かぶ,30200,石　川,017,3368,106,,
2021,11,29,月,金沢市,1701,にんじん,30300,,,7303,108,65.2,110.2
2021,11,29,月,金沢市,1701,にんじん,30300,石　川,017,4723,96,,
2021,11,29,月,金沢市,1701,にんじん,30300,岐　阜,021,2580,130,,
2021,11,29,月,金沢市,1701,ごぼう,30400,,,1460,171,173.0,87.2
2021,11,29,月,金沢市,1701,ごぼう,30400,青　森,002,1460,171,,
2021,11,29,月,金沢市,1701,れんこん,30600,,,3087,622,102.3,104.7
2021,11,29,月,金沢市,1701,れんこん,30600,石　川,017,3037,625,,
2021,11,29,月,金沢市,1701,はくさい,31100,,,14231,51,120.4,91.1
2021,11,29,月,金沢市,1701,はくさい,31100,茨　城,008,8250,53,,
2021,11,29,月,金沢市,1701,はくさい,31100,石　川,017,5981,49,,
2021,11,29,月,金沢市,1701,みずな,31300,,,345,391,73.6,100.3
2021,11,29,月,金沢市,1701,みずな,31300,茨　城,008,295,336,,
2021,11,29,月,金沢市,1701,こまつな,31500,,,1499,275,63.2,107.4
2021,11,29,月,金沢市,1701,こまつな,31500,石　川,017,774,323,,
2021,11,29,月,金沢市,1701,こまつな,31500,茨　城,008,725,223,,
