年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,2,木,高松市,3701,野菜総量,30000,,,232093,231,174.8,97.1
2021,12,2,木,高松市,3701,野菜総量,30000,北海道,001,87404,230,,
2021,12,2,木,高松市,3701,野菜総量,30000,香　川,037,47079,224,,
2021,12,2,木,高松市,3701,野菜総量,30000,徳　島,036,12936,224,,
2021,12,2,木,高松市,3701,野菜総量,30000,千　葉,012,12665,110,,
2021,12,2,木,高松市,3701,野菜総量,30000,高　知,039,9466,486,,
2021,12,2,木,高松市,3701,野菜総量,30000,群　馬,010,9163,144,,
2021,12,2,木,高松市,3701,野菜総量,30000,長　崎,042,8196,124,,
2021,12,2,木,高松市,3701,だいこん,30100,,,15182,52,110.7,106.1
2021,12,2,木,高松市,3701,だいこん,30100,千　葉,012,6135,37,,
2021,12,2,木,高松市,3701,だいこん,30100,群　馬,010,4120,69,,
2021,12,2,木,高松市,3701,だいこん,30100,愛　媛,038,2910,69,,
2021,12,2,木,高松市,3701,かぶ,30200,,,883,234,56.8,144.4
2021,12,2,木,高松市,3701,かぶ,30200,香　川,037,823,234,,
2021,12,2,木,高松市,3701,にんじん,30300,,,16988,162,305.4,131.7
2021,12,2,木,高松市,3701,にんじん,30300,長　崎,042,8190,123,,
2021,12,2,木,高松市,3701,にんじん,30300,香　川,037,4618,214,,
2021,12,2,木,高松市,3701,にんじん,30300,千　葉,012,3880,179,,
2021,12,2,木,高松市,3701,ごぼう,30400,,,1769,215,136.1,108.6
2021,12,2,木,高松市,3701,ごぼう,30400,北海道,001,574,193,,
2021,12,2,木,高松市,3701,ごぼう,30400,青　森,002,490,315,,
2021,12,2,木,高松市,3701,ごぼう,30400,茨　城,008,40,864,,
2021,12,2,木,高松市,3701,ごぼう,30400,岡　山,033,15,864,,
2021,12,2,木,高松市,3701,れんこん,30600,,,1830,289,315.0,90.0
2021,12,2,木,高松市,3701,れんこん,30600,徳　島,036,1040,358,,
2021,12,2,木,高松市,3701,れんこん,30600,岡　山,033,785,189,,
2021,12,2,木,高松市,3701,はくさい,31100,,,9330,44,77.7,133.3
2021,12,2,木,高松市,3701,はくさい,31100,群　馬,010,3300,48,,
2021,12,2,木,高松市,3701,はくさい,31100,茨　城,008,3210,38,,
2021,12,2,木,高松市,3701,はくさい,31100,徳　島,036,2190,46,,
2021,12,2,木,高松市,3701,みずな,31300,,,311,525,71.8,109.4
2021,12,2,木,高松市,3701,みずな,31300,香　川,037,171,535,,
2021,12,2,木,高松市,3701,みずな,31300,福　岡,040,70,559,,
2021,12,2,木,高松市,3701,みずな,31300,茨　城,008,70,467,,
2021,12,2,木,高松市,3701,こまつな,31500,,,1302,335,79.2,94.1
2021,12,2,木,高松市,3701,こまつな,31500,香　川,037,659,382,,
2021,12,2,木,高松市,3701,こまつな,31500,茨　城,008,510,264,,
2021,12,2,木,高松市,3701,その他の菜類,31550,,,404,325,95.7,122.6
2021,12,2,木,高松市,3701,ちんげんさい,31560,,,364,387,87.1,113.2
2021,12,2,木,高松市,3701,ちんげんさい,31560,香　川,037,216,470,,
2021,12,2,木,高松市,3701,ちんげんさい,31560,徳　島,036,82,302,,
2021,12,2,木,高松市,3701,キャベツ,31700,,,17420,52,149.7,108.3
2021,12,2,木,高松市,3701,キャベツ,31700,香　川,037,12950,53,,
2021,12,2,木,高松市,3701,キャベツ,31700,広　島,034,2000,49,,
2021,12,2,木,高松市,3701,ほうれんそう,31800,,,4323,466,184.7,116.2
2021,12,2,木,高松市,3701,ほうれんそう,31800,群　馬,010,1624,495,,
2021,12,2,木,高松市,3701,ほうれんそう,31800,香　川,037,1100,411,,
2021,12,2,木,高松市,3701,ほうれんそう,31800,茨　城,008,1010,454,,
2021,12,2,木,高松市,3701,ねぎ,31900,,,7102,419,130.6,101.0
2021,12,2,木,高松市,3701,ねぎ,31900,鳥　取,031,4743,324,,
2021,12,2,木,高松市,3701,ねぎ,31900,香　川,037,1068,446,,
2021,12,2,木,高松市,3701,ふき,32300,,,100,192,113.6,60.6
2021,12,2,木,高松市,3701,ふき,32300,香　川,037,60,194,,
2021,12,2,木,高松市,3701,ふき,32300,愛　知,023,40,189,,
2021,12,2,木,高松市,3701,みつば,32500,,,138,679,92.0,90.9
2021,12,2,木,高松市,3701,みつば,32500,高　知,039,138,679,,
2021,12,2,木,高松市,3701,しゅんぎく,32600,,,405,303,136.4,96.8
2021,12,2,木,高松市,3701,しゅんぎく,32600,香　川,037,393,298,,
2021,12,2,木,高松市,3701,にら,32800,,,985,781,103.7,100.5
2021,12,2,木,高松市,3701,にら,32800,高　知,039,985,781,,
2021,12,2,木,高松市,3701,セルリー,32900,,,376,312,85.5,104.0
2021,12,2,木,高松市,3701,セルリー,32900,長　野,020,366,315,,
2021,12,2,木,高松市,3701,アスパラガス,33100,,,117,1188,198.3,106.8
2021,12,2,木,高松市,3701,　　うち輸入,33101,,,117,1188,198.3,106.8
2021,12,2,木,高松市,3701,カリフラワー,33200,,,170,274,60.7,110.5
2021,12,2,木,高松市,3701,カリフラワー,33200,香　川,037,108,260,,
2021,12,2,木,高松市,3701,カリフラワー,33200,徳　島,036,60,288,,
2021,12,2,木,高松市,3701,ブロッコリー,33300,,,2521,324,105.4,117.8
2021,12,2,木,高松市,3701,ブロッコリー,33300,香　川,037,2521,324,,
2021,12,2,木,高松市,3701,レタス,33400,,,11529,110,120.5,123.6
2021,12,2,木,高松市,3701,レタス,33400,香　川,037,10908,114,,
2021,12,2,木,高松市,3701,パセリ,33600,,,57,1359,101.8,86.8
2021,12,2,木,高松市,3701,パセリ,33600,香　川,037,57,1317,,
2021,12,2,木,高松市,3701,きゅうり,34100,,,6088,231,130.9,97.1
2021,12,2,木,高松市,3701,きゅうり,34100,高　知,039,2970,270,,
2021,12,2,木,高松市,3701,きゅうり,34100,香　川,037,2423,190,,
2021,12,2,木,高松市,3701,かぼちゃ,34200,,,3904,179,329.2,88.2
2021,12,2,木,高松市,3701,かぼちゃ,34200,高　知,039,44,438,,
2021,12,2,木,高松市,3701,かぼちゃ,34200,宮　崎,045,37,462,,
2021,12,2,木,高松市,3701,かぼちゃ,34200,香　川,037,3,477,,
2021,12,2,木,高松市,3701,　　うち輸入,34201,,,3820,173,374.5,95.6
2021,12,2,木,高松市,3701,なす,34300,,,2918,402,86.1,99.0
2021,12,2,木,高松市,3701,なす,34300,高　知,039,2287,401,,
2021,12,2,木,高松市,3701,なす,34300,香　川,037,351,395,,
2021,12,2,木,高松市,3701,トマト,34400,,,2616,453,74.4,98.9
2021,12,2,木,高松市,3701,トマト,34400,香　川,037,1116,399,,
2021,12,2,木,高松市,3701,トマト,34400,高　知,039,698,402,,
2021,12,2,木,高松市,3701,トマト,34400,熊　本,043,596,589,,
2021,12,2,木,高松市,3701,ミニトマト,34450,,,2187,609,87.9,99.7
2021,12,2,木,高松市,3701,ミニトマト,34450,香　川,037,1991,597,,
2021,12,2,木,高松市,3701,ピーマン,34500,,,1445,360,50.6,128.6
2021,12,2,木,高松市,3701,ピーマン,34500,高　知,039,685,324,,
2021,12,2,木,高松市,3701,ピーマン,34500,宮　崎,045,390,374,,
2021,12,2,木,高松市,3701,ししとう,34600,,,97,1485,99.0,117.2
2021,12,2,木,高松市,3701,ししとう,34600,高　知,039,97,1472,,
2021,12,2,木,高松市,3701,さやいんげん,35100,,,130,1101,97.7,96.3
2021,12,2,木,高松市,3701,さやいんげん,35100,高　知,039,110,1173,,
2021,12,2,木,高松市,3701,さやえんどう,35200,,,92,1679,176.9,126.3
2021,12,2,木,高松市,3701,さやえんどう,35200,鹿児島,046,60,1134,,
2021,12,2,木,高松市,3701,さやえんどう,35200,徳　島,036,32,2700,,
2021,12,2,木,高松市,3701,実えんどう,35300,,,22,1188,31.4,122.2
2021,12,2,木,高松市,3701,実えんどう,35300,鹿児島,046,22,1188,,
2021,12,2,木,高松市,3701,かんしょ,36100,,,10443,255,171.2,125.0
2021,12,2,木,高松市,3701,かんしょ,36100,徳　島,036,5315,248,,
2021,12,2,木,高松市,3701,かんしょ,36100,千　葉,012,2650,179,,
2021,12,2,木,高松市,3701,かんしょ,36100,大　分,044,1125,571,,
2021,12,2,木,高松市,3701,ばれいしょ,36200,,,38000,232,2209.3,92.8
2021,12,2,木,高松市,3701,ばれいしょ,36200,北海道,001,38000,232,,
2021,12,2,木,高松市,3701,さといも,36300,,,1026,292,101.9,99.3
2021,12,2,木,高松市,3701,さといも,36300,香　川,037,682,279,,
2021,12,2,木,高松市,3701,さといも,36300,鹿児島,046,136,462,,
2021,12,2,木,高松市,3701,さといも,36300,宮　崎,045,100,205,,
2021,12,2,木,高松市,3701,やまのいも,36500,,,6900,338,285.1,108.7
2021,12,2,木,高松市,3701,やまのいも,36500,北海道,001,6900,338,,
2021,12,2,木,高松市,3701,たまねぎ,36610,,,48425,191,247.3,96.5
2021,12,2,木,高松市,3701,たまねぎ,36610,北海道,001,41260,199,,
2021,12,2,木,高松市,3701,　　うち輸入,36620,,,6165,121,330.6,93.8
2021,12,2,木,高松市,3701,にんにく,36700,,,157,566,88.7,149.3
2021,12,2,木,高松市,3701,にんにく,36700,青　森,002,10,2160,,
2021,12,2,木,高松市,3701,　　うち輸入,36701,,,147,458,83.1,120.8
2021,12,2,木,高松市,3701,しょうが,37200,,,390,679,66.2,101.6
2021,12,2,木,高松市,3701,しょうが,37200,高　知,039,283,766,,
2021,12,2,木,高松市,3701,しょうが,37200,香　川,037,1,983,,
2021,12,2,木,高松市,3701,　　うち輸入,37201,,,106,445,43.6,104.7
2021,12,2,木,高松市,3701,生しいたけ,38100,,,1159,938,142.2,100.0
2021,12,2,木,高松市,3701,生しいたけ,38100,香　川,037,725,880,,
2021,12,2,木,高松市,3701,生しいたけ,38100,徳　島,036,204,1030,,
2021,12,2,木,高松市,3701,　　うち輸入,38101,,,30,662,300.0,102.2
2021,12,2,木,高松市,3701,なめこ,38300,,,187,498,126.4,104.2
2021,12,2,木,高松市,3701,なめこ,38300,長　野,020,179,497,,
2021,12,2,木,高松市,3701,えのきだけ,38400,,,4841,233,206.7,80.1
