年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,4,土,仙台市,0401,野菜総量,30000,,,440160,182,118.0,96.3
2021,12,4,土,仙台市,0401,野菜総量,30000,千　葉,012,107817,72,,
2021,12,4,土,仙台市,0401,野菜総量,30000,宮　城,004,86823,234,,
2021,12,4,土,仙台市,0401,野菜総量,30000,茨　城,008,60297,126,,
2021,12,4,土,仙台市,0401,野菜総量,30000,北海道,001,57299,209,,
2021,12,4,土,仙台市,0401,野菜総量,30000,神奈川,014,25002,58,,
2021,12,4,土,仙台市,0401,野菜総量,30000,愛　知,023,19793,134,,
2021,12,4,土,仙台市,0401,野菜総量,30000,青　森,002,15654,127,,
2021,12,4,土,仙台市,0401,だいこん,30100,,,63695,50,194.4,111.1
2021,12,4,土,仙台市,0401,だいこん,30100,千　葉,012,45850,48,,
2021,12,4,土,仙台市,0401,だいこん,30100,神奈川,014,14850,55,,
2021,12,4,土,仙台市,0401,かぶ,30200,,,2882,130,113.9,107.4
2021,12,4,土,仙台市,0401,かぶ,30200,千　葉,012,2549,127,,
2021,12,4,土,仙台市,0401,にんじん,30300,,,36840,76,74.7,105.6
2021,12,4,土,仙台市,0401,にんじん,30300,千　葉,012,27130,79,,
2021,12,4,土,仙台市,0401,にんじん,30300,茨　城,008,6410,67,,
2021,12,4,土,仙台市,0401,ごぼう,30400,,,10400,113,548.5,67.7
2021,12,4,土,仙台市,0401,ごぼう,30400,青　森,002,10392,112,,
2021,12,4,土,仙台市,0401,れんこん,30600,,,3644,395,218.1,94.0
2021,12,4,土,仙台市,0401,れんこん,30600,茨　城,008,3644,395,,
2021,12,4,土,仙台市,0401,はくさい,31100,,,45853,39,211.1,97.5
2021,12,4,土,仙台市,0401,はくさい,31100,茨　城,008,28398,42,,
2021,12,4,土,仙台市,0401,はくさい,31100,宮　城,004,17455,35,,
2021,12,4,土,仙台市,0401,みずな,31300,,,1079,436,111.6,100.2
2021,12,4,土,仙台市,0401,みずな,31300,宮　城,004,549,462,,
2021,12,4,土,仙台市,0401,みずな,31300,茨　城,008,522,411,,
2021,12,4,土,仙台市,0401,こまつな,31500,,,2539,273,86.8,102.2
2021,12,4,土,仙台市,0401,こまつな,31500,宮　城,004,1417,293,,
2021,12,4,土,仙台市,0401,こまつな,31500,茨　城,008,947,244,,
2021,12,4,土,仙台市,0401,その他の菜類,31550,,,212,172,223.2,54.4
2021,12,4,土,仙台市,0401,ちんげんさい,31560,,,1795,183,106.7,98.4
2021,12,4,土,仙台市,0401,ちんげんさい,31560,宮　城,004,1554,154,,
2021,12,4,土,仙台市,0401,キャベツ,31700,,,70493,53,118.1,86.9
2021,12,4,土,仙台市,0401,キャベツ,31700,千　葉,012,27490,56,,
2021,12,4,土,仙台市,0401,キャベツ,31700,愛　知,023,17850,48,,
2021,12,4,土,仙台市,0401,キャベツ,31700,宮　城,004,10683,42,,
2021,12,4,土,仙台市,0401,キャベツ,31700,神奈川,014,10150,62,,
2021,12,4,土,仙台市,0401,ほうれんそう,31800,,,5178,468,118.8,100.9
2021,12,4,土,仙台市,0401,ほうれんそう,31800,宮　城,004,3800,453,,
2021,12,4,土,仙台市,0401,ほうれんそう,31800,群　馬,010,620,527,,
2021,12,4,土,仙台市,0401,ねぎ,31900,,,17201,234,139.7,90.0
2021,12,4,土,仙台市,0401,ねぎ,31900,宮　城,004,16718,233,,
2021,12,4,土,仙台市,0401,ふき,32300,,,76,659,1266.7,110.9
2021,12,4,土,仙台市,0401,ふき,32300,愛　知,023,76,659,,
2021,12,4,土,仙台市,0401,みつば,32500,,,418,707,88.0,116.1
2021,12,4,土,仙台市,0401,みつば,32500,茨　城,008,265,472,,
2021,12,4,土,仙台市,0401,みつば,32500,宮　城,004,127,1043,,
2021,12,4,土,仙台市,0401,しゅんぎく,32600,,,1687,554,119.8,98.4
2021,12,4,土,仙台市,0401,しゅんぎく,32600,宮　城,004,1636,561,,
2021,12,4,土,仙台市,0401,にら,32800,,,1579,845,98.4,102.3
2021,12,4,土,仙台市,0401,にら,32800,高　知,039,700,908,,
2021,12,4,土,仙台市,0401,にら,32800,福　島,007,530,779,,
2021,12,4,土,仙台市,0401,にら,32800,茨　城,008,140,829,,
2021,12,4,土,仙台市,0401,セルリー,32900,,,1606,193,146.0,84.6
2021,12,4,土,仙台市,0401,セルリー,32900,愛　知,023,1010,141,,
2021,12,4,土,仙台市,0401,セルリー,32900,山　形,006,550,286,,
2021,12,4,土,仙台市,0401,アスパラガス,33100,,,626,836,105.7,106.1
2021,12,4,土,仙台市,0401,アスパラガス,33100,青　森,002,156,747,,
2021,12,4,土,仙台市,0401,　　うち輸入,33101,,,470,866,79.4,109.9
2021,12,4,土,仙台市,0401,カリフラワー,33200,,,215,301,55.6,110.3
2021,12,4,土,仙台市,0401,カリフラワー,33200,宮　城,004,157,250,,
2021,12,4,土,仙台市,0401,カリフラワー,33200,茨　城,008,58,439,,
2021,12,4,土,仙台市,0401,ブロッコリー,33300,,,5734,338,168.4,93.1
2021,12,4,土,仙台市,0401,ブロッコリー,33300,香　川,037,4488,355,,
2021,12,4,土,仙台市,0401,ブロッコリー,33300,宮　城,004,1108,266,,
2021,12,4,土,仙台市,0401,レタス,33400,,,15375,150,111.0,102.7
2021,12,4,土,仙台市,0401,レタス,33400,茨　城,008,8232,133,,
2021,12,4,土,仙台市,0401,レタス,33400,香　川,037,4140,144,,
2021,12,4,土,仙台市,0401,パセリ,33600,,,121,2119,96.0,100.5
2021,12,4,土,仙台市,0401,パセリ,33600,千　葉,012,65,2158,,
