年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,9,木,野菜総量,30000,,,14676109,215,109.2,106.4
2021,12,9,木,野菜総量,30000,北海道,001,2767737,181,,
2021,12,9,木,野菜総量,30000,茨　城,008,1982539,123,,
2021,12,9,木,野菜総量,30000,千　葉,012,1453410,129,,
2021,12,9,木,野菜総量,30000,愛　知,023,1012222,184,,
2021,12,9,木,野菜総量,30000,熊　本,043,761876,365,,
2021,12,9,木,野菜総量,30000,長　崎,042,712877,167,,
2021,12,9,木,野菜総量,30000,宮　崎,045,476362,295,,
2021,12,9,木,だいこん,30100,,,1426521,52,107.5,100.0
2021,12,9,木,だいこん,30100,千　葉,012,427930,46,,
2021,12,9,木,だいこん,30100,神奈川,014,383428,51,,
2021,12,9,木,だいこん,30100,長　崎,042,104511,53,,
2021,12,9,木,だいこん,30100,徳　島,036,101005,58,,
2021,12,9,木,だいこん,30100,鹿児島,046,84874,51,,
2021,12,9,木,かぶ,30200,,,161299,110,106.4,102.8
2021,12,9,木,かぶ,30200,千　葉,012,69580,120,,
2021,12,9,木,かぶ,30200,福　岡,040,22509,88,,
2021,12,9,木,かぶ,30200,京　都,026,22269,94,,
2021,12,9,木,かぶ,30200,埼　玉,011,17005,82,,
2021,12,9,木,にんじん,30300,,,986717,90,107.1,100.0
2021,12,9,木,にんじん,30300,千　葉,012,477304,87,,
2021,12,9,木,にんじん,30300,長　崎,042,204846,84,,
2021,12,9,木,にんじん,30300,愛　知,023,78783,95,,
2021,12,9,木,にんじん,30300,埼　玉,011,48510,75,,
2021,12,9,木,ごぼう,30400,,,211683,221,196.3,84.0
2021,12,9,木,ごぼう,30400,青　森,002,135384,188,,
2021,12,9,木,ごぼう,30400,北海道,001,42495,143,,
2021,12,9,木,たけのこ,30500,,,768,1903,92.0,91.9
2021,12,9,木,たけのこ,30500,鹿児島,046,435,2134,,
2021,12,9,木,たけのこ,30500,熊　本,043,212,1857,,
2021,12,9,木,れんこん,30600,,,76670,442,95.5,100.5
2021,12,9,木,れんこん,30600,茨　城,008,35749,440,,
2021,12,9,木,れんこん,30600,佐　賀,041,18107,330,,
2021,12,9,木,れんこん,30600,徳　島,036,11267,581,,
2021,12,9,木,はくさい,31100,,,1758885,43,103.5,102.4
2021,12,9,木,はくさい,31100,茨　城,008,1115490,41,,
2021,12,9,木,はくさい,31100,大　分,044,207388,44,,
2021,12,9,木,はくさい,31100,鹿児島,046,120171,45,,
2021,12,9,木,みずな,31300,,,51284,381,115.3,96.5
2021,12,9,木,みずな,31300,茨　城,008,29815,364,,
2021,12,9,木,みずな,31300,福　岡,040,6907,413,,
2021,12,9,木,みずな,31300,滋　賀,025,4092,414,,
2021,12,9,木,みずな,31300,京　都,026,2018,499,,
2021,12,9,木,こまつな,31500,,,105310,285,117.2,100.7
2021,12,9,木,こまつな,31500,茨　城,008,38351,279,,
2021,12,9,木,こまつな,31500,福　岡,040,26030,281,,
2021,12,9,木,こまつな,31500,埼　玉,011,9280,255,,
2021,12,9,木,こまつな,31500,広　島,034,2730,351,,
2021,12,9,木,こまつな,31500,群　馬,010,2711,279,,
2021,12,9,木,その他の菜類,31550,,,7361,327,132.7,110.8
2021,12,9,木,ちんげんさい,31560,,,38746,258,107.5,95.2
2021,12,9,木,ちんげんさい,31560,静　岡,022,13108,271,,
2021,12,9,木,ちんげんさい,31560,茨　城,008,11575,254,,
2021,12,9,木,ちんげんさい,31560,愛　知,023,3091,222,,
2021,12,9,木,ちんげんさい,31560,福　岡,040,2090,300,,
2021,12,9,木,ちんげんさい,31560,宮　城,004,1652,167,,
2021,12,9,木,キャベツ,31700,,,1437781,60,87.8,107.1
2021,12,9,木,キャベツ,31700,愛　知,023,642328,58,,
2021,12,9,木,キャベツ,31700,千　葉,012,167928,59,,
2021,12,9,木,キャベツ,31700,茨　城,008,144127,57,,
2021,12,9,木,キャベツ,31700,鹿児島,046,60227,73,,
2021,12,9,木,キャベツ,31700,北海道,001,53105,51,,
2021,12,9,木,ほうれんそう,31800,,,174326,484,113.4,100.6
2021,12,9,木,ほうれんそう,31800,茨　城,008,46562,497,,
2021,12,9,木,ほうれんそう,31800,群　馬,010,45098,463,,
2021,12,9,木,ほうれんそう,31800,福　岡,040,22402,488,,
2021,12,9,木,ほうれんそう,31800,埼　玉,011,10225,467,,
2021,12,9,木,ほうれんそう,31800,徳　島,036,9885,481,,
2021,12,9,木,ねぎ,31900,,,530169,318,114.7,100.3
2021,12,9,木,ねぎ,31900,茨　城,008,58054,222,,
2021,12,9,木,ねぎ,31900,千　葉,012,56187,269,,
2021,12,9,木,ねぎ,31900,群　馬,010,45670,286,,
2021,12,9,木,ねぎ,31900,大　分,044,44067,440,,
2021,12,9,木,ねぎ,31900,埼　玉,011,43139,314,,
2021,12,9,木,ふき,32300,,,4784,293,76.1,103.5
2021,12,9,木,ふき,32300,愛　知,023,3923,274,,
2021,12,9,木,うど,32400,,,20,1647,250.0,51.3
2021,12,9,木,うど,32400,栃　木,009,12,1233,,
2021,12,9,木,うど,32400,茨　城,008,8,2268,,
2021,12,9,木,みつば,32500,,,11678,600,90.9,106.4
2021,12,9,木,みつば,32500,愛　知,023,2419,541,,
2021,12,9,木,みつば,32500,千　葉,012,1971,416,,
2021,12,9,木,みつば,32500,大　分,044,1422,552,,
2021,12,9,木,みつば,32500,茨　城,008,1365,869,,
2021,12,9,木,みつば,32500,三　重,024,1187,629,,
2021,12,9,木,しゅんぎく,32600,,,31735,532,104.8,96.9
2021,12,9,木,しゅんぎく,32600,福　岡,040,5344,590,,
2021,12,9,木,しゅんぎく,32600,千　葉,012,4497,554,,
2021,12,9,木,しゅんぎく,32600,大　阪,027,2909,430,,
2021,12,9,木,しゅんぎく,32600,茨　城,008,2739,447,,
2021,12,9,木,しゅんぎく,32600,栃　木,009,2650,576,,
2021,12,9,木,にら,32800,,,69119,857,118.6,102.5
2021,12,9,木,にら,32800,高　知,039,31423,902,,
2021,12,9,木,にら,32800,栃　木,009,10846,913,,
2021,12,9,木,にら,32800,宮　崎,045,6347,756,,
2021,12,9,木,にら,32800,大　分,044,5420,695,,
2021,12,9,木,にら,32800,茨　城,008,4812,823,,
2021,12,9,木,セルリー,32900,,,43425,196,74.9,107.7
2021,12,9,木,セルリー,32900,静　岡,022,19467,190,,
2021,12,9,木,セルリー,32900,福　岡,040,16613,195,,
2021,12,9,木,アスパラガス,33100,,,12436,1003,103.6,104.9
2021,12,9,木,アスパラガス,33100,岩　手,003,521,2441,,
2021,12,9,木,アスパラガス,33100,北海道,001,116,2607,,
2021,12,9,木,アスパラガス,33100,秋　田,005,35,2025,,
2021,12,9,木,アスパラガス,33100,新　潟,015,20,2168,,
2021,12,9,木,　　うち輸入,33101,,,11744,919,100.7,101.2
2021,12,9,木,カリフラワー,33200,,,25845,288,105.5,104.3
2021,12,9,木,カリフラワー,33200,徳　島,036,5315,362,,
2021,12,9,木,カリフラワー,33200,熊　本,043,4647,250,,
2021,12,9,木,カリフラワー,33200,埼　玉,011,4566,322,,
2021,12,9,木,カリフラワー,33200,愛　知,023,2115,272,,
2021,12,9,木,カリフラワー,33200,神奈川,014,1812,256,,
2021,12,9,木,ブロッコリー,33300,,,309506,346,126.9,102.4
2021,12,9,木,ブロッコリー,33300,香　川,037,51463,421,,
2021,12,9,木,ブロッコリー,33300,熊　本,043,47453,367,,
2021,12,9,木,ブロッコリー,33300,鳥　取,031,41406,344,,
2021,12,9,木,ブロッコリー,33300,愛　知,023,36744,269,,
2021,12,9,木,ブロッコリー,33300,長　崎,042,32665,337,,
2021,12,9,木,　　うち輸入,33301,,,2520,388,103.7,100.3
2021,12,9,木,レタス,33400,,,669452,144,95.9,102.9
2021,12,9,木,レタス,33400,兵　庫,028,130081,140,,
2021,12,9,木,レタス,33400,長　崎,042,112969,118,,
2021,12,9,木,レタス,33400,静　岡,022,97948,139,,
2021,12,9,木,レタス,33400,茨　城,008,96030,139,,
2021,12,9,木,レタス,33400,香　川,037,57231,147,,
2021,12,9,木,パセリ,33600,,,3609,1548,94.1,99.7
2021,12,9,木,パセリ,33600,千　葉,012,1132,1449,,
2021,12,9,木,パセリ,33600,静　岡,022,614,1412,,
2021,12,9,木,パセリ,33600,愛　知,023,460,1669,,
