年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,9,木,横浜市,1401,野菜総量,30000,,,1148427,222,117.5,101.4
2021,12,9,木,横浜市,1401,野菜総量,30000,茨　城,008,217615,123,,
2021,12,9,木,横浜市,1401,野菜総量,30000,千　葉,012,184343,154,,
2021,12,9,木,横浜市,1401,野菜総量,30000,神奈川,014,115220,74,,
2021,12,9,木,横浜市,1401,野菜総量,30000,北海道,001,91752,214,,
2021,12,9,木,横浜市,1401,野菜総量,30000,熊　本,043,68307,403,,
2021,12,9,木,横浜市,1401,野菜総量,30000,愛　知,023,61317,224,,
2021,12,9,木,横浜市,1401,野菜総量,30000,高　知,039,43739,459,,
2021,12,9,木,横浜市,1401,だいこん,30100,,,117903,54,116.5,101.9
2021,12,9,木,横浜市,1401,だいこん,30100,神奈川,014,75065,46,,
2021,12,9,木,横浜市,1401,だいこん,30100,千　葉,012,34120,44,,
2021,12,9,木,横浜市,1401,かぶ,30200,,,25199,106,116.0,103.9
2021,12,9,木,横浜市,1401,かぶ,30200,埼　玉,011,9173,76,,
2021,12,9,木,横浜市,1401,かぶ,30200,千　葉,012,8623,127,,
2021,12,9,木,横浜市,1401,かぶ,30200,神奈川,014,6946,113,,
2021,12,9,木,横浜市,1401,にんじん,30300,,,80009,87,106.2,101.2
2021,12,9,木,横浜市,1401,にんじん,30300,千　葉,012,70010,86,,
2021,12,9,木,横浜市,1401,ごぼう,30400,,,7202,296,203.3,70.8
2021,12,9,木,横浜市,1401,ごぼう,30400,青　森,002,6892,288,,
2021,12,9,木,横浜市,1401,れんこん,30600,,,3185,440,53.0,105.3
2021,12,9,木,横浜市,1401,れんこん,30600,茨　城,008,2833,440,,
2021,12,9,木,横浜市,1401,はくさい,31100,,,139337,46,132.2,112.2
2021,12,9,木,横浜市,1401,はくさい,31100,茨　城,008,131807,46,,
2021,12,9,木,横浜市,1401,みずな,31300,,,7105,358,158.7,96.2
2021,12,9,木,横浜市,1401,みずな,31300,茨　城,008,5749,357,,
2021,12,9,木,横浜市,1401,こまつな,31500,,,10389,258,101.7,107.9
2021,12,9,木,横浜市,1401,こまつな,31500,茨　城,008,6226,267,,
2021,12,9,木,横浜市,1401,こまつな,31500,埼　玉,011,2075,250,,
2021,12,9,木,横浜市,1401,こまつな,31500,神奈川,014,1520,226,,
2021,12,9,木,横浜市,1401,その他の菜類,31550,,,464,282,102.2,115.1
2021,12,9,木,横浜市,1401,ちんげんさい,31560,,,3366,266,74.3,100.0
2021,12,9,木,横浜市,1401,ちんげんさい,31560,茨　城,008,2751,267,,
2021,12,9,木,横浜市,1401,キャベツ,31700,,,143102,63,119.1,112.5
2021,12,9,木,横浜市,1401,キャベツ,31700,愛　知,023,43330,58,,
2021,12,9,木,横浜市,1401,キャベツ,31700,茨　城,008,22585,60,,
2021,12,9,木,横浜市,1401,キャベツ,31700,神奈川,014,20300,55,,
2021,12,9,木,横浜市,1401,キャベツ,31700,山　形,006,19750,69,,
2021,12,9,木,横浜市,1401,キャベツ,31700,島　根,032,13729,70,,
2021,12,9,木,横浜市,1401,ほうれんそう,31800,,,27388,449,128.3,105.2
2021,12,9,木,横浜市,1401,ほうれんそう,31800,群　馬,010,12840,450,,
2021,12,9,木,横浜市,1401,ほうれんそう,31800,茨　城,008,7004,492,,
2021,12,9,木,横浜市,1401,ほうれんそう,31800,埼　玉,011,4777,447,,
2021,12,9,木,横浜市,1401,ねぎ,31900,,,48540,279,138.5,98.6
2021,12,9,木,横浜市,1401,ねぎ,31900,千　葉,012,15534,271,,
2021,12,9,木,横浜市,1401,ねぎ,31900,秋　田,005,7880,235,,
2021,12,9,木,横浜市,1401,ねぎ,31900,岩　手,003,5211,276,,
2021,12,9,木,横浜市,1401,ねぎ,31900,茨　城,008,3834,271,,
2021,12,9,木,横浜市,1401,ねぎ,31900,神奈川,014,3178,153,,
2021,12,9,木,横浜市,1401,ふき,32300,,,136,443,69.4,101.4
2021,12,9,木,横浜市,1401,ふき,32300,愛　知,023,136,443,,
2021,12,9,木,横浜市,1401,みつば,32500,,,1191,482,86.0,109.5
2021,12,9,木,横浜市,1401,みつば,32500,千　葉,012,430,297,,
2021,12,9,木,横浜市,1401,みつば,32500,茨　城,008,366,539,,
2021,12,9,木,横浜市,1401,みつば,32500,埼　玉,011,160,572,,
2021,12,9,木,横浜市,1401,しゅんぎく,32600,,,2976,512,99.7,100.2
2021,12,9,木,横浜市,1401,しゅんぎく,32600,千　葉,012,1081,549,,
2021,12,9,木,横浜市,1401,しゅんぎく,32600,群　馬,010,975,508,,
2021,12,9,木,横浜市,1401,しゅんぎく,32600,茨　城,008,402,407,,
2021,12,9,木,横浜市,1401,にら,32800,,,5955,858,96.7,98.8
2021,12,9,木,横浜市,1401,にら,32800,高　知,039,2765,871,,
2021,12,9,木,横浜市,1401,にら,32800,栃　木,009,1568,893,,
2021,12,9,木,横浜市,1401,にら,32800,茨　城,008,628,810,,
2021,12,9,木,横浜市,1401,セルリー,32900,,,5490,179,74.7,109.8
2021,12,9,木,横浜市,1401,セルリー,32900,福　岡,040,3000,170,,
2021,12,9,木,横浜市,1401,セルリー,32900,静　岡,022,1743,176,,
2021,12,9,木,横浜市,1401,アスパラガス,33100,,,1680,924,122.8,111.6
2021,12,9,木,横浜市,1401,アスパラガス,33100,秋　田,005,35,2025,,
2021,12,9,木,横浜市,1401,　　うち輸入,33101,,,1645,900,120.2,108.7
2021,12,9,木,横浜市,1401,カリフラワー,33200,,,2054,259,92.0,102.8
2021,12,9,木,横浜市,1401,カリフラワー,33200,埼　玉,011,794,317,,
