年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,11,土,神戸市,2801,果実総量,40000,,,96646,443,92.2,113.0
2021,12,11,土,神戸市,2801,国産果実総量,40001,,,78710,479,84.5,115.7
2021,12,11,土,神戸市,2801,国産果実総量,40001,和歌山,030,25141,279,,
2021,12,11,土,神戸市,2801,国産果実総量,40001,愛　媛,038,14459,385,,
2021,12,11,土,神戸市,2801,国産果実総量,40001,香　川,037,10618,296,,
2021,12,11,土,神戸市,2801,国産果実総量,40001,青　森,002,9390,384,,
2021,12,11,土,神戸市,2801,国産果実総量,40001,長　野,020,6688,921,,
2021,12,11,土,神戸市,2801,国産果実総量,40001,熊　本,043,5388,436,,
2021,12,11,土,神戸市,2801,国産果実総量,40001,奈　良,029,1960,368,,
2021,12,11,土,神戸市,2801,みかん,40100,,,51707,254,122.8,115.5
2021,12,11,土,神戸市,2801,みかん,40100,和歌山,030,25141,279,,
2021,12,11,土,神戸市,2801,みかん,40100,愛　媛,038,11573,300,,
2021,12,11,土,神戸市,2801,みかん,40100,香　川,037,10283,221,,
2021,12,11,土,神戸市,2801,その他雑かん,41999,,,3250,717,69.8,95.5
2021,12,11,土,神戸市,2801,りんご計,42000,,,14680,393,37.2,104.2
2021,12,11,土,神戸市,2801,りんご計,42000,青　森,002,9390,384,,
2021,12,11,土,神戸市,2801,りんご計,42000,長　野,020,5290,408,,
2021,12,11,土,神戸市,2801,ジョナゴルド,42505,,,1200,484,76.9,184.0
2021,12,11,土,神戸市,2801,ジョナゴルド,42505,青　森,002,1200,484,,
2021,12,11,土,神戸市,2801,王林,42515,,,300,469,5.9,183.2
2021,12,11,土,神戸市,2801,王林,42515,青　森,002,300,469,,
2021,12,11,土,神戸市,2801,ふじ,42804,,,13180,383,40.2,95.3
2021,12,11,土,神戸市,2801,ふじ,42804,青　森,002,7890,366,,
2021,12,11,土,神戸市,2801,ふじ,42804,長　野,020,5290,408,,
2021,12,11,土,神戸市,2801,日本なし計,43000,,,112,652,14.1,152.3
2021,12,11,土,神戸市,2801,日本なし計,43000,岡　山,033,112,652,,
2021,12,11,土,神戸市,2801,その他なし,43401,,,112,652,14.1,152.3
2021,12,11,土,神戸市,2801,かき計,43500,,,1960,368,200.0,118.3
2021,12,11,土,神戸市,2801,かき計,43500,奈　良,029,1960,368,,
2021,12,11,土,神戸市,2801,甘がき,43700,,,1960,368,200.0,118.3
2021,12,11,土,神戸市,2801,甘がき,43700,奈　良,029,1960,368,,
2021,12,11,土,神戸市,2801,ぶどう計,45000,,,444,2470,89.3,96.0
2021,12,11,土,神戸市,2801,ぶどう計,45000,長　野,020,352,2728,,
2021,12,11,土,神戸市,2801,ぶどう計,45000,岡　山,033,92,1482,,
2021,12,11,土,神戸市,2801,その他ぶどう,45299,,,444,2470,89.3,96.0
2021,12,11,土,神戸市,2801,いちご,46100,,,4727,2243,135.3,100.0
2021,12,11,土,神戸市,2801,いちご,46100,長　崎,042,1627,2281,,
2021,12,11,土,神戸市,2801,いちご,46100,熊　本,043,1018,1999,,
2021,12,11,土,神戸市,2801,いちご,46100,佐　賀,041,815,2147,,
2021,12,11,土,神戸市,2801,いちご,46100,福　岡,040,573,2572,,
2021,12,11,土,神戸市,2801,メロン計,47000,,,548,910,71.8,114.8
2021,12,11,土,神戸市,2801,メロン計,47000,静　岡,022,280,1317,,
2021,12,11,土,神戸市,2801,メロン計,47000,高　知,039,205,367,,
2021,12,11,土,神戸市,2801,温室メロン,47200,,,464,993,70.7,124.4
2021,12,11,土,神戸市,2801,温室メロン,47200,静　岡,022,280,1317,,
2021,12,11,土,神戸市,2801,温室メロン,47200,高　知,039,121,311,,
2021,12,11,土,神戸市,2801,その他メロン,47299,,,84,447,78.5,58.7
2021,12,11,土,神戸市,2801,他の国産果実,49500,,,1283,2678,374.1,176.5
2021,12,11,土,神戸市,2801,輸入果実計,50000,,,17935,288,153.1,132.1
2021,12,11,土,神戸市,2801,バナナ,50100,,,8827,126,120.7,75.0
2021,12,11,土,神戸市,2801,パイナップル,50300,,,1241,123,211.1,58.6
2021,12,11,土,神戸市,2801,レモン,50400,,,1111,257,125.5,91.5
2021,12,11,土,神戸市,2801,グレプフルツ,50500,,,68,180,8.9,89.6
2021,12,11,土,神戸市,2801,オレンジ,50600,,,357,271,23.9,108.4
2021,12,11,土,神戸市,2801,輸入キウイ,50800,,,5517,566,－,－
2021,12,11,土,神戸市,2801,他の輸入果実,50900,,,815,473,154.4,64.8
