年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,11,土,神戸市,2801,野菜総量,30000,,,256256,216,88.7,101.9
2021,12,11,土,神戸市,2801,野菜総量,30000,兵　庫,028,46105,171,,
2021,12,11,土,神戸市,2801,野菜総量,30000,茨　城,008,43928,69,,
2021,12,11,土,神戸市,2801,野菜総量,30000,徳　島,036,23374,351,,
2021,12,11,土,神戸市,2801,野菜総量,30000,愛　知,023,21276,95,,
2021,12,11,土,神戸市,2801,野菜総量,30000,北海道,001,18610,192,,
2021,12,11,土,神戸市,2801,野菜総量,30000,長　崎,042,14742,76,,
2021,12,11,土,神戸市,2801,野菜総量,30000,宮　崎,045,12650,320,,
2021,12,11,土,神戸市,2801,だいこん,30100,,,17684,60,117.4,109.1
2021,12,11,土,神戸市,2801,だいこん,30100,長　崎,042,9950,55,,
2021,12,11,土,神戸市,2801,だいこん,30100,徳　島,036,6405,60,,
2021,12,11,土,神戸市,2801,かぶ,30200,,,672,172,43.9,113.2
2021,12,11,土,神戸市,2801,かぶ,30200,徳　島,036,570,182,,
2021,12,11,土,神戸市,2801,にんじん,30300,,,12800,116,90.8,101.8
2021,12,11,土,神戸市,2801,にんじん,30300,香　川,037,4000,188,,
2021,12,11,土,神戸市,2801,にんじん,30300,長　崎,042,4000,76,,
2021,12,11,土,神戸市,2801,にんじん,30300,千　葉,012,3700,86,,
2021,12,11,土,神戸市,2801,ごぼう,30400,,,1020,288,29.4,140.5
2021,12,11,土,神戸市,2801,ごぼう,30400,青　森,002,840,226,,
2021,12,11,土,神戸市,2801,れんこん,30600,,,2387,505,118.6,105.0
2021,12,11,土,神戸市,2801,れんこん,30600,徳　島,036,2210,510,,
2021,12,11,土,神戸市,2801,はくさい,31100,,,40210,47,151.7,111.9
2021,12,11,土,神戸市,2801,はくさい,31100,茨　城,008,31115,42,,
2021,12,11,土,神戸市,2801,はくさい,31100,兵　庫,028,5435,69,,
2021,12,11,土,神戸市,2801,みずな,31300,,,1240,439,83.1,94.6
2021,12,11,土,神戸市,2801,みずな,31300,兵　庫,028,710,399,,
2021,12,11,土,神戸市,2801,みずな,31300,福　岡,040,520,495,,
2021,12,11,土,神戸市,2801,こまつな,31500,,,2710,316,103.6,95.5
2021,12,11,土,神戸市,2801,こまつな,31500,福　岡,040,1520,272,,
2021,12,11,土,神戸市,2801,こまつな,31500,兵　庫,028,1040,375,,
2021,12,11,土,神戸市,2801,その他の菜類,31550,,,60,274,136.4,73.5
2021,12,11,土,神戸市,2801,ちんげんさい,31560,,,1109,279,62.2,90.6
2021,12,11,土,神戸市,2801,ちんげんさい,31560,静　岡,022,460,273,,
2021,12,11,土,神戸市,2801,ちんげんさい,31560,兵　庫,028,409,285,,
2021,12,11,土,神戸市,2801,ちんげんさい,31560,福　岡,040,240,279,,
2021,12,11,土,神戸市,2801,キャベツ,31700,,,39286,58,69.0,96.7
