年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,11,土,沖縄県,4701,野菜総量,30000,,,168831,173,123.9,101.8
2021,12,11,土,沖縄県,4701,野菜総量,30000,鹿児島,046,61745,75,,
2021,12,11,土,沖縄県,4701,野菜総量,30000,沖　縄,047,60266,258,,
2021,12,11,土,沖縄県,4701,野菜総量,30000,長　崎,042,9620,158,,
2021,12,11,土,沖縄県,4701,野菜総量,30000,熊　本,043,9401,201,,
2021,12,11,土,沖縄県,4701,野菜総量,30000,北海道,001,8950,208,,
2021,12,11,土,沖縄県,4701,野菜総量,30000,宮　崎,045,4824,173,,
2021,12,11,土,沖縄県,4701,野菜総量,30000,福　岡,040,1613,368,,
2021,12,11,土,沖縄県,4701,だいこん,30100,,,6270,60,126.7,85.7
2021,12,11,土,沖縄県,4701,だいこん,30100,鹿児島,046,6270,60,,
2021,12,11,土,沖縄県,4701,にんじん,30300,,,3705,189,42.5,141.0
2021,12,11,土,沖縄県,4701,にんじん,30300,長　崎,042,1450,117,,
2021,12,11,土,沖縄県,4701,にんじん,30300,沖　縄,047,655,520,,
2021,12,11,土,沖縄県,4701,にんじん,30300,福　島,007,500,117,,
2021,12,11,土,沖縄県,4701,にんじん,30300,千　葉,012,490,129,,
2021,12,11,土,沖縄県,4701,ごぼう,30400,,,940,211,97.9,112.8
2021,12,11,土,沖縄県,4701,ごぼう,30400,宮　崎,045,30,403,,
2021,12,11,土,沖縄県,4701,はくさい,31100,,,41246,41,157.7,113.9
2021,12,11,土,沖縄県,4701,はくさい,31100,鹿児島,046,41175,41,,
2021,12,11,土,沖縄県,4701,みずな,31300,,,202,625,439.1,111.2
2021,12,11,土,沖縄県,4701,みずな,31300,福　岡,040,125,569,,
2021,12,11,土,沖縄県,4701,みずな,31300,沖　縄,047,42,684,,
2021,12,11,土,沖縄県,4701,こまつな,31500,,,971,324,107.3,124.6
