年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,13,月,広島市,3401,果実総量,40000,,,122678,452,109.4,108.1
2021,12,13,月,広島市,3401,国産果実総量,40001,,,92862,522,96.1,118.6
2021,12,13,月,広島市,3401,国産果実総量,40001,広　島,034,55776,291,,
2021,12,13,月,広島市,3401,国産果実総量,40001,青　森,002,19190,421,,
2021,12,13,月,広島市,3401,国産果実総量,40001,佐　賀,041,8673,1608,,
2021,12,13,月,広島市,3401,国産果実総量,40001,福　岡,040,1537,2303,,
2021,12,13,月,広島市,3401,国産果実総量,40001,熊　本,043,1510,1125,,
2021,12,13,月,広島市,3401,国産果実総量,40001,宮　崎,045,1272,1044,,
2021,12,13,月,広島市,3401,国産果実総量,40001,愛　媛,038,1176,132,,
2021,12,13,月,広島市,3401,みかん,40100,,,58107,291,98.6,99.3
2021,12,13,月,広島市,3401,みかん,40100,広　島,034,53553,289,,
2021,12,13,月,広島市,3401,ネーブル,41201,,,32,135,－,－
2021,12,13,月,広島市,3401,ネーブル,41201,広　島,034,32,135,,
2021,12,13,月,広島市,3401,その他雑かん,41999,,,3246,461,54.6,57.8
2021,12,13,月,広島市,3401,りんご計,42000,,,18870,411,97.7,112.9
2021,12,13,月,広島市,3401,りんご計,42000,青　森,002,18150,415,,
2021,12,13,月,広島市,3401,ジョナゴルド,42505,,,3000,394,105.3,95.6
2021,12,13,月,広島市,3401,ジョナゴルド,42505,青　森,002,3000,394,,
2021,12,13,月,広島市,3401,王林,42515,,,4400,347,155.5,95.6
2021,12,13,月,広島市,3401,王林,42515,青　森,002,4400,347,,
2021,12,13,月,広島市,3401,ふじ,42804,,,10570,445,79.8,128.2
2021,12,13,月,広島市,3401,ふじ,42804,青　森,002,9850,456,,
2021,12,13,月,広島市,3401,その他りんご,42999,,,900,384,225.0,64.6
2021,12,13,月,広島市,3401,日本なし計,43000,,,178,692,30.7,134.9
2021,12,13,月,広島市,3401,日本なし計,43000,岡　山,033,136,707,,
2021,12,13,月,広島市,3401,日本なし計,43000,鳥　取,031,42,643,,
2021,12,13,月,広島市,3401,その他なし,43401,,,178,692,30.7,134.9
2021,12,13,月,広島市,3401,西洋なし,43499,,,1068,528,875.4,114.0
2021,12,13,月,広島市,3401,西洋なし,43499,青　森,002,1040,509,,
2021,12,13,月,広島市,3401,かき計,43500,,,153,234,4.1,100.0
2021,12,13,月,広島市,3401,かき計,43500,愛　媛,038,118,124,,
2021,12,13,月,広島市,3401,かき計,43500,鳥　取,031,35,605,,
2021,12,13,月,広島市,3401,甘がき,43700,,,35,605,1.0,286.7
2021,12,13,月,広島市,3401,甘がき,43700,鳥　取,031,35,605,,
2021,12,13,月,広島市,3401,渋がき,43751,,,118,124,51.5,21.1
2021,12,13,月,広島市,3401,渋がき,43751,愛　媛,038,118,124,,
2021,12,13,月,広島市,3401,もも,44100,,,8,4320,－,－
2021,12,13,月,広島市,3401,もも,44100,岡　山,033,8,4320,,
2021,12,13,月,広島市,3401,ぶどう計,45000,,,541,2746,270.5,110.0
2021,12,13,月,広島市,3401,ぶどう計,45000,長　野,020,440,3061,,
2021,12,13,月,広島市,3401,その他ぶどう,45299,,,541,2746,270.5,110.0
2021,12,13,月,広島市,3401,いちご,46100,,,8497,2199,199.6,97.8
2021,12,13,月,広島市,3401,いちご,46100,佐　賀,041,5887,2160,,
2021,12,13,月,広島市,3401,いちご,46100,福　岡,040,1350,2542,,
2021,12,13,月,広島市,3401,メロン計,47000,,,1082,827,37.3,131.5
2021,12,13,月,広島市,3401,メロン計,47000,熊　本,043,866,800,,
2021,12,13,月,広島市,3401,温室メロン,47200,,,216,934,23.7,107.5
2021,12,13,月,広島市,3401,温室メロン,47200,高　知,039,180,749,,
2021,12,13,月,広島市,3401,アンデス,47213,,,300,773,－,－
2021,12,13,月,広島市,3401,アンデス,47213,熊　本,043,300,773,,
2021,12,13,月,広島市,3401,その他メロン,47299,,,566,814,28.5,156.8
2021,12,13,月,広島市,3401,キウイフルツ,49300,,,993,398,178.0,73.2
2021,12,13,月,広島市,3401,キウイフルツ,49300,広　島,034,806,356,,
2021,12,13,月,広島市,3401,他の国産果実,49500,,,86,1221,79.6,125.4
2021,12,13,月,広島市,3401,輸入果実計,50000,,,29817,235,192.2,83.3
2021,12,13,月,広島市,3401,バナナ,50100,,,22008,183,281.6,83.9
2021,12,13,月,広島市,3401,パイナップル,50300,,,2050,152,62.9,89.9
2021,12,13,月,広島市,3401,レモン,50400,,,1365,259,300.0,66.6
2021,12,13,月,広島市,3401,グレプフルツ,50500,,,102,173,20.4,88.7
2021,12,13,月,広島市,3401,オレンジ,50600,,,603,287,76.2,98.0
2021,12,13,月,広島市,3401,輸入キウイ,50800,,,2358,557,222.5,96.2
2021,12,13,月,広島市,3401,輸入メロン,50850,,,229,200,246.2,62.5
2021,12,13,月,広島市,3401,他の輸入果実,50900,,,1102,687,71.6,109.0
