年,月,日,曜日,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,14,火,果実総量,40000,,,3784284,446,70.5,100.2
2021,12,14,火,国産果実総量,40001,,,3148420,489,69.3,100.2
2021,12,14,火,国産果実総量,40001,和歌山,030,630762,280,,
2021,12,14,火,国産果実総量,40001,愛　媛,038,548178,361,,
2021,12,14,火,国産果実総量,40001,青　森,002,349357,451,,
2021,12,14,火,国産果実総量,40001,熊　本,043,292123,421,,
2021,12,14,火,国産果実総量,40001,長　崎,042,264713,468,,
2021,12,14,火,国産果実総量,40001,福　岡,040,152996,758,,
2021,12,14,火,国産果実総量,40001,静　岡,022,96005,643,,
2021,12,14,火,みかん,40100,,,1912248,282,68.5,98.9
2021,12,14,火,みかん,40100,和歌山,030,578826,271,,
2021,12,14,火,みかん,40100,愛　媛,038,477433,330,,
2021,12,14,火,みかん,40100,長　崎,042,240975,292,,
2021,12,14,火,みかん,40100,熊　本,043,223194,221,,
2021,12,14,火,みかん,40100,福　岡,040,76002,279,,
2021,12,14,火,ネーブル,41201,,,6507,289,113.4,120.9
2021,12,14,火,ネーブル,41201,和歌山,030,4502,230,,
2021,12,14,火,ネーブル,41201,広　島,034,1425,412,,
2021,12,14,火,いよかん,41301,,,1055,304,20.3,109.7
2021,12,14,火,いよかん,41301,佐　賀,041,1020,314,,
2021,12,14,火,はっさく,41321,,,21455,242,109.0,95.7
2021,12,14,火,はっさく,41321,和歌山,030,21455,242,,
2021,12,14,火,その他雑かん,41999,,,223241,599,55.0,85.2
2021,12,14,火,りんご計,42000,,,523968,406,76.8,98.3
2021,12,14,火,りんご計,42000,青　森,002,344433,448,,
2021,12,14,火,りんご計,42000,長　野,020,53360,321,,
2021,12,14,火,りんご計,42000,岩　手,003,41976,417,,
2021,12,14,火,ジョナゴルド,42505,,,29740,391,88.9,92.9
2021,12,14,火,ジョナゴルド,42505,青　森,002,29740,391,,
2021,12,14,火,王林,42515,,,51560,358,91.3,96.0
2021,12,14,火,王林,42515,青　森,002,48980,365,,
2021,12,14,火,ふじ,42804,,,384573,398,74.4,99.5
2021,12,14,火,ふじ,42804,青　森,002,223266,465,,
2021,12,14,火,ふじ,42804,長　野,020,50504,318,,
2021,12,14,火,ふじ,42804,岩　手,003,33495,348,,
2021,12,14,火,ふじ,42804,山　形,006,31729,260,,
2021,12,14,火,その他りんご,42999,,,58095,510,76.7,97.1
2021,12,14,火,日本なし計,43000,,,10430,574,43.3,120.3
2021,12,14,火,日本なし計,43000,鳥　取,031,5738,556,,
2021,12,14,火,日本なし計,43000,愛　知,023,1054,876,,
2021,12,14,火,日本なし計,43000,大　分,044,1045,404,,
2021,12,14,火,日本なし計,43000,福　岡,040,845,464,,
2021,12,14,火,その他なし,43401,,,10430,574,43.3,120.3
2021,12,14,火,西洋なし,43499,,,26796,571,68.9,99.3
2021,12,14,火,西洋なし,43499,山　形,006,19062,472,,
2021,12,14,火,西洋なし,43499,新　潟,015,6579,886,,
2021,12,14,火,かき計,43500,,,110942,410,76.8,105.1
2021,12,14,火,かき計,43500,福　岡,040,36140,389,,
2021,12,14,火,かき計,43500,和歌山,030,19512,547,,
2021,12,14,火,かき計,43500,愛　媛,038,19367,316,,
2021,12,14,火,かき計,43500,奈　良,029,13111,367,,
2021,12,14,火,かき計,43500,岐　阜,021,12395,479,,
2021,12,14,火,甘がき,43700,,,87656,433,67.2,108.8
2021,12,14,火,甘がき,43700,福　岡,040,36140,389,,
2021,12,14,火,甘がき,43700,和歌山,030,19512,547,,
2021,12,14,火,甘がき,43700,奈　良,029,12661,367,,
2021,12,14,火,甘がき,43700,岐　阜,021,12395,479,,
2021,12,14,火,渋がき,43751,,,23286,323,164.1,101.6
2021,12,14,火,渋がき,43751,愛　媛,038,19221,316,,
2021,12,14,火,もも,44100,,,177,2365,2212.5,54.7
2021,12,14,火,もも,44100,岡　山,033,177,2365,,
2021,12,14,火,ぶどう計,45000,,,29904,2514,94.9,102.5
2021,12,14,火,ぶどう計,45000,長　野,020,20442,2951,,
2021,12,14,火,ぶどう計,45000,青　森,002,4142,695,,
2021,12,14,火,巨峰,45206,,,88,2461,107.3,105.0
