年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,16,木,高松市,3701,果実総量,40000,,,91509,378,130.5,118.1
2021,12,16,木,高松市,3701,国産果実総量,40001,,,79679,400,125.4,121.2
2021,12,16,木,高松市,3701,国産果実総量,40001,香　川,037,45772,399,,
2021,12,16,木,高松市,3701,国産果実総量,40001,愛　媛,038,20945,330,,
2021,12,16,木,高松市,3701,国産果実総量,40001,高　知,039,8117,502,,
2021,12,16,木,高松市,3701,国産果実総量,40001,青　森,002,2366,458,,
2021,12,16,木,高松市,3701,国産果実総量,40001,徳　島,036,1158,430,,
2021,12,16,木,高松市,3701,国産果実総量,40001,熊　本,043,843,845,,
2021,12,16,木,高松市,3701,国産果実総量,40001,長　野,020,284,284,,
2021,12,16,木,高松市,3701,みかん,40100,,,51175,231,117.5,107.4
2021,12,16,木,高松市,3701,みかん,40100,香　川,037,37447,257,,
2021,12,16,木,高松市,3701,みかん,40100,愛　媛,038,11928,157,,
2021,12,16,木,高松市,3701,その他雑かん,41999,,,17291,549,258.3,170.5
2021,12,16,木,高松市,3701,りんご計,42000,,,2650,439,60.7,118.6
2021,12,16,木,高松市,3701,りんご計,42000,青　森,002,2366,458,,
2021,12,16,木,高松市,3701,ジョナゴルド,42505,,,200,464,57.1,107.9
2021,12,16,木,高松市,3701,ジョナゴルド,42505,青　森,002,200,464,,
2021,12,16,木,高松市,3701,王林,42515,,,20,594,20.0,144.9
2021,12,16,木,高松市,3701,王林,42515,青　森,002,20,594,,
2021,12,16,木,高松市,3701,ふじ,42804,,,2064,453,57.7,128.3
2021,12,16,木,高松市,3701,ふじ,42804,青　森,002,1780,479,,
2021,12,16,木,高松市,3701,その他りんご,42999,,,366,341,108.3,71.2
2021,12,16,木,高松市,3701,かき計,43500,,,1760,360,44.0,101.1
2021,12,16,木,高松市,3701,かき計,43500,徳　島,036,1000,386,,
2021,12,16,木,高松市,3701,かき計,43500,香　川,037,760,326,,
2021,12,16,木,高松市,3701,甘がき,43700,,,760,326,83.7,96.2
2021,12,16,木,高松市,3701,甘がき,43700,香　川,037,760,326,,
2021,12,16,木,高松市,3701,渋がき,43751,,,1000,386,32.4,106.9
2021,12,16,木,高松市,3701,渋がき,43751,徳　島,036,1000,386,,
2021,12,16,木,高松市,3701,ぶどう計,45000,,,17,1235,13.4,41.7
2021,12,16,木,高松市,3701,ぶどう計,45000,岡　山,033,17,1235,,
2021,12,16,木,高松市,3701,その他ぶどう,45299,,,17,1235,13.4,41.7
2021,12,16,木,高松市,3701,いちご,46100,,,2473,2311,137.4,100.4
2021,12,16,木,高松市,3701,いちご,46100,香　川,037,2312,2320,,
2021,12,16,木,高松市,3701,メロン計,47000,,,1261,765,99.1,113.0
2021,12,16,木,高松市,3701,メロン計,47000,熊　本,043,547,614,,
2021,12,16,木,高松市,3701,メロン計,47000,高　知,039,539,823,,
2021,12,16,木,高松市,3701,温室メロン,47200,,,714,881,97.9,109.6
2021,12,16,木,高松市,3701,温室メロン,47200,高　知,039,539,823,,
2021,12,16,木,高松市,3701,温室メロン,47200,静　岡,022,175,1059,,
2021,12,16,木,高松市,3701,アンデス,47213,,,75,533,32.6,101.5
2021,12,16,木,高松市,3701,アンデス,47213,熊　本,043,75,533,,
2021,12,16,木,高松市,3701,その他メロン,47299,,,472,626,150.3,126.0
2021,12,16,木,高松市,3701,すいか,48100,,,185,282,26.4,83.7
2021,12,16,木,高松市,3701,すいか,48100,熊　本,043,135,182,,
2021,12,16,木,高松市,3701,すいか,48100,高　知,039,50,551,,
2021,12,16,木,高松市,3701,キウイフルツ,49300,,,2846,686,269.0,94.5
2021,12,16,木,高松市,3701,キウイフルツ,49300,香　川,037,2760,685,,
2021,12,16,木,高松市,3701,他の国産果実,49500,,,20,901,－,－
2021,12,16,木,高松市,3701,輸入果実計,50000,,,11830,229,180.3,100.0
2021,12,16,木,高松市,3701,バナナ,50100,,,6152,193,123.4,110.9
2021,12,16,木,高松市,3701,パイナップル,50300,,,1916,123,512.3,66.1
2021,12,16,木,高松市,3701,レモン,50400,,,499,430,170.3,86.5
2021,12,16,木,高松市,3701,グレプフルツ,50500,,,1251,262,740.2,103.1
2021,12,16,木,高松市,3701,オレンジ,50600,,,940,205,254.1,75.4
2021,12,16,木,高松市,3701,輸入キウイ,50800,,,395,613,172.5,103.7
2021,12,16,木,高松市,3701,他の輸入果実,50900,,,677,463,480.1,47.0
