年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,12,16,木,広島市,3401,野菜総量,30000,,,322518,221,85.5,104.2
2021,12,16,木,広島市,3401,野菜総量,30000,長　崎,042,41776,103,,
2021,12,16,木,広島市,3401,野菜総量,30000,熊　本,043,33957,225,,
2021,12,16,木,広島市,3401,野菜総量,30000,北海道,001,30937,192,,
2021,12,16,木,広島市,3401,野菜総量,30000,大　分,044,28478,118,,
2021,12,16,木,広島市,3401,野菜総量,30000,愛　知,023,25687,90,,
2021,12,16,木,広島市,3401,野菜総量,30000,福　岡,040,23892,188,,
2021,12,16,木,広島市,3401,野菜総量,30000,広　島,034,22942,389,,
2021,12,16,木,広島市,3401,だいこん,30100,,,24559,63,108.7,95.5
2021,12,16,木,広島市,3401,だいこん,30100,長　崎,042,16350,65,,
2021,12,16,木,広島市,3401,だいこん,30100,福　岡,040,7090,50,,
2021,12,16,木,広島市,3401,かぶ,30200,,,5563,76,88.8,100.0
2021,12,16,木,広島市,3401,かぶ,30200,福　岡,040,5366,68,,
2021,12,16,木,広島市,3401,にんじん,30300,,,21964,72,80.8,82.8
2021,12,16,木,広島市,3401,にんじん,30300,長　崎,042,13930,65,,
2021,12,16,木,広島市,3401,にんじん,30300,熊　本,043,6400,65,,
2021,12,16,木,広島市,3401,ごぼう,30400,,,11419,190,157.9,96.0
2021,12,16,木,広島市,3401,ごぼう,30400,青　森,002,11010,164,,
2021,12,16,木,広島市,3401,たけのこ,30500,,,258,1408,－,－
2021,12,16,木,広島市,3401,れんこん,30600,,,1344,380,104.6,95.0
2021,12,16,木,広島市,3401,れんこん,30600,山　口,035,1084,390,,
2021,12,16,木,広島市,3401,はくさい,31100,,,38218,47,86.1,106.8
2021,12,16,木,広島市,3401,はくさい,31100,大　分,044,22575,48,,
2021,12,16,木,広島市,3401,はくさい,31100,岡　山,033,10332,57,,
2021,12,16,木,広島市,3401,みずな,31300,,,1180,461,80.9,96.8
2021,12,16,木,広島市,3401,みずな,31300,広　島,034,860,482,,
2021,12,16,木,広島市,3401,みずな,31300,佐　賀,041,220,348,,
2021,12,16,木,広島市,3401,こまつな,31500,,,5152,395,105.2,78.2
2021,12,16,木,広島市,3401,こまつな,31500,広　島,034,3727,427,,
2021,12,16,木,広島市,3401,こまつな,31500,福　岡,040,712,321,,
2021,12,16,木,広島市,3401,その他の菜類,31550,,,101,151,102.0,75.5
2021,12,16,木,広島市,3401,ちんげんさい,31560,,,604,358,87.8,93.0
2021,12,16,木,広島市,3401,ちんげんさい,31560,佐　賀,041,272,309,,
2021,12,16,木,広島市,3401,ちんげんさい,31560,広　島,034,184,423,,
2021,12,16,木,広島市,3401,ちんげんさい,31560,福　岡,040,100,328,,
2021,12,16,木,広島市,3401,キャベツ,31700,,,48036,56,80.2,86.2
2021,12,16,木,広島市,3401,キャベツ,31700,愛　知,023,25300,48,,
2021,12,16,木,広島市,3401,キャベツ,31700,宮　崎,045,6940,43,,
2021,12,16,木,広島市,3401,キャベツ,31700,熊　本,043,6752,74,,
2021,12,16,木,広島市,3401,ほうれんそう,31800,,,4595,505,79.2,99.8
2021,12,16,木,広島市,3401,ほうれんそう,31800,広　島,034,2685,533,,
2021,12,16,木,広島市,3401,ほうれんそう,31800,福　岡,040,698,448,,
2021,12,16,木,広島市,3401,ほうれんそう,31800,鳥　取,031,600,432,,
2021,12,16,木,広島市,3401,ねぎ,31900,,,14147,396,122.1,98.5
2021,12,16,木,広島市,3401,ねぎ,31900,鳥　取,031,5981,361,,
2021,12,16,木,広島市,3401,ねぎ,31900,広　島,034,5264,421,,
2021,12,16,木,広島市,3401,ねぎ,31900,島　根,032,1061,343,,
2021,12,16,木,広島市,3401,ふき,32300,,,332,368,103.8,100.3
2021,12,16,木,広島市,3401,ふき,32300,福　岡,040,212,396,,
2021,12,16,木,広島市,3401,ふき,32300,愛　知,023,120,318,,
2021,12,16,木,広島市,3401,みつば,32500,,,189,677,92.2,78.5
2021,12,16,木,広島市,3401,みつば,32500,大　分,044,170,649,,
2021,12,16,木,広島市,3401,しゅんぎく,32600,,,821,478,55.3,95.2
2021,12,16,木,広島市,3401,しゅんぎく,32600,広　島,034,737,455,,
2021,12,16,木,広島市,3401,にら,32800,,,2135,862,97.7,99.4
2021,12,16,木,広島市,3401,にら,32800,高　知,039,1460,926,,
2021,12,16,木,広島市,3401,にら,32800,大　分,044,575,755,,
2021,12,16,木,広島市,3401,セルリー,32900,,,1432,210,111.3,95.9
2021,12,16,木,広島市,3401,セルリー,32900,福　岡,040,1000,206,,
2021,12,16,木,広島市,3401,セルリー,32900,熊　本,043,400,186,,
2021,12,16,木,広島市,3401,アスパラガス,33100,,,111,1233,122.0,94.1
2021,12,16,木,広島市,3401,　　うち輸入,33101,,,111,1233,122.0,94.1
2021,12,16,木,広島市,3401,カリフラワー,33200,,,393,227,108.6,93.4
2021,12,16,木,広島市,3401,カリフラワー,33200,熊　本,043,279,213,,
2021,12,16,木,広島市,3401,カリフラワー,33200,岡　山,033,66,183,,
2021,12,16,木,広島市,3401,ブロッコリー,33300,,,6350,317,86.8,100.0
2021,12,16,木,広島市,3401,ブロッコリー,33300,鳥　取,031,2940,325,,
2021,12,16,木,広島市,3401,ブロッコリー,33300,福　岡,040,1110,294,,
2021,12,16,木,広島市,3401,ブロッコリー,33300,長　崎,042,990,342,,
2021,12,16,木,広島市,3401,ブロッコリー,33300,島　根,032,804,285,,
2021,12,16,木,広島市,3401,レタス,33400,,,19069,157,153.9,96.3
2021,12,16,木,広島市,3401,レタス,33400,長　崎,042,7830,110,,
2021,12,16,木,広島市,3401,レタス,33400,香　川,037,6220,176,,
2021,12,16,木,広島市,3401,レタス,33400,福　岡,040,3994,228,,
2021,12,16,木,広島市,3401,パセリ,33600,,,151,2342,138.5,76.6
2021,12,16,木,広島市,3401,パセリ,33600,広　島,034,45,3178,,
2021,12,16,木,広島市,3401,パセリ,33600,徳　島,036,40,2349,,
2021,12,16,木,広島市,3401,パセリ,33600,愛　媛,038,40,864,,
2021,12,16,木,広島市,3401,きゅうり,34100,,,21431,266,139.6,103.1
2021,12,16,木,広島市,3401,きゅうり,34100,宮　崎,045,8198,273,,
2021,12,16,木,広島市,3401,きゅうり,34100,鹿児島,046,5411,261,,
2021,12,16,木,広島市,3401,きゅうり,34100,佐　賀,041,2530,274,,
2021,12,16,木,広島市,3401,きゅうり,34100,広　島,034,2222,230,,
2021,12,16,木,広島市,3401,かぼちゃ,34200,,,3654,264,42.0,90.4
2021,12,16,木,広島市,3401,かぼちゃ,34200,北海道,001,750,454,,
2021,12,16,木,広島市,3401,かぼちゃ,34200,宮　崎,045,116,472,,
2021,12,16,木,広島市,3401,かぼちゃ,34200,鹿児島,046,40,324,,
2021,12,16,木,広島市,3401,かぼちゃ,34200,広　島,034,8,122,,
2021,12,16,木,広島市,3401,　　うち輸入,34201,,,2740,203,91.3,95.8
2021,12,16,木,広島市,3401,なす,34300,,,3749,427,80.5,103.9
2021,12,16,木,広島市,3401,なす,34300,福　岡,040,2281,446,,
2021,12,16,木,広島市,3401,なす,34300,佐　賀,041,1096,391,,
2021,12,16,木,広島市,3401,トマト,34400,,,10522,319,85.7,106.7
