value,label,class
30100,だいこん,0
30200,かぶ,0
30300,にんじん,0
30400,ごぼう,0
30500,たけのこ,4
30600,れんこん,0
31100,はくさい,1
31300,みずな,1
31500,こまつな,1
31560,ちんげんさい,1
31700,キャベツ,1
31800,ほうれんそう,1
31900,ねぎ,1
32300,ふき,1
32400,うど,1
32500,みつば,1
32600,しゅんぎく,1
32800,にら,1
32900,セルリー,1
33100,アスパラガス,1
33200,カリフラワー,1
33300,ブロッコリー,1
33400,レタス,1
33600,パセリ,1
34100,きゅうり,2
34200,かぼちゃ,2
34300,なす,2
34400,トマト,2
34450,ミニトマト,2
34500,ピーマン,2
34600,ししとう,2
34700,スイトコーン,2
35100,さやいんげん,2
35200,さやえんどう,2
35300,実えんどう,2
35400,そらまめ,2
35500,えだまめ,2
36100,かんしょ,0
36200,ばれいしょ,0
36300,さといも,0
36500,やまのいも,0
36610,たまねぎ,1
36700,にんにく,1
37200,しょうが,4
38100,生しいたけ,3
38300,なめこ,3
38400,えのきだけ,3
38500,しめじ,3
40100,みかん,6
41201,ネーブル,6
41253,甘なつみかん,6
41301,いよかん,6
41321,はっさく,6
42204,つがる,5
42505,ジョナゴルド,5
42515,王林,5
42804,ふじ,5
43203,幸水,5
43205,豊水,5
43302,二十世紀,5
43310,新高,5
43499,西洋なし,5
43700,甘がき,4
43751,渋がき,4
44100,もも,5
44700,すもも,5
45202,デラウェア,4
45206,巨峰,4
45700,くり,4
46100,いちご,5
47200,温室メロン,2
47213,アンデス,2
48100,すいか,2
49300,キウイフルツ,4
50100,バナナ,4
50300,パイナップル,4
50400,レモン,6
50500,グレプフルツ,6
50600,オレンジ,6
50700,輸入おうとう,5
50800,輸入キウイ,4
50850,輸入メロン,2
