年,月,日,品目コード,品目名,都市コード,都市名,価格
2021,10,1,30100,だいこん,0401,仙台市,99.0
2021,10,1,30100,だいこん,1301,東京都,125.0
2021,10,1,30100,だいこん,1401,横浜市,120.0
2021,10,1,30100,だいこん,1701,金沢市,135.0
2021,10,1,30100,だいこん,2301,名古屋市,119.0
2021,10,1,30100,だいこん,2601,京都市,82.0
2021,10,1,30100,だいこん,2701,大阪市,117.0
2021,10,1,30100,だいこん,2801,神戸市,114.0
2021,10,1,30100,だいこん,3401,広島市,118.0
2021,10,1,30100,だいこん,3701,高松市,120.0
2021,10,1,30100,だいこん,4001,北九州市,138.0
2021,10,1,30100,だいこん,4002,福岡市,112.0
2021,10,1,30100,だいこん,4701,沖縄県,208.0
2021,10,1,30100,だいこん,5101,札幌市,79.0
2021,10,2,30100,だいこん,0401,仙台市,103.0
2021,10,2,30100,だいこん,1301,東京都,125.0
2021,10,2,30100,だいこん,1401,横浜市,123.0
2021,10,2,30100,だいこん,1701,金沢市,134.0
2021,10,2,30100,だいこん,2301,名古屋市,130.0
2021,10,2,30100,だいこん,2601,京都市,99.0
2021,10,2,30100,だいこん,2701,大阪市,124.0
2021,10,2,30100,だいこん,2801,神戸市,111.0
2021,10,2,30100,だいこん,3401,広島市,111.0
2021,10,2,30100,だいこん,3701,高松市,101.0
2021,10,2,30100,だいこん,4001,北九州市,143.0
2021,10,2,30100,だいこん,4002,福岡市,104.0
2021,10,2,30100,だいこん,4701,沖縄県,169.0
2021,10,2,30100,だいこん,5101,札幌市,81.0
2021,10,4,30100,だいこん,0401,仙台市,104.0
2021,10,4,30100,だいこん,1301,東京都,125.0
2021,10,4,30100,だいこん,1401,横浜市,119.0
2021,10,4,30100,だいこん,1701,金沢市,127.0
2021,10,4,30100,だいこん,2301,名古屋市,128.0
2021,10,4,30100,だいこん,2601,京都市,91.0
2021,10,4,30100,だいこん,2701,大阪市,122.0
2021,10,4,30100,だいこん,2801,神戸市,125.0
2021,10,4,30100,だいこん,3401,広島市,116.0
2021,10,4,30100,だいこん,3701,高松市,141.0
2021,10,4,30100,だいこん,4001,北九州市,119.0
2021,10,4,30100,だいこん,4002,福岡市,110.0
2021,10,4,30100,だいこん,4701,沖縄県,160.0
2021,10,4,30100,だいこん,5101,札幌市,83.0
2021,10,5,30100,だいこん,0401,仙台市,111.0
2021,10,5,30100,だいこん,1301,東京都,125.0
2021,10,5,30100,だいこん,1401,横浜市,124.0
2021,10,5,30100,だいこん,1701,金沢市,126.0
2021,10,5,30100,だいこん,2301,名古屋市,138.0
2021,10,5,30100,だいこん,2601,京都市,91.0
2021,10,5,30100,だいこん,2701,大阪市,124.0
2021,10,5,30100,だいこん,2801,神戸市,135.0
2021,10,5,30100,だいこん,3401,広島市,117.0
2021,10,5,30100,だいこん,3701,高松市,148.0
2021,10,5,30100,だいこん,4001,北九州市,121.0
2021,10,5,30100,だいこん,4002,福岡市,90.0
2021,10,5,30100,だいこん,4701,沖縄県,187.0
2021,10,5,30100,だいこん,5101,札幌市,90.0
2021,10,7,30100,だいこん,0401,仙台市,108.0
2021,10,7,30100,だいこん,1301,東京都,117.0
2021,10,7,30100,だいこん,1401,横浜市,118.0
2021,10,7,30100,だいこん,1701,金沢市,132.0
2021,10,7,30100,だいこん,2301,名古屋市,125.0
2021,10,7,30100,だいこん,2601,京都市,98.0
2021,10,7,30100,だいこん,2701,大阪市,117.0
2021,10,7,30100,だいこん,2801,神戸市,150.0
2021,10,7,30100,だいこん,3401,広島市,117.0
2021,10,7,30100,だいこん,3701,高松市,147.0
2021,10,7,30100,だいこん,4001,北九州市,125.0
2021,10,7,30100,だいこん,4002,福岡市,92.0
2021,10,7,30100,だいこん,4701,沖縄県,170.0
2021,10,7,30100,だいこん,5101,札幌市,87.0
2021,10,8,30100,だいこん,0401,仙台市,109.0
2021,10,8,30100,だいこん,1301,東京都,114.0
2021,10,8,30100,だいこん,1401,横浜市,110.0
2021,10,8,30100,だいこん,1701,金沢市,119.0
2021,10,8,30100,だいこん,2301,名古屋市,124.0
2021,10,8,30100,だいこん,2601,京都市,91.0
2021,10,8,30100,だいこん,2701,大阪市,113.0
2021,10,8,30100,だいこん,2801,神戸市,138.0
2021,10,8,30100,だいこん,3401,広島市,116.0
2021,10,8,30100,だいこん,3701,高松市,135.0
2021,10,8,30100,だいこん,4001,北九州市,118.0
2021,10,8,30100,だいこん,4002,福岡市,94.0
2021,10,8,30100,だいこん,4701,沖縄県,190.0
2021,10,8,30100,だいこん,5101,札幌市,77.0
2021,10,9,30100,だいこん,0401,仙台市,109.0
2021,10,9,30100,だいこん,1301,東京都,108.0
2021,10,9,30100,だいこん,1401,横浜市,108.0
2021,10,9,30100,だいこん,1701,金沢市,116.0
2021,10,9,30100,だいこん,2301,名古屋市,116.0
2021,10,9,30100,だいこん,2601,京都市,84.0
2021,10,9,30100,だいこん,2701,大阪市,104.0
2021,10,9,30100,だいこん,2801,神戸市,120.0
2021,10,9,30100,だいこん,3401,広島市,107.0
2021,10,9,30100,だいこん,3701,高松市,105.0
2021,10,9,30100,だいこん,4001,北九州市,113.0
2021,10,9,30100,だいこん,4002,福岡市,80.0
2021,10,9,30100,だいこん,4701,沖縄県,201.0
2021,10,9,30100,だいこん,5101,札幌市,68.0
2021,10,11,30100,だいこん,0401,仙台市,90.0
2021,10,11,30100,だいこん,1301,東京都,93.0
2021,10,11,30100,だいこん,1401,横浜市,93.0
2021,10,11,30100,だいこん,1701,金沢市,119.0
2021,10,11,30100,だいこん,2301,名古屋市,94.0
2021,10,11,30100,だいこん,2601,京都市,78.0
2021,10,11,30100,だいこん,2701,大阪市,91.0
2021,10,11,30100,だいこん,2801,神戸市,109.0
2021,10,11,30100,だいこん,3401,広島市,97.0
2021,10,11,30100,だいこん,3701,高松市,116.0
2021,10,11,30100,だいこん,4001,北九州市,105.0
2021,10,11,30100,だいこん,4002,福岡市,84.0
2021,10,11,30100,だいこん,5101,札幌市,69.0
2021,10,12,30100,だいこん,0401,仙台市,86.0
2021,10,12,30100,だいこん,1301,東京都,84.0
2021,10,12,30100,だいこん,1401,横浜市,95.0
2021,10,12,30100,だいこん,1701,金沢市,103.0
2021,10,12,30100,だいこん,2301,名古屋市,90.0
2021,10,12,30100,だいこん,2601,京都市,67.0
2021,10,12,30100,だいこん,2701,大阪市,87.0
2021,10,12,30100,だいこん,2801,神戸市,102.0
2021,10,12,30100,だいこん,3401,広島市,98.0
2021,10,12,30100,だいこん,3701,高松市,85.0
2021,10,12,30100,だいこん,4001,北九州市,100.0
2021,10,12,30100,だいこん,4002,福岡市,77.0
2021,10,12,30100,だいこん,4701,沖縄県,176.0
2021,10,12,30100,だいこん,5101,札幌市,75.0
2021,10,14,30100,だいこん,0401,仙台市,78.0
2021,10,14,30100,だいこん,1301,東京都,80.0
2021,10,14,30100,だいこん,1401,横浜市,86.0
2021,10,14,30100,だいこん,1701,金沢市,95.0
2021,10,14,30100,だいこん,2301,名古屋市,85.0
2021,10,14,30100,だいこん,2601,京都市,64.0
2021,10,14,30100,だいこん,2701,大阪市,85.0
2021,10,14,30100,だいこん,2801,神戸市,97.0
2021,10,14,30100,だいこん,3401,広島市,90.0
2021,10,14,30100,だいこん,3701,高松市,99.0
2021,10,14,30100,だいこん,4001,北九州市,84.0
2021,10,14,30100,だいこん,4002,福岡市,76.0
