value,label
30100,だいこん
30200,かぶ
30300,にんじん
30400,ごぼう
30500,たけのこ
30600,れんこん
31100,はくさい
31300,みずな
31500,こまつな
31560,ちんげんさい
31700,キャベツ
31800,ほうれんそう
31900,ねぎ
32300,ふき
32400,うど
32500,みつば
32600,しゅんぎく
32800,にら
32900,セルリー
33100,アスパラガス
33200,カリフラワー
33300,ブロッコリー
33400,レタス
33600,パセリ
34100,きゅうり
34200,かぼちゃ
34300,なす
34400,トマト
34450,ミニトマト
34500,ピーマン
34600,ししとう
34700,スイトコーン
35100,さやいんげん
35200,さやえんどう
35300,実えんどう
35400,そらまめ
35500,えだまめ
36100,かんしょ
36200,ばれいしょ
36300,さといも
36500,やまのいも
36610,たまねぎ
36700,にんにく
37200,しょうが
38100,生しいたけ
38300,なめこ
38400,えのきだけ
38500,しめじ
40100,みかん
41201,ネーブル
41253,甘なつみかん
41301,いよかん
41321,はっさく
42204,つがる
42505,ジョナゴルド
42515,王林
42804,ふじ
43203,幸水
43205,豊水
43302,二十世紀
43310,新高
43499,西洋なし
43700,甘がき
43751,渋がき
44100,もも
44700,すもも
45202,デラウェア
45206,巨峰
45700,くり
46100,いちご
47200,温室メロン
47213,アンデス
48100,すいか
49300,キウイフルツ
50100,バナナ
50300,パイナップル
50400,レモン
50500,グレプフルツ
50600,オレンジ
50700,輸入おうとう
50800,輸入キウイ
50850,輸入メロン
