年,月,日,品目コード,品目名,価格
2021,11,22,30000,野菜総量,209
2021,11,24,30000,野菜総量,208
2021,11,25,30000,野菜総量,209
2021,11,26,30000,野菜総量,193
2021,11,27,30000,野菜総量,196
2021,11,29,30000,野菜総量,206
2021,11,30,30000,野菜総量,194
2021,11,22,30100,だいこん,58
2021,11,24,30100,だいこん,59
2021,11,25,30100,だいこん,59
2021,11,26,30100,だいこん,57
2021,11,27,30100,だいこん,53
2021,11,29,30100,だいこん,51
2021,11,30,30100,だいこん,54
2021,11,22,30200,かぶ,140
2021,11,24,30200,かぶ,133
2021,11,25,30200,かぶ,131
2021,11,26,30200,かぶ,117
2021,11,27,30200,かぶ,114
2021,11,29,30200,かぶ,120
2021,11,30,30200,かぶ,130
2021,11,22,30300,にんじん,117
2021,11,24,30300,にんじん,105
2021,11,25,30300,にんじん,113
2021,11,26,30300,にんじん,103
2021,11,27,30300,にんじん,105
2021,11,29,30300,にんじん,99
2021,11,30,30300,にんじん,102
2021,11,22,30400,ごぼう,236
2021,11,24,30400,ごぼう,193
2021,11,25,30400,ごぼう,256
2021,11,26,30400,ごぼう,238
2021,11,27,30400,ごぼう,235
2021,11,29,30400,ごぼう,243
2021,11,30,30400,ごぼう,226
2021,11,22,30500,たけのこ,2299
2021,11,24,30500,たけのこ,1951
2021,11,25,30500,たけのこ,3862
2021,11,26,30500,たけのこ,1699
2021,11,27,30500,たけのこ,2294
2021,11,29,30500,たけのこ,2135
2021,11,30,30500,たけのこ,2052
2021,11,22,30600,れんこん,433
2021,11,24,30600,れんこん,437
2021,11,25,30600,れんこん,433
2021,11,26,30600,れんこん,422
2021,11,27,30600,れんこん,419
2021,11,29,30600,れんこん,433
2021,11,30,30600,れんこん,429
2021,11,22,31100,はくさい,55
2021,11,24,31100,はくさい,53
2021,11,25,31100,はくさい,53
2021,11,26,31100,はくさい,50
2021,11,27,31100,はくさい,49
2021,11,29,31100,はくさい,46
2021,11,30,31100,はくさい,46
2021,11,22,31300,みずな,475
2021,11,24,31300,みずな,452
2021,11,25,31300,みずな,481
2021,11,26,31300,みずな,455
2021,11,27,31300,みずな,449
2021,11,29,31300,みずな,458
2021,11,30,31300,みずな,448
2021,11,22,31500,こまつな,287
2021,11,24,31500,こまつな,275
2021,11,25,31500,こまつな,268
2021,11,26,31500,こまつな,256
2021,11,27,31500,こまつな,256
2021,11,29,31500,こまつな,277
2021,11,30,31500,こまつな,291
2021,11,22,31550,その他の菜類,403
2021,11,24,31550,その他の菜類,392
2021,11,25,31550,その他の菜類,349
2021,11,26,31550,その他の菜類,322
2021,11,27,31550,その他の菜類,341
2021,11,29,31550,その他の菜類,310
2021,11,30,31550,その他の菜類,359
2021,11,22,31560,ちんげんさい,276
2021,11,24,31560,ちんげんさい,264
2021,11,25,31560,ちんげんさい,271
2021,11,26,31560,ちんげんさい,259
2021,11,27,31560,ちんげんさい,256
2021,11,29,31560,ちんげんさい,260
2021,11,30,31560,ちんげんさい,285
2021,11,22,31700,キャベツ,70
2021,11,24,31700,キャベツ,67
