年,月,日,曜日,都市名,都市コード,品目名,品目コード,産地名,産地コード,数量,価格,対前日比（数量）,対前日比（価格）
2021,11,24,水,東京都,1301,野菜総量,30000,,,4727125,217,82.0,102.8
2021,11,24,水,東京都,1301,野菜総量,30000,茨　城,008,1099341,120,,
2021,11,24,水,東京都,1301,野菜総量,30000,千　葉,012,953792,138,,
2021,11,24,水,東京都,1301,野菜総量,30000,北海道,001,663359,191,,
2021,11,24,水,東京都,1301,野菜総量,30000,愛　知,023,236436,283,,
2021,11,24,水,東京都,1301,野菜総量,30000,埼　玉,011,185866,250,,
2021,11,24,水,東京都,1301,野菜総量,30000,神奈川,014,174631,61,,
2021,11,24,水,東京都,1301,野菜総量,30000,群　馬,010,170213,242,,
2021,11,24,水,東京都,1301,だいこん,30100,,,457975,46,63.8,92.0
2021,11,24,水,東京都,1301,だいこん,30100,千　葉,012,243251,43,,
2021,11,24,水,東京都,1301,だいこん,30100,神奈川,014,119884,49,,
2021,11,24,水,東京都,1301,だいこん,30100,茨　城,008,75353,38,,
2021,11,24,水,東京都,1301,かぶ,30200,,,60843,107,88.6,100.0
2021,11,24,水,東京都,1301,かぶ,30200,千　葉,012,43034,108,,
2021,11,24,水,東京都,1301,かぶ,30200,埼　玉,011,8551,104,,
