City,Y,X,Size
盛岡,39.70361,141.1525,14477
仙台,38.26889,140.87194,37899
秋田,39.71861,140.1025,0
水戸,36.34139,140.44667,0
宇都宮,36.56583,139.88361,27132
豊洲,35.68944,139.69167,73598
大田,35.68944,139.69167,295034
豊島,35.68944,139.69167,18875
淀橋,35.68944,139.69167,55978
横浜,35.44778,139.6425,90950
新潟,37.90222,139.02361,19806
金沢,36.59444,136.62556,23012
長野,36.65139,138.18111,0
岐阜,35.39111,136.72222,46254
名古屋,35.18028,136.90667,60933
名古屋北,35.18028,136.90667,72859
京都,35.02139,135.75556,64770
大阪,34.68639,135.52,144152
大阪東,34.68639,135.52,42251
神戸,34.69139,135.18306,28423
岡山,34.66167,133.935,20461
広島,34.39639,132.45944,32934
高松,34.34028,134.04333,16145
松山,33.84167,132.76611,19769
北九州,33.5300,130.5231,33797
福岡,33.60639,130.41806,66797
熊本,32.78972,130.74167,0
鹿児島,31.56028,130.55806,33649
沖縄,26.2125,127.68111,11204
札幌,43.06417,141.34694,52694
